id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_7660bc97,Inm24,Gdl,Monraz,Ven,Dep,181.0,3.0,2.0,11200000.0,,-103.397206,20.684892,,3.5,,61878.45303867403,01/09/2025,Gdl|Monraz|11200000.0|181.0|Dep
Sep25_90c148a5,Inm24,Gdl,Monraz,Ven,Dep,136.0,2.0,2.0,9000000.0,5000.0,-103.397206,20.684892,,3.5,,66176.4705882353,01/09/2025,Gdl|Monraz|9000000.0|136.0|Dep
Sep25_cd4f0c04,Inm24,Gdl,Monraz,Ven,Dep,137.0,2.0,3.0,8100000.0,4900.0,-103.393567,20.682475,224.0,3.5,5,59124.08759124088,01/04/2025,Gdl|Monraz|8100000.0|137.0|Dep
Sep25_3d4be96d,Inm24,Gdl,Monraz,Ven,Dep,225.0,3.0,3.0,14700000.0,,-103.3964,20.688981,139.0,3.5,1,65333.333333333336,01/04/2025,Gdl|Monraz|14700000.0|225.0|Dep
Sep25_d8bded63,Inm24,Gdl,Monraz,Ven,Dep,178.0,2.0,3.0,15650000.0,3500.0,-103.394066,20.685084,14.0,4.0,10,87921.34831460674,01/04/2025,Gdl|Monraz|15650000.0|178.0|Dep
Sep25_9066f5f5,Inm24,Gdl,Monraz,Ven,Dep,230.0,2.0,2.0,15650000.0,3500.0,-103.394109,20.684748,59.0,4.0,15,68043.47826086957,01/04/2025,Gdl|Monraz|15650000.0|230.0|Dep
Sep25_fae40ff2,Inm24,Gdl,Monraz,Ven,Dep,116.0,1.0,2.0,4616000.0,,-103.394246,20.684908,18.0,1.5,0,39793.10344827586,01/04/2025,Gdl|Monraz|4616000.0|116.0|Dep
Sep25_e0bdefdc,Inm24,Gdl,Monraz,Ven,Dep,111.0,2.0,2.0,9101417.0,3600.0,-103.394676,20.684887,157.0,2.5,0,81994.74774774775,01/04/2025,Gdl|Monraz|9101417.0|111.0|Dep
Sep25_b76515a2,Inm24,Gdl,Monraz,Ven,Dep,171.0,3.0,2.0,7500000.0,,-103.394883,20.683704,74.0,4.0,20,43859.649122807015,01/04/2025,Gdl|Monraz|7500000.0|171.0|Dep
Sep25_e738f9ad,Inm24,Gdl,Monraz,Ven,Dep,63.0,1.0,,4754410.0,,-103.397263,20.684461,,1.0,1,75466.8253968254,01/04/2025,Gdl|Monraz|4754410.0|63.0|Dep
Sep25_93bc9902,Inm24,Gdl,Monraz,Ven,Dep,160.0,1.0,1.0,4736025.0,,-103.393406,20.684506,38.0,1.0,0,29600.15625,01/04/2025,Gdl|Monraz|4736025.0|160.0|Dep
Sep25_49f667d2,Inm24,Gdl,Monraz,Ven,Dep,87.0,1.0,1.0,6038427.0,,-103.394246,20.684908,17.0,1.5,0,69407.20689655172,01/04/2025,Gdl|Monraz|6038427.0|87.0|Dep
Sep25_4c7768d2,Inm24,Gdl,Monraz,Ven,Dep,64.0,1.0,1.0,4547716.0,,-103.394247,20.684887,353.0,1.0,0,71058.0625,01/04/2025,Gdl|Monraz|4547716.0|64.0|Dep
Sep25_6379682e,Inm24,Gdl,Monraz,Ven,Dep,80.0,2.0,1.0,3400000.0,,-103.398042,20.688843,164.0,1.0,48,42500.0,01/04/2025,Gdl|Monraz|3400000.0|80.0|Dep
Sep25_c68b1a58,Inm24,Gdl,Monraz,Ven,Dep,116.0,2.0,2.0,9101417.0,3800.0,-103.394246,20.684908,136.0,2.5,0,78460.49137931035,01/04/2025,Gdl|Monraz|9101417.0|116.0|Dep
Sep25_f01abca5,Inm24,Gdl,Monraz,Ven,Dep,170.0,2.0,2.0,9101417.0,,-103.394246,20.684908,19.0,2.5,0,53537.74705882353,01/04/2025,Gdl|Monraz|9101417.0|170.0|Dep
Sep25_ff374eec,Inm24,Gdl,Monraz,Ven,Dep,124.0,2.0,2.0,6290000.0,,-103.393975,20.684768,80.0,2.5,5,50725.8064516129,01/04/2025,Gdl|Monraz|6290000.0|124.0|Dep
Sep25_cdb6e740,Inm24,Gdl,Monraz,Ven,Dep,64.0,2.0,,4754410.0,,-103.394246,20.684908,17.0,1.5,0,74287.65625,01/04/2025,Gdl|Monraz|4754410.0|64.0|Dep
Sep25_3fa15850,Inm24,Gdl,Monraz,Ven,Dep,158.0,3.0,2.0,6950000.0,,-103.397263,20.684461,67.0,2.5,,43987.3417721519,01/04/2025,Gdl|Monraz|6950000.0|158.0|Dep
Sep25_e6f622dc,Inm24,Gdl,Monraz,Ven,Dep,112.0,2.0,2.0,9101417.0,,-103.397263,20.684461,,2.5,1,81262.65178571429,01/04/2025,Gdl|Monraz|9101417.0|112.0|Dep
Sep25_770c17a1,Inm24,Gdl,Monraz,Ven,Dep,70.0,1.0,1.0,5862551.0,3600.0,-103.394247,20.684887,136.0,1.5,0,83750.72857142857,01/04/2025,Gdl|Monraz|5862551.0|70.0|Dep
Sep25_7f37a75d,Inm24,Gdl,Monraz,Ven,Dep,198.0,3.0,2.0,10800000.0,,-103.393437,20.684608,,4.5,3,54545.454545454544,01/04/2025,Gdl|Monraz|10800000.0|198.0|Dep
