id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_7144578f,Inm24,Gdl,Nueva España,Ven,Dep,84.0,3.0,1.0,3700000.0,,-103.395454,20.61342,47.0,2.0,7,44047.619047619046,01/04/2025,Gdl|Nueva España|3700000.0|84.0|Dep
Sep25_31e138c4,Inm24,Gdl,Nueva España,Ven,Dep,59.0,1.0,1.0,2624275.0,,-103.395454,20.61342,,1.0,0,44479.23728813559,01/04/2025,Gdl|Nueva España|2624275.0|59.0|Dep
Sep25_ae9561e8,Inm24,Gdl,Nueva España,Ven,Dep,58.0,2.0,1.0,2653000.0,,-103.395444,20.613424,61.0,1.0,1,45741.379310344826,01/04/2025,Gdl|Nueva España|2653000.0|58.0|Dep
Sep25_9d007846,Inm24,Gdl,Nueva España,Ven,Dep,73.0,2.0,1.0,4005484.0,,-103.395454,20.61342,100.0,2.0,0,54869.64383561644,01/04/2025,Gdl|Nueva España|4005484.0|73.0|Dep
Sep25_436c851f,Inm24,Gdl,Nueva España,Ven,Dep,58.0,2.0,,2448953.0,,-103.395444,20.613424,81.0,1.0,0,42223.3275862069,01/04/2025,Gdl|Nueva España|2448953.0|58.0|Dep
Sep25_fa9f1db1,Inm24,Gdl,Nueva España,Ven,Dep,73.0,2.0,2.0,2982492.0,,-103.395444,20.613424,61.0,2.0,1,40856.05479452055,01/04/2025,Gdl|Nueva España|2982492.0|73.0|Dep
Sep25_4c749fe0,Inm24,Gdl,Nueva España,Ven,Dep,69.0,2.0,1.0,3125232.0,,-103.395454,20.61342,92.0,2.0,0,45293.21739130434,01/04/2025,Gdl|Nueva España|3125232.0|69.0|Dep
Sep25_c9f8b002,Inm24,Gdl,Nueva España,Ven,Dep,58.0,2.0,1.0,2387703.0,,-103.395454,20.61342,93.0,1.0,0,41167.29310344828,01/04/2025,Gdl|Nueva España|2387703.0|58.0|Dep
Sep25_752e3196,Inm24,Gdl,Nueva España,Ven,Dep,69.0,2.0,1.0,2824430.0,,-103.395444,20.613424,58.0,2.0,1,40933.76811594203,01/04/2025,Gdl|Nueva España|2824430.0|69.0|Dep
Sep25_f5641b2f,Inm24,Gdl,Nueva España,Ven,Dep,117.0,2.0,2.0,3999000.0,,-103.395454,20.61342,63.0,2.0,1,34179.48717948718,01/04/2025,Gdl|Nueva España|3999000.0|117.0|Dep
Sep25_342b3e90,Inm24,Gdl,Nueva España,Ven,Dep,69.0,2.0,2.0,3190000.0,1500.0,-103.395444,20.613424,15.0,2.0,0,46231.884057971016,01/04/2025,Gdl|Nueva España|3190000.0|69.0|Dep
Sep25_f203bc0c,Inm24,Gdl,Nueva España,Ven,Dep,58.0,2.0,,2573499.0,,-103.395454,20.61342,,1.0,0,44370.6724137931,01/04/2025,Gdl|Nueva España|2573499.0|58.0|Dep
