id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_d49311a4,Inm24,Gdl,Obrera,Ven,Dep,133.0,3.0,2.0,5750000.0,,-103.369794,20.668225,229.0,2.5,0,43233.08270676692,01/09/2025,Gdl|Obrera|5750000.0|133.0|Dep
Sep25_05c6c1aa,Inm24,Gdl,Obrera,Ven,Dep,50.0,1.0,1.0,3480000.0,,-103.371257,20.668433,120.0,1.0,2,69600.0,01/09/2025,Gdl|Obrera|3480000.0|50.0|Dep
Sep25_ee91e863,Inm24,Gdl,Obrera,Ven,Dep,290.0,3.0,2.0,7500000.0,4123.0,-103.3733,20.66897,,2.0,2,25862.068965517243,01/09/2025,Gdl|Obrera|7500000.0|290.0|Dep
Sep25_4a847396,Inm24,Gdl,Obrera,Ven,Dep,59.0,1.0,1.0,3600000.0,,-103.370146,20.667158,64.0,1.0,2,61016.94915254237,01/04/2025,Gdl|Obrera|3600000.0|59.0|Dep
Sep25_287e773c,Inm24,Gdl,Obrera,Ven,Dep,60.0,1.0,1.0,3890000.0,1350.0,-103.370146,20.667158,25.0,1.0,2,64833.333333333336,01/04/2025,Gdl|Obrera|3890000.0|60.0|Dep
Sep25_89677625,Inm24,Gdl,Obrera,Ven,Dep,78.0,3.0,1.0,2400000.0,,-103.331806,20.663306,51.0,1.5,17,30769.23076923077,01/04/2025,Gdl|Obrera|2400000.0|78.0|Dep
Sep25_0cc3347c,Inm24,Gdl,Obrera,Ven,Dep,41.0,1.0,1.0,3480000.0,1900.0,-103.371257,20.668433,0.0,1.0,1,84878.0487804878,01/04/2025,Gdl|Obrera|3480000.0|41.0|Dep
Sep25_820080b5,Inm24,Gdl,Obrera,Ven,Dep,110.0,2.0,2.0,4650000.0,3843.0,-103.368882,20.667807,10.0,2.0,10,42272.72727272727,01/04/2025,Gdl|Obrera|4650000.0|110.0|Dep
Sep25_242e4d0e,Inm24,Gdl,Obrera,Ven,Dep,165.0,2.0,2.0,9904230.0,,-103.376125,20.670866,181.0,2.5,6,60025.63636363636,01/04/2025,Gdl|Obrera|9904230.0|165.0|Dep
Sep25_7253fd65,Inm24,Gdl,Obrera,Ven,Dep,84.0,2.0,2.0,4957000.0,1800.0,-103.373104,20.666879,,2.0,0,59011.90476190476,01/04/2025,Gdl|Obrera|4957000.0|84.0|Dep
Sep25_80d74fb1,Inm24,Gdl,Obrera,Ven,Dep,157.0,3.0,2.0,9544387.0,,-103.376109,20.670817,62.0,3.0,,60792.27388535032,01/04/2025,Gdl|Obrera|9544387.0|157.0|Dep
Sep25_4c10ee8f,Inm24,Gdl,Obrera,Ven,Dep,157.0,3.0,2.0,9904230.0,,-103.376125,20.670866,,3.0,5,63084.267515923566,01/04/2025,Gdl|Obrera|9904230.0|157.0|Dep
Sep25_932f7e05,Inm24,Gdl,Obrera,Ven,Dep,149.0,2.0,2.0,5995000.0,,-103.375641,20.670511,104.0,2.0,1,40234.89932885906,01/04/2025,Gdl|Obrera|5995000.0|149.0|Dep
Sep25_f26f7519,Inm24,Gdl,Obrera,Ven,Dep,157.0,3.0,2.0,9590000.0,,-103.376125,20.670866,,3.0,5,61082.8025477707,01/04/2025,Gdl|Obrera|9590000.0|157.0|Dep
Sep25_314a8fd1,Inm24,Gdl,Obrera,Ven,Dep,248.0,3.0,2.0,12000000.0,,-103.37612,20.670804,267.0,3.5,6,48387.096774193546,01/04/2025,Gdl|Obrera|12000000.0|248.0|Dep
Sep25_7aab35a2,Inm24,Gdl,Obrera,Ven,Dep,130.0,3.0,4.0,5850000.0,3700.0,-103.369794,20.668225,,2.5,5,45000.0,01/04/2025,Gdl|Obrera|5850000.0|130.0|Dep
