id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_dc3b3ad4,Inm24,Gdl,Prados Providencia,Ven,Dep,142.0,2.0,2.0,8000000.0,,-103.393615,20.691143,,2.5,3,56338.02816901408,01/09/2025,Gdl|Prados Providencia|8000000.0|142.0|Dep
Sep25_6a71f92c,Inm24,Gdl,Prados Providencia,Ven,Dep,198.0,3.0,2.0,9300000.0,,-103.394565,20.692194,335.0,3.5,0,46969.69696969697,01/04/2025,Gdl|Prados Providencia|9300000.0|198.0|Dep
Sep25_64aaf1a8,Inm24,Gdl,Prados Providencia,Ven,Dep,181.0,3.0,2.0,10500000.0,8300.0,-103.393404,20.689981,,3.0,7,58011.04972375691,01/04/2025,Gdl|Prados Providencia|10500000.0|181.0|Dep
Sep25_dfe69547,Inm24,Gdl,Prados Providencia,Ven,Dep,196.0,3.0,2.0,10900000.0,,-103.393615,20.691143,183.0,3.0,5,55612.24489795919,01/04/2025,Gdl|Prados Providencia|10900000.0|196.0|Dep
Sep25_ee6235a9,Inm24,Gdl,Prados Providencia,Ven,Dep,130.0,2.0,2.0,8260000.0,5000.0,-103.390878,20.689838,91.0,2.5,5,63538.46153846154,01/04/2025,Gdl|Prados Providencia|8260000.0|130.0|Dep
Sep25_411793b7,Inm24,Gdl,Prados Providencia,Ven,Dep,114.0,3.0,2.0,6500000.0,1500.0,-103.395606,20.688939,311.0,2.0,25,57017.54385964912,01/04/2025,Gdl|Prados Providencia|6500000.0|114.0|Dep
Sep25_9e4c807a,Inm24,Gdl,Prados Providencia,Ven,Dep,210.0,4.0,2.0,10457000.0,5500.0,-103.385761,20.687654,24.0,4.5,8,49795.23809523809,01/04/2025,Gdl|Prados Providencia|10457000.0|210.0|Dep
Sep25_89771256,Inm24,Gdl,Prados Providencia,Ven,Dep,48.0,1.0,1.0,3415000.0,600.0,-103.38731,20.686429,193.0,1.5,0,71145.83333333333,01/04/2025,Gdl|Prados Providencia|3415000.0|48.0|Dep
Sep25_73ce85c4,Inm24,Gdl,Prados Providencia,Ven,Dep,90.0,3.0,1.0,3750000.0,,-103.391291,20.689313,284.0,2.0,30,41666.66666666666,01/04/2025,Gdl|Prados Providencia|3750000.0|90.0|Dep
Sep25_949271e1,Inm24,Gdl,Prados Providencia,Ven,Dep,210.0,3.0,2.0,10900000.0,5000.0,-103.385761,20.687654,,4.5,14,51904.76190476191,01/04/2025,Gdl|Prados Providencia|10900000.0|210.0|Dep
Sep25_6007c8cd,Inm24,Gdl,Prados Providencia,Ven,Dep,143.0,2.0,2.0,7500000.0,,-103.392038,20.69026,133.0,2.5,1,52447.55244755245,01/04/2025,Gdl|Prados Providencia|7500000.0|143.0|Dep
Sep25_75655f3f,Inm24,Gdl,Prados Providencia,Ven,Dep,145.0,3.0,2.0,9200000.0,,-103.393615,20.691143,183.0,3.5,6,63448.27586206896,01/04/2025,Gdl|Prados Providencia|9200000.0|145.0|Dep
Sep25_d8a321fa,Inm24,Gdl,Prados Providencia,Ven,Dep,115.0,2.0,2.0,6500000.0,,-103.393607,20.691121,145.0,2.5,0,56521.739130434784,01/04/2025,Gdl|Prados Providencia|6500000.0|115.0|Dep
