id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_ac6f6c4e,Inm24,Gdl,Providencia 4a Sección,Ven,Dep,222.0,3.0,4.0,15250000.0,,-103.392119,20.693636,46.0,3.5,23,68693.6936936937,01/04/2025,Gdl|Providencia 4a Sección|15250000.0|222.0|Dep
Sep25_e5587afc,Inm24,Gdl,Providencia 4a Sección,Ven,Dep,80.0,1.0,1.0,3938128.0,,-103.388717,20.694882,,1.5,0,49226.6,01/04/2025,Gdl|Providencia 4a Sección|3938128.0|80.0|Dep
Sep25_097ad215,Inm24,Gdl,Providencia 4a Sección,Ven,Dep,124.0,3.0,2.0,4950000.0,500.0,-103.389682,20.695528,243.0,2.0,30,39919.35483870968,01/04/2025,Gdl|Providencia 4a Sección|4950000.0|124.0|Dep
Sep25_5de73608,Inm24,Gdl,Providencia 4a Sección,Ven,Dep,262.0,3.0,2.0,11000000.0,,-103.384851,20.700884,,2.5,0,41984.73282442748,01/04/2025,Gdl|Providencia 4a Sección|11000000.0|262.0|Dep
Sep25_37d56bd5,Inm24,Gdl,Providencia 4a Sección,Ven,Dep,112.0,2.0,2.0,5217000.0,500.0,-103.385478,20.695911,67.0,2.0,30,46580.357142857145,01/04/2025,Gdl|Providencia 4a Sección|5217000.0|112.0|Dep
Sep25_fec2c1e7,Inm24,Gdl,Providencia 4a Sección,Ven,Dep,75.0,2.0,1.0,5885500.0,,-103.389554,20.695785,,2.0,0,78473.33333333333,01/04/2025,Gdl|Providencia 4a Sección|5885500.0|75.0|Dep
Sep25_1c2f440f,Inm24,Gdl,Providencia 4a Sección,Ven,Dep,64.0,1.0,1.0,4468625.0,,-103.384364,20.698003,2.0,1.5,0,69822.265625,01/04/2025,Gdl|Providencia 4a Sección|4468625.0|64.0|Dep
Sep25_42897aa0,Inm24,Gdl,Providencia 4a Sección,Ven,Dep,111.0,3.0,2.0,6300000.0,1700.0,-103.38476,20.69524,166.0,2.0,8,56756.75675675676,01/04/2025,Gdl|Providencia 4a Sección|6300000.0|111.0|Dep
Sep25_9a4f8e58,Inm24,Gdl,Providencia 4a Sección,Ven,Dep,255.0,4.0,2.0,20145000.0,,-103.385508,20.695801,29.0,4.5,0,79000.0,01/04/2025,Gdl|Providencia 4a Sección|20145000.0|255.0|Dep
Sep25_c4f39d68,Inm24,Gdl,Providencia 4a Sección,Ven,Dep,82.0,2.0,2.0,4800000.0,,-103.384581,20.701505,63.0,2.0,en construcción,58536.58536585366,01/04/2025,Gdl|Providencia 4a Sección|4800000.0|82.0|Dep
Sep25_1a6b315d,Inm24,Gdl,Providencia 4a Sección,Ven,Dep,222.0,3.0,2.0,11200000.0,,-103.391821,20.695521,231.0,3.0,10,50450.45045045045,01/04/2025,Gdl|Providencia 4a Sección|11200000.0|222.0|Dep
