id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_0628d75a,Inm24,Gdl,Vallarta San Jorge,Ven,Dep,151.0,3.0,2.0,9100000.0,4800.0,-103.394482,20.674987,107.0,3.0,5,60264.90066225165,01/04/2025,Gdl|Vallarta San Jorge|9100000.0|151.0|Dep
Sep25_a0bf6ca1,Inm24,Gdl,Vallarta San Jorge,Ven,Dep,199.0,3.0,2.0,11500000.0,,-103.4007,20.677028,,4.0,8,57788.94472361809,01/04/2025,Gdl|Vallarta San Jorge|11500000.0|199.0|Dep
Sep25_e4247544,Inm24,Gdl,Vallarta San Jorge,Ven,Dep,85.0,2.0,2.0,6672488.0,,-103.39376,20.677111,,2.0,0,78499.85882352942,01/04/2025,Gdl|Vallarta San Jorge|6672488.0|85.0|Dep
Sep25_11661b32,Inm24,Gdl,Vallarta San Jorge,Ven,Dep,115.0,2.0,3.0,7490000.0,,-103.4007,20.677028,,2.0,8,65130.434782608696,01/04/2025,Gdl|Vallarta San Jorge|7490000.0|115.0|Dep
Sep25_9d2e5e87,Inm24,Gdl,Vallarta San Jorge,Ven,Dep,135.0,2.0,2.0,8390000.0,,-103.4007,20.677028,,2.0,7,62148.14814814815,01/04/2025,Gdl|Vallarta San Jorge|8390000.0|135.0|Dep
Sep25_8d1b34e3,Inm24,Gdl,Vallarta San Jorge,Ven,Dep,325.0,4.0,4.0,19000000.0,,-103.4007,20.677028,342.0,5.5,7,58461.53846153846,01/04/2025,Gdl|Vallarta San Jorge|19000000.0|325.0|Dep
Sep25_a91e1ec3,Inm24,Gdl,Vallarta San Jorge,Ven,Dep,154.0,3.0,2.0,8750000.0,,-103.400192,20.678008,31.0,3.0,4,56818.181818181816,01/04/2025,Gdl|Vallarta San Jorge|8750000.0|154.0|Dep
Sep25_8bac3851,Inm24,Gdl,Vallarta San Jorge,Ven,Dep,82.0,2.0,1.0,4750000.0,2500.0,-103.397211,20.677158,60.0,2.0,0,57926.82926829269,01/04/2025,Gdl|Vallarta San Jorge|4750000.0|82.0|Dep
Sep25_ed4a0ef2,Inm24,Gdl,Vallarta San Jorge,Ven,Dep,113.0,2.0,2.0,6723500.0,,-103.393461,20.676993,261.0,2.5,1,59500.0,01/04/2025,Gdl|Vallarta San Jorge|6723500.0|113.0|Dep
Sep25_bcc28a41,Inm24,Gdl,Vallarta San Jorge,Ven,Dep,104.0,2.0,2.0,6950000.0,,-103.398853,20.67552,276.0,2.0,3,66826.92307692308,01/04/2025,Gdl|Vallarta San Jorge|6950000.0|104.0|Dep
