id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_b9d87b58,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Dep,47.0,1.0,1.0,2900000.0,,-103.366368,20.690486,289.0,1.0,0,61702.12765957447,01/04/2025,Gdl|Villaseñor (Santa Teresita)|2900000.0|47.0|Dep
Sep25_28f4ed60,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Dep,57.0,1.0,1.0,3801328.0,,-103.368951,20.693014,36.0,1.0,en construcción,66689.9649122807,01/04/2025,Gdl|Villaseñor (Santa Teresita)|3801328.0|57.0|Dep
Sep25_27ffbb2c,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Dep,45.0,1.0,,2215000.0,,-103.36403,20.690873,,1.0,0,49222.22222222222,01/04/2025,Gdl|Villaseñor (Santa Teresita)|2215000.0|45.0|Dep
Sep25_50cde9c0,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Dep,55.0,2.0,,1750000.0,,-103.36517,20.687924,10.0,1.0,40,31818.18181818182,01/04/2025,Gdl|Villaseñor (Santa Teresita)|1750000.0|55.0|Dep
Sep25_1a23071e,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Dep,129.0,2.0,2.0,4995000.0,,-103.366126,20.67999,,3.0,4,38720.93023255814,01/04/2025,Gdl|Villaseñor (Santa Teresita)|4995000.0|129.0|Dep
Sep25_13fd50b5,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Dep,65.0,2.0,1.0,1950000.0,,-103.368363,20.689342,30.0,1.0,0,30000.0,01/04/2025,Gdl|Villaseñor (Santa Teresita)|1950000.0|65.0|Dep
Sep25_932876d9,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Dep,36.0,1.0,,1695000.0,800.0,-103.364044,20.690873,85.0,1.0,0,47083.333333333336,01/04/2025,Gdl|Villaseñor (Santa Teresita)|1695000.0|36.0|Dep
Sep25_b2f8948f,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Dep,40.0,1.0,1.0,2338393.0,,-103.368951,20.693014,,1.0,0,58459.825,01/04/2025,Gdl|Villaseñor (Santa Teresita)|2338393.0|40.0|Dep
Sep25_80688ed3,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Dep,112.0,2.0,2.0,6908358.0,,-103.367912,20.689809,,2.0,0,61681.767857142855,01/04/2025,Gdl|Villaseñor (Santa Teresita)|6908358.0|112.0|Dep
Sep25_04fb9f5d,Inm24,Gdl,Villaseñor (Santa Teresita),Ven,Dep,78.0,1.0,1.0,5212186.0,,-103.367912,20.689809,,1.0,0,66822.89743589744,01/04/2025,Gdl|Villaseñor (Santa Teresita)|5212186.0|78.0|Dep
