id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_0de23b9c,Inm24,Gdl,Zona Centro,Ven,Dep,108.0,2.0,1.0,4990000.0,4700.0,-103.361269,20.677056,9.0,2.0,2,46203.7037037037,01/04/2025,Gdl|Zona Centro|4990000.0|108.0|Dep
Sep25_21a26e61,Inm24,Gdl,Zona Centro,Ven,Dep,71.0,1.0,,2990000.0,,-103.346675,20.680275,41.0,1.0,30,42112.67605633803,01/04/2025,Gdl|Zona Centro|2990000.0|71.0|Dep
Sep25_9abfedbb,Inm24,Gdl,Zona Centro,Ven,Dep,39.0,1.0,,1900274.0,,-103.353735,20.67446,253.0,1.0,0,48724.97435897436,01/04/2025,Gdl|Zona Centro|1900274.0|39.0|Dep
Sep25_7e4eac03,Inm24,Gdl,Zona Centro,Ven,Dep,37.0,1.0,,1885035.0,,-103.353735,20.67446,151.0,1.0,0,50946.89189189189,01/04/2025,Gdl|Zona Centro|1885035.0|37.0|Dep
Sep25_4318bdb8,Inm24,Gdl,Zona Centro,Ven,Dep,77.0,1.0,,3086400.0,2000.0,-103.346027,20.679362,74.0,1.0,1,40083.11688311688,01/04/2025,Gdl|Zona Centro|3086400.0|77.0|Dep
Sep25_d7468ad7,Inm24,Gdl,Zona Centro,Ven,Dep,73.0,2.0,2.0,4090000.0,1900.0,-103.365364,20.676757,241.0,2.0,5,56027.39726027397,01/04/2025,Gdl|Zona Centro|4090000.0|73.0|Dep
Sep25_51ef5658,Inm24,Gdl,Zona Centro,Ven,Dep,108.0,2.0,2.0,7650000.0,,-103.347339,20.675171,70.0,2.0,0,70833.33333333333,01/04/2025,Gdl|Zona Centro|7650000.0|108.0|Dep
Sep25_f89120ad,Inm24,Gdl,Zona Centro,Ven,Dep,26.0,1.0,,2958887.0,,-103.353735,20.67446,253.0,1.0,0,113803.34615384616,01/04/2025,Gdl|Zona Centro|2958887.0|26.0|Dep
Sep25_f5e01c8c,Inm24,Gdl,Zona Centro,Ven,Dep,86.0,1.0,,2610000.0,,-103.351767,20.672207,235.0,1.5,1,30348.837209302324,01/04/2025,Gdl|Zona Centro|2610000.0|86.0|Dep
Sep25_3a88fc84,Inm24,Gdl,Zona Centro,Ven,Dep,51.0,1.0,,2465760.0,,-103.36022,20.677702,169.0,1.0,0,48348.23529411765,01/04/2025,Gdl|Zona Centro|2465760.0|51.0|Dep
Sep25_38c3d02c,Inm24,Gdl,Zona Centro,Ven,Dep,67.0,1.0,1.0,5605257.0,,-103.366195,20.676924,,2.0,0,83660.55223880598,01/04/2025,Gdl|Zona Centro|5605257.0|67.0|Dep
Sep25_5da55271,Inm24,Gdl,Zona Centro,Ven,Dep,77.0,2.0,2.0,5231164.0,,-103.366195,20.676924,,2.0,0,67937.1948051948,01/04/2025,Gdl|Zona Centro|5231164.0|77.0|Dep
Sep25_9666ae52,Inm24,Gdl,Zona Centro,Ven,Dep,95.0,1.0,,4593120.0,,-103.36022,20.677702,,1.0,0,48348.63157894737,01/04/2025,Gdl|Zona Centro|4593120.0|95.0|Dep
Sep25_7d766103,Inm24,Gdl,Zona Centro,Ven,Dep,71.0,2.0,1.0,2889935.0,2200.0,-103.343513,20.672372,49.0,2.0,0,40703.30985915493,01/04/2025,Gdl|Zona Centro|2889935.0|71.0|Dep
Sep25_703230e3,Inm24,Gdl,Zona Centro,Ven,Dep,122.0,2.0,1.0,7500000.0,3000.0,-103.365509,20.676934,68.0,2.0,1,61475.40983606558,01/04/2025,Gdl|Zona Centro|7500000.0|122.0|Dep
Sep25_c0355d8f,Inm24,Gdl,Zona Centro,Ven,Dep,60.0,1.0,1.0,4264510.0,,-103.357436,20.676295,332.0,1.0,0,71075.16666666667,01/04/2025,Gdl|Zona Centro|4264510.0|60.0|Dep
Sep25_3b0e5b45,Inm24,Gdl,Zona Centro,Ven,Dep,51.0,1.0,,2229596.0,,-103.341881,20.680214,66.0,1.0,0,43717.56862745098,01/04/2025,Gdl|Zona Centro|2229596.0|51.0|Dep
Sep25_92106cf1,Inm24,Gdl,Zona Centro,Ven,Dep,63.0,1.0,,2336880.0,,-103.360251,20.677759,,1.0,0,37093.333333333336,01/04/2025,Gdl|Zona Centro|2336880.0|63.0|Dep
Sep25_9218e417,Inm24,Gdl,Zona Centro,Ven,Dep,42.0,1.0,,2027138.0,,-103.355486,20.673542,50.0,1.0,0,48265.19047619047,01/04/2025,Gdl|Zona Centro|2027138.0|42.0|Dep
Sep25_97b1a2a1,Inm24,Gdl,Zona Centro,Ven,Dep,72.0,2.0,2.0,4890683.0,2658.0,-103.357436,20.676295,332.0,1.5,0,67926.15277777778,01/04/2025,Gdl|Zona Centro|4890683.0|72.0|Dep
Sep25_18c77483,Inm24,Gdl,Zona Centro,Ven,Dep,30.0,1.0,,1730484.0,,-103.355486,20.673542,49.0,1.0,0,57682.8,01/04/2025,Gdl|Zona Centro|1730484.0|30.0|Dep
Sep25_6e86d587,Inm24,Gdl,Zona Centro,Ven,Dep,62.0,1.0,,2700000.0,1.0,-103.348486,20.670502,99.0,1.0,220,43548.3870967742,01/04/2025,Gdl|Zona Centro|2700000.0|62.0|Dep
Sep25_6c4f43d8,Inm24,Gdl,Zona Centro,Ven,Dep,33.0,1.0,,1681417.0,,-103.341881,20.680214,66.0,1.0,0,50952.030303030304,01/04/2025,Gdl|Zona Centro|1681417.0|33.0|Dep
Sep25_5f708641,Inm24,Gdl,Zona Centro,Ven,Dep,78.0,1.0,1.0,3846300.0,2000.0,-103.357204,20.673204,,1.5,0,49311.53846153846,01/04/2025,Gdl|Zona Centro|3846300.0|78.0|Dep
Sep25_24a0a684,Inm24,Gdl,Zona Centro,Ven,Dep,85.0,2.0,,1990000.0,,-103.350177,20.674165,,1.0,42,23411.764705882357,01/04/2025,Gdl|Zona Centro|1990000.0|85.0|Dep
Sep25_7910ff24,Inm24,Gdl,Zona Centro,Ven,Dep,46.0,1.0,1.0,2800000.0,45.0,-103.361269,20.677056,19.0,1.0,0,60869.5652173913,01/04/2025,Gdl|Zona Centro|2800000.0|46.0|Dep
Sep25_c1477a24,Inm24,Gdl,Zona Centro,Ven,Dep,62.0,2.0,1.0,3000000.0,1800.0,-103.354906,20.677581,31.0,1.0,0,48387.096774193546,01/04/2025,Gdl|Zona Centro|3000000.0|62.0|Dep
