id,PaginaWeb,Ciudad,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,Banos,precio,mantenimiento,Colonia,longitud,latitud,tiempo_publicacion,Banos_totales,antigüedad_icon,PxM2
Zap-Vall_Cas-005M-234_03-03-02_Monts-10343-20779,Zapopan,Valle Imperial,Venta,Casa,234,3.0,2.0,3.5,5980000,25555.56,1500.0,-103.433237,20.779404,106.0,1,,25555.556
Zap-Vall_Cas-010M-420_04-04-04_VECOR-10343-20777,Zapopan,Valle Imperial,Venta,Casa,420,4.0,4.0,4.0,10500000,25000.0,1500.0,-103.435442,20.777997,226.0,0,,25000.0
Zap-Vall_Cas-007M-242_03-03-03_SIERR-10343-20786,Zapopan,Valle Imperial,Venta,Casa,242,3.0,3.0,3.0,7000000,28925.62,1500.0,-103.431491,20.78624,93.0,6,,28925.62
Zap-Vall_Cas-005M-131_03-03-02_Pulpp-10343-20779,Zapopan,Valle Imperial,Venta,Casa,131,3.0,2.0,3.5,5650000,43129.77,1500.0,-103.433237,20.779404,92.0,2,,43129.771
Zap-Vall_Cas-009M-327_03-04-03_Tamar-10344-20773,Zapopan,Valle Imperial,Venta,Casa,327,3.0,3.0,4.5,9800000,29969.42,1500.0,-103.441472,20.773512,,3,,29969.419
Zap-Vall_Cas-007M-230_03-02-02_TALEN-10344-20773,Zapopan,Valle Imperial,Venta,Casa,230,3.0,2.0,2.5,7350000,31956.52,1500.0,-103.441472,20.773512,77.0,0,,31956.522
Zap-Vall_Cas-007M-240_03-02-02_TALEN-10344-20773,Zapopan,Valle Imperial,Venta,Casa,240,3.0,2.0,2.5,7200000,30000.0,1500.0,-103.441472,20.773512,77.0,0,,30000.0
Zap-Vall_Cas-009M-349_04-04-00_GPINM-10344-20772,Zapopan,Valle Imperial,Venta,Casa,349,4.0,,4.5,9990000,28624.64,1500.0,-103.442407,20.772922,,0,,28624.642
Zap-Vall_Cas-005M-207_03-04-02_GMAIn-10344-20771,Zapopan,Valle Imperial,Venta,Casa,207,3.0,2.0,4.0,5380000,25990.34,1500.0,-103.443273,20.771825,6.0,0,,25990.338
Zap-Vall_Cas-005M-261_03-03-02_JGCBI-10343-20779,Zapopan,Valle Imperial,Venta,Casa,261,3.0,2.0,3.5,5340000,20459.77,1500.0,-103.439147,20.779276,29.0,5,,20459.77
