id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_67182ccd,Inm24,Zap,Alcázar Poniente,Ven,Cas,500.0,6.0,6.0,31497138.0,,-103.42749,20.694626,15.0,5.5,0,62994.276,01/09/2025,Zap|Alcázar Poniente|31497138.0|500.0|Cas
Sep25_a80464eb,Inm24,Zap,Alcázar Poniente,Ven,Cas,500.0,5.0,4.0,34929999.0,,-103.4271,20.695735,31.0,5.5,0,69859.998,01/09/2025,Zap|Alcázar Poniente|34929999.0|500.0|Cas
Sep25_62de18b7,Inm24,Zap,Alcázar Poniente,Ven,Cas,450.0,6.0,6.0,29719012.0,,-103.4266,20.694975,15.0,5.5,0,66042.24888888889,01/09/2025,Zap|Alcázar Poniente|29719012.0|450.0|Cas
Sep25_7dbca937,Inm24,Zap,Alcázar Poniente,Ven,Cas,400.0,4.0,4.0,23480999.0,,-103.4271,20.695735,30.0,4.5,0,58702.4975,01/09/2025,Zap|Alcázar Poniente|23480999.0|400.0|Cas
Sep25_6adbe2c2,Inm24,Zap,Alcázar Poniente,Ven,Cas,665.0,4.0,6.0,43000000.0,,-103.4271,20.695735,60.0,6.5,0,64661.65413533834,01/09/2025,Zap|Alcázar Poniente|43000000.0|665.0|Cas
Sep25_b5b0fd7c,Inm24,Zap,Alcázar Poniente,Ven,Cas,400.0,4.0,4.0,32279999.0,,-103.4271,20.695735,31.0,4.5,0,80699.9975,01/09/2025,Zap|Alcázar Poniente|32279999.0|400.0|Cas
Sep25_789f3512,Inm24,Zap,Alcázar Poniente,Ven,Cas,300.0,4.0,3.0,13895000.0,1.0,-103.42725,20.695421,,4.5,2,46316.66666666666,01/09/2025,Zap|Alcázar Poniente|13895000.0|300.0|Cas
Sep25_2eee2e11,Inm24,Zap,Alcázar Poniente,Ven,Cas,500.0,5.0,4.0,31510999.0,,-103.4271,20.695735,31.0,5.5,0,63021.998,01/09/2025,Zap|Alcázar Poniente|31510999.0|500.0|Cas
Sep25_336d2dc0,Inm24,Zap,Alcázar Poniente,Ven,Cas,550.0,7.0,7.0,30820720.0,,-103.42707,20.695848,15.0,6.5,0,56037.67272727273,01/09/2025,Zap|Alcázar Poniente|30820720.0|550.0|Cas
Sep25_dbf0e579,Inm24,Zap,Alcázar Poniente,Ven,Cas,650.0,7.0,7.0,28896140.0,,-103.427444,20.694029,17.0,6.5,0,44455.6,01/09/2025,Zap|Alcázar Poniente|28896140.0|650.0|Cas
Sep25_7146a54d,Inm24,Zap,Alcázar Poniente,Ven,Cas,497.0,3.0,6.0,33800000.0,,-103.4271,20.695735,,4.0,5,68008.04828973844,01/09/2025,Zap|Alcázar Poniente|33800000.0|497.0|Cas
Sep25_163a7b4d,Inm24,Zap,Alcázar Poniente,Ven,Cas,600.0,7.0,7.0,52248060.0,,-103.42664,20.694593,17.0,6.5,0,87080.1,01/09/2025,Zap|Alcázar Poniente|52248060.0|600.0|Cas
Sep25_3ab17d50,Inm24,Zap,Alcázar Poniente,Ven,Cas,500.0,5.0,4.0,29029999.0,,-103.4271,20.695735,74.0,5.5,0,58059.998,01/09/2025,Zap|Alcázar Poniente|29029999.0|500.0|Cas
Sep25_c0eb227b,Inm24,Zap,Alcázar Poniente,Ven,Cas,400.0,4.0,2.0,23313999.0,,-103.4271,20.695735,74.0,4.5,0,58284.9975,01/09/2025,Zap|Alcázar Poniente|23313999.0|400.0|Cas
Sep25_906a6660,Inm24,Zap,Alcázar Poniente,Ven,Cas,500.0,5.0,4.0,25913999.0,,-103.4271,20.695735,74.0,5.5,0,51827.998,01/09/2025,Zap|Alcázar Poniente|25913999.0|500.0|Cas
