id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_eee80297,Inm24,Zap,Alicante,Ven,Cas,177.0,3.0,2.0,4425000.0,1100.0,-103.410373,20.786614,60.0,2.5,0,25000.0,01/09/2025,Zap|Alicante|4425000.0|177.0|Cas
Sep25_e9e242b5,Inm24,Zap,Alicante,Ven,Cas,180.0,3.0,2.0,4800000.0,1100.0,-103.410373,20.786614,60.0,4.0,0,26666.666666666668,01/09/2025,Zap|Alicante|4800000.0|180.0|Cas
Sep25_4a8aa1a6,Inm24,Zap,Alicante,Ven,Cas,180.0,3.0,2.0,4700000.0,1100.0,-103.410373,20.786614,60.0,4.0,0,26111.11111111111,01/09/2025,Zap|Alicante|4700000.0|180.0|Cas
Sep25_9b1bfdd5,Inm24,Zap,Alicante,Ven,Cas,179.0,3.0,2.0,4700000.0,,-103.412189,20.78722,63.0,4.0,,26256.983240223464,01/09/2025,Zap|Alicante|4700000.0|179.0|Cas
Sep25_546a94f7,Inm24,Zap,Alicante,Ven,Cas,187.0,3.0,2.0,4500000.0,,-103.410577,20.788797,53.0,3.0,en construcción,24064.17112299465,01/09/2025,Zap|Alicante|4500000.0|187.0|Cas
Sep25_42f36a5d,Inm24,Zap,Alicante,Ven,Cas,186.0,3.0,2.0,4750000.0,,-103.411223,20.788753,,2.5,0,25537.63440860215,01/09/2025,Zap|Alicante|4750000.0|186.0|Cas
Sep25_546d05a2,Inm24,Zap,Alicante,Ven,Cas,192.0,4.0,2.0,4800000.0,,-103.412483,20.787505,185.0,4.5,0,25000.0,01/09/2025,Zap|Alicante|4800000.0|192.0|Cas
Sep25_7baa4b93,Inm24,Zap,Alicante,Ven,Cas,190.0,3.0,,4750000.0,,-103.411342,20.78755,194.0,3.5,,25000.0,01/09/2025,Zap|Alicante|4750000.0|190.0|Cas
Sep25_02f3aa0d,Inm24,Zap,Alicante,Ven,Cas,220.0,3.0,2.0,4800000.0,,-103.412184,20.787201,55.0,2.0,,21818.18181818182,01/09/2025,Zap|Alicante|4800000.0|220.0|Cas
Sep25_303800b8,Inm24,Zap,Alicante,Ven,Cas,115.0,2.0,,4380000.0,,-103.410577,20.788797,89.0,3.0,0,38086.95652173913,01/09/2025,Zap|Alicante|4380000.0|115.0|Cas
