id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_6d5cfbba,Inm24,Zap,Arauca II,Ven,Cas,400.0,4.0,4.0,19892999.0,,-103.466283,20.734332,30.0,4.5,0,49732.4975,01/09/2025,Zap|Arauca II|19892999.0|400.0|Cas
Sep25_72486e75,Inm24,Zap,Arauca II,Ven,Cas,314.0,4.0,6.0,16950000.0,3200.0,-103.466352,20.734745,156.0,5.5,4,53980.891719745225,01/09/2025,Zap|Arauca II|16950000.0|314.0|Cas
Sep25_01c415df,Inm24,Zap,Arauca II,Ven,Cas,550.0,4.0,2.0,23500000.0,,-103.465358,20.734048,10.0,5.0,0,42727.27272727273,01/09/2025,Zap|Arauca II|23500000.0|550.0|Cas
Sep25_fec87485,Inm24,Zap,Arauca II,Ven,Cas,460.0,4.0,4.0,16700000.0,,-103.465583,20.734682,77.0,4.5,14,36304.34782608696,01/09/2025,Zap|Arauca II|16700000.0|460.0|Cas
Sep25_3ec0b33b,Inm24,Zap,Arauca II,Ven,Cas,380.0,6.0,6.0,23930000.0,,-103.46457,20.7382,14.0,5.5,0,62973.68421052631,01/09/2025,Zap|Arauca II|23930000.0|380.0|Cas
Sep25_bccbacb1,Inm24,Zap,Arauca II,Ven,Cas,405.0,3.0,4.0,19850000.0,,-103.466312,20.73449,,3.0,7,49012.345679012345,01/09/2025,Zap|Arauca II|19850000.0|405.0|Cas
Sep25_f7a97694,Inm24,Zap,Arauca II,Ven,Cas,300.0,5.0,4.0,15702376.0,,-103.46474,20.736092,17.0,5.5,0,52341.25333333333,01/09/2025,Zap|Arauca II|15702376.0|300.0|Cas
Sep25_d4f54d55,Inm24,Zap,Arauca II,Ven,Cas,350.0,5.0,4.0,19090070.0,,-103.46469,20.7366,17.0,5.5,0,54543.05714285714,01/09/2025,Zap|Arauca II|19090070.0|350.0|Cas
Sep25_6bfc5b22,Inm24,Zap,Arauca II,Ven,Cas,380.0,6.0,6.0,15989315.0,,-103.467384,20.738111,13.0,5.5,0,42077.14473684211,01/09/2025,Zap|Arauca II|15989315.0|380.0|Cas
Sep25_0012d765,Inm24,Zap,Arauca II,Ven,Cas,330.0,5.0,4.0,18787995.0,,-103.46658,20.736483,17.0,5.5,0,56933.31818181818,01/09/2025,Zap|Arauca II|18787995.0|330.0|Cas
Sep25_bae82694,Inm24,Zap,Arauca II,Ven,Cas,410.0,3.0,5.0,20300000.0,4500.0,-103.465863,20.736297,191.0,4.5,5,49512.19512195122,01/09/2025,Zap|Arauca II|20300000.0|410.0|Cas
Sep25_710dd468,Inm24,Zap,Arauca II,Ven,Cas,390.0,4.0,3.0,20500000.0,4508.0,-103.464517,20.734924,221.0,4.0,7,52564.10256410256,01/09/2025,Zap|Arauca II|20500000.0|390.0|Cas
Sep25_10a79ff5,Inm24,Zap,Arauca II,Ven,Cas,320.0,5.0,4.0,19361090.0,,-103.46548,20.736153,17.0,5.5,0,60503.40625,01/09/2025,Zap|Arauca II|19361090.0|320.0|Cas
Sep25_3c77167e,Inm24,Zap,Arauca II,Ven,Cas,350.0,5.0,4.0,17087580.0,,-103.464554,20.736029,18.0,5.5,0,48821.65714285714,01/09/2025,Zap|Arauca II|17087580.0|350.0|Cas
