id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_f255ad4b,Inm24,Zap,Arcos de Guadalupe,Ven,Cas,508.0,3.0,4.0,13987000.0,,-103.436036,20.668706,149.0,4.0,0,27533.46456692913,01/09/2025,Zap|Arcos de Guadalupe|13987000.0|508.0|Cas
Sep25_1f387d07,Inm24,Zap,Arcos de Guadalupe,Ven,Cas,170.0,2.0,2.0,8400000.0,,-103.436355,20.670586,181.0,2.5,5,49411.76470588235,01/09/2025,Zap|Arcos de Guadalupe|8400000.0|170.0|Cas
Sep25_6ed7c420,Inm24,Zap,Arcos de Guadalupe,Ven,Cas,194.0,3.0,5.0,10000000.0,,-103.43407,20.667105,92.0,4.5,25,51546.39175257732,01/09/2025,Zap|Arcos de Guadalupe|10000000.0|194.0|Cas
Sep25_c8ea9b0a,Inm24,Zap,Arcos de Guadalupe,Ven,Cas,515.0,4.0,3.0,17500000.0,,-103.433833,20.665127,,4.5,4,33980.58252427184,01/09/2025,Zap|Arcos de Guadalupe|17500000.0|515.0|Cas
Sep25_d515d826,Inm24,Zap,Arcos de Guadalupe,Ven,Cas,246.0,4.0,2.0,7500000.0,,-103.435397,20.666927,1.0,3.0,35,30487.80487804878,01/09/2025,Zap|Arcos de Guadalupe|7500000.0|246.0|Cas
Sep25_ae2e760c,Inm24,Zap,Arcos de Guadalupe,Ven,Cas,578.0,4.0,4.0,18500000.0,,-103.435283,20.663176,,4.0,25,32006.920415224915,01/09/2025,Zap|Arcos de Guadalupe|18500000.0|578.0|Cas
Sep25_42f4d342,Inm24,Zap,Arcos de Guadalupe,Ven,Cas,331.0,4.0,2.0,7850000.0,,-103.436073,20.66341,20.0,2.5,29,23716.012084592145,01/09/2025,Zap|Arcos de Guadalupe|7850000.0|331.0|Cas
Sep25_9dd30b0d,Inm24,Zap,Arcos de Guadalupe,Ven,Cas,470.0,5.0,,10500000.0,,-103.430897,20.66431,,4.0,30,22340.42553191489,01/09/2025,Zap|Arcos de Guadalupe|10500000.0|470.0|Cas
Sep25_e83f4ca4,Inm24,Zap,Arcos de Guadalupe,Ven,Cas,240.0,3.0,5.0,11900000.0,,-103.437102,20.668872,,3.5,35,49583.333333333336,01/09/2025,Zap|Arcos de Guadalupe|11900000.0|240.0|Cas
Sep25_3521af0b,Inm24,Zap,Arcos de Guadalupe,Ven,Cas,405.0,5.0,3.0,12998000.0,,-103.431178,20.667013,128.0,5.0,,32093.827160493827,01/09/2025,Zap|Arcos de Guadalupe|12998000.0|405.0|Cas
Sep25_4f496e66,Inm24,Zap,Arcos de Guadalupe,Ven,Cas,180.0,2.0,2.0,9700000.0,,-103.43316,20.665861,323.0,2.5,13,53888.88888888889,01/09/2025,Zap|Arcos de Guadalupe|9700000.0|180.0|Cas
Sep25_f2696eb6,Inm24,Zap,Arcos de Guadalupe,Ven,Cas,470.0,5.0,2.0,12500000.0,,-103.430897,20.66431,17.0,3.5,20,26595.744680851065,01/09/2025,Zap|Arcos de Guadalupe|12500000.0|470.0|Cas
Sep25_c583bf0c,Inm24,Zap,Arcos de Guadalupe,Ven,Cas,327.0,5.0,5.0,14900000.0,,-103.430383,20.663626,,3.5,20,45565.749235474,01/09/2025,Zap|Arcos de Guadalupe|14900000.0|327.0|Cas
