id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_f8bd41b1,Inm24,Zap,Argenta Parque Residencial,Ven,Cas,218.0,4.0,2.0,6400000.0,,-103.397491,20.769199,51.0,4.0,5,29357.79816513761,01/09/2025,Zap|Argenta Parque Residencial|6400000.0|218.0|Cas
Sep25_c5a6f65e,Inm24,Zap,Argenta Parque Residencial,Ven,Cas,102.0,2.0,2.0,3877135.0,,-103.396443,20.768449,189.0,2.5,0,38011.12745098039,01/09/2025,Zap|Argenta Parque Residencial|3877135.0|102.0|Cas
Sep25_1bb4f420,Inm24,Zap,Argenta Parque Residencial,Ven,Cas,190.0,3.0,2.0,5980000.0,,-103.396806,20.770671,,2.5,0,31473.68421052632,01/09/2025,Zap|Argenta Parque Residencial|5980000.0|190.0|Cas
Sep25_6bc5f272,Inm24,Zap,Argenta Parque Residencial,Ven,Cas,170.0,4.0,2.0,6995000.0,,-103.396827,20.769036,359.0,3.5,0,41147.05882352941,01/09/2025,Zap|Argenta Parque Residencial|6995000.0|170.0|Cas
Sep25_f7dc6716,Inm24,Zap,Argenta Parque Residencial,Ven,Cas,234.0,4.0,3.0,7199000.0,,-103.396794,20.769127,31.0,3.5,0,30764.957264957266,01/09/2025,Zap|Argenta Parque Residencial|7199000.0|234.0|Cas
Sep25_4d44ee30,Inm24,Zap,Argenta Parque Residencial,Ven,Cas,198.0,4.0,2.0,5795000.0,,-103.395996,20.77146,33.0,3.5,0,29267.676767676767,01/09/2025,Zap|Argenta Parque Residencial|5795000.0|198.0|Cas
Sep25_f1af6744,Inm24,Zap,Argenta Parque Residencial,Ven,Cas,235.0,4.0,3.0,7200000.0,,-103.395556,20.770707,,4.0,0,30638.297872340427,01/09/2025,Zap|Argenta Parque Residencial|7200000.0|235.0|Cas
Sep25_0f58c9e9,Inm24,Zap,Argenta Parque Residencial,Ven,Cas,234.0,4.0,2.0,7045000.0,450.0,-103.396859,20.769002,,3.5,0,30106.83760683761,01/09/2025,Zap|Argenta Parque Residencial|7045000.0|234.0|Cas
Sep25_3492b80e,Inm24,Zap,Argenta Parque Residencial,Ven,Cas,99.0,3.0,2.0,4354775.0,,-103.396451,20.768413,162.0,2.5,0,43987.62626262626,01/09/2025,Zap|Argenta Parque Residencial|4354775.0|99.0|Cas
Sep25_d595ce11,Inm24,Zap,Argenta Parque Residencial,Ven,Cas,149.0,4.0,2.0,5795000.0,1100.0,-103.397372,20.769298,51.0,3.5,0,38892.61744966443,01/09/2025,Zap|Argenta Parque Residencial|5795000.0|149.0|Cas
Sep25_9de7fd38,Inm24,Zap,Argenta Parque Residencial,Ven,Cas,201.0,3.0,2.0,5790000.0,,-103.396586,20.769382,55.0,3.0,,28805.97014925373,01/09/2025,Zap|Argenta Parque Residencial|5790000.0|201.0|Cas
