id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_35604c7b,Inm24,Zap,Ayamonte,Ven,Cas,500.0,6.0,6.0,28546969.0,,-103.46816,20.67566,15.0,5.5,0,57093.938,01/09/2025,Zap|Ayamonte|28546969.0|500.0|Cas
Sep25_828659e0,Inm24,Zap,Ayamonte,Ven,Cas,1200.0,5.0,8.0,70000000.0,,-103.463659,20.671559,8.0,9.0,5,58333.333333333336,01/09/2025,Zap|Ayamonte|70000000.0|1200.0|Cas
Sep25_fd9af4c0,Inm24,Zap,Ayamonte,Ven,Cas,700.0,6.0,6.0,40899999.0,,-103.467073,20.675263,3.0,6.5,0,58428.57,01/09/2025,Zap|Ayamonte|40899999.0|700.0|Cas
Sep25_2e794998,Inm24,Zap,Ayamonte,Ven,Cas,480.0,6.0,6.0,28512327.0,,-103.46867,20.675217,17.0,5.5,0,59400.68125,01/09/2025,Zap|Ayamonte|28512327.0|480.0|Cas
Sep25_f21ad193,Inm24,Zap,Ayamonte,Ven,Cas,700.0,6.0,6.0,38202999.0,,-103.467073,20.675263,31.0,6.5,0,54575.712857142855,01/09/2025,Zap|Ayamonte|38202999.0|700.0|Cas
Sep25_8a004ea5,Inm24,Zap,Ayamonte,Ven,Cas,973.0,5.0,8.0,69000000.0,,-103.467475,20.677547,,6.5,0,70914.6968139774,01/09/2025,Zap|Ayamonte|69000000.0|973.0|Cas
Sep25_74562d27,Inm24,Zap,Ayamonte,Ven,Cas,1100.0,3.0,6.0,69000000.0,,-103.464189,20.671332,338.0,6.0,6,62727.27272727273,01/09/2025,Zap|Ayamonte|69000000.0|1100.0|Cas
Sep25_95354041,Inm24,Zap,Ayamonte,Ven,Cas,800.0,7.0,6.0,42200999.0,,-103.467073,20.675263,31.0,7.5,0,52751.24875,01/09/2025,Zap|Ayamonte|42200999.0|800.0|Cas
Sep25_21e3fd53,Inm24,Zap,Ayamonte,Ven,Cas,550.0,7.0,7.0,31664795.0,,-103.46886,20.6725,17.0,6.5,0,57572.35454545455,01/09/2025,Zap|Ayamonte|31664795.0|550.0|Cas
Sep25_41b36442,Inm24,Zap,Ayamonte,Ven,Cas,1000.0,5.0,9.0,59000000.0,,-103.467299,20.673588,269.0,7.0,0,59000.0,01/09/2025,Zap|Ayamonte|59000000.0|1000.0|Cas
Sep25_2e6db29e,Inm24,Zap,Ayamonte,Ven,Cas,1152.0,5.0,8.0,59000000.0,,-103.463882,20.671613,130.0,7.0,en construcción,51215.27777777778,01/09/2025,Zap|Ayamonte|59000000.0|1152.0|Cas
Sep25_9c88226f,Inm24,Zap,Ayamonte,Ven,Cas,1170.0,5.0,5.0,40500000.0,,-103.469696,20.675978,,7.5,5,34615.38461538462,01/09/2025,Zap|Ayamonte|40500000.0|1170.0|Cas
Sep25_6d63adfe,Inm24,Zap,Ayamonte,Ven,Cas,972.0,5.0,8.0,70000000.0,,-103.467073,20.675263,,6.0,0,72016.4609053498,01/09/2025,Zap|Ayamonte|70000000.0|972.0|Cas
Sep25_72ea7388,Inm24,Zap,Ayamonte,Ven,Cas,800.0,7.0,6.0,41200999.0,,-103.467073,20.675263,31.0,7.5,0,51501.24875,01/09/2025,Zap|Ayamonte|41200999.0|800.0|Cas
