id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_30841ff0,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,176.0,3.0,2.0,7590000.0,2725.0,-103.467172,20.727564,43.0,3.5,0,43125.0,01/09/2025,Zap|Base Aérea Militar No 5|7590000.0|176.0|Cas
Sep25_c0c26519,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,238.0,3.0,2.0,9400000.0,1300.0,-103.467172,20.727564,22.0,5.0,0,39495.79831932773,01/09/2025,Zap|Base Aérea Militar No 5|9400000.0|238.0|Cas
Sep25_1746da5a,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,182.0,3.0,2.0,7920000.0,2737.0,-103.467172,20.727564,43.0,4.5,0,43516.48351648352,01/09/2025,Zap|Base Aérea Militar No 5|7920000.0|182.0|Cas
Sep25_14795af7,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,210.0,3.0,2.0,6950000.0,2300.0,-103.468114,20.727842,227.0,3.0,3,33095.23809523809,01/09/2025,Zap|Base Aérea Militar No 5|6950000.0|210.0|Cas
Sep25_fb69649a,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,181.0,3.0,2.0,8700000.0,1300.0,-103.467172,20.727564,24.0,3.0,0,48066.29834254144,01/09/2025,Zap|Base Aérea Militar No 5|8700000.0|181.0|Cas
Sep25_c38b9427,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,210.0,3.0,2.0,8500000.0,2800.0,-103.466698,20.727448,22.0,4.0,0,40476.19047619047,01/09/2025,Zap|Base Aérea Militar No 5|8500000.0|210.0|Cas
Sep25_e7016df6,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,320.0,5.0,4.0,17422273.0,,-103.473694,20.740747,12.0,5.5,0,54444.603125,01/09/2025,Zap|Base Aérea Militar No 5|17422273.0|320.0|Cas
Sep25_6b898747,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,457.0,5.0,4.0,24950000.0,3500.0,-103.475528,20.736183,12.0,5.5,5,54595.18599562363,01/09/2025,Zap|Base Aérea Militar No 5|24950000.0|457.0|Cas
Sep25_f6513784,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,250.0,5.0,3.0,8750000.0,,-103.465332,20.727323,29.0,4.0,2,35000.0,01/09/2025,Zap|Base Aérea Militar No 5|8750000.0|250.0|Cas
Sep25_7053e5f2,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,253.0,3.0,2.0,10950000.0,,-103.458241,20.726247,163.0,5.0,6,43280.63241106719,01/09/2025,Zap|Base Aérea Militar No 5|10950000.0|253.0|Cas
Sep25_d533d501,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,190.0,3.0,2.0,6850000.0,,-103.466698,20.727448,41.0,2.5,15,36052.63157894737,01/09/2025,Zap|Base Aérea Militar No 5|6850000.0|190.0|Cas
Sep25_d405b88d,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,231.0,3.0,6.0,13500000.0,,-103.467159,20.727731,271.0,3.5,3,58441.55844155844,01/09/2025,Zap|Base Aérea Militar No 5|13500000.0|231.0|Cas
Sep25_aa42ae11,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,293.0,3.0,2.0,9200000.0,,-103.477529,20.736683,,4.5,0,31399.317406143346,01/09/2025,Zap|Base Aérea Militar No 5|9200000.0|293.0|Cas
Sep25_b25ebbf1,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,340.0,5.0,4.0,17592210.0,,-103.47341,20.741795,12.0,5.5,0,51741.794117647056,01/09/2025,Zap|Base Aérea Militar No 5|17592210.0|340.0|Cas
Sep25_92c66fbf,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,380.0,6.0,6.0,17955468.0,,-103.47557,20.7412,12.0,5.5,0,47251.231578947365,01/09/2025,Zap|Base Aérea Militar No 5|17955468.0|380.0|Cas
Sep25_4c5d389e,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,400.0,6.0,6.0,18020460.0,,-103.47486,20.739681,12.0,5.5,0,45051.15,01/09/2025,Zap|Base Aérea Militar No 5|18020460.0|400.0|Cas
Sep25_b1131f8f,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,240.0,3.0,2.0,8300000.0,1000.0,-103.467172,20.727564,,3.0,0,34583.333333333336,01/09/2025,Zap|Base Aérea Militar No 5|8300000.0|240.0|Cas
Sep25_93e220c4,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,190.0,3.0,3.0,7500000.0,,-103.466698,20.727448,205.0,3.5,0,39473.68421052631,01/09/2025,Zap|Base Aérea Militar No 5|7500000.0|190.0|Cas
Sep25_890401b9,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,170.0,5.0,,6950000.0,1300.0,-103.466698,20.727448,14.0,5.5,5,40882.35294117647,01/09/2025,Zap|Base Aérea Militar No 5|6950000.0|170.0|Cas
Sep25_b3fa5f9b,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,218.0,3.0,2.0,7875000.0,,-103.466698,20.727448,,4.5,0,36123.85321100918,01/09/2025,Zap|Base Aérea Militar No 5|7875000.0|218.0|Cas
Sep25_0324dbf9,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,144.0,3.0,3.0,8850000.0,,-103.466698,20.727448,86.0,4.5,2,61458.333333333336,01/09/2025,Zap|Base Aérea Militar No 5|8850000.0|144.0|Cas
Sep25_b7dcdfba,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,211.0,4.0,2.0,7590000.0,,-103.467172,20.727564,,4.5,0,35971.56398104265,01/09/2025,Zap|Base Aérea Militar No 5|7590000.0|211.0|Cas
Sep25_5f27556e,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,207.0,3.0,2.0,7600000.0,,-103.465226,20.730408,164.0,3.5,0,36714.97584541063,01/09/2025,Zap|Base Aérea Militar No 5|7600000.0|207.0|Cas
Sep25_8a38a706,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,400.0,5.0,4.0,18590999.0,,-103.475022,20.741056,54.0,5.5,0,46477.4975,01/09/2025,Zap|Base Aérea Militar No 5|18590999.0|400.0|Cas
Sep25_1651e5e8,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,200.0,3.0,2.0,8300000.0,,-103.466698,20.727448,17.0,3.0,0,41500.0,01/09/2025,Zap|Base Aérea Militar No 5|8300000.0|200.0|Cas
Sep25_2498b53b,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,210.0,3.0,2.0,8850000.0,,-103.467172,20.727564,276.0,4.5,0,42142.857142857145,01/09/2025,Zap|Base Aérea Militar No 5|8850000.0|210.0|Cas
Sep25_bfc98925,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,136.0,3.0,2.0,8350000.0,,-103.467172,20.727564,55.0,2.0,,61397.05882352941,01/09/2025,Zap|Base Aérea Militar No 5|8350000.0|136.0|Cas
Sep25_98ffdbb3,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,210.0,4.0,2.0,9786600.0,,-103.467172,20.727564,4.0,5.0,,46602.857142857145,01/09/2025,Zap|Base Aérea Militar No 5|9786600.0|210.0|Cas
Sep25_b6401611,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,201.0,3.0,3.0,6990000.0,,-103.458678,20.726293,78.0,4.5,0,34776.119402985074,01/09/2025,Zap|Base Aérea Militar No 5|6990000.0|201.0|Cas
Sep25_5abcf542,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,302.0,4.0,7.0,9100000.0,,-103.467172,20.727564,7.0,5.0,0,30132.450331125827,01/09/2025,Zap|Base Aérea Militar No 5|9100000.0|302.0|Cas
Sep25_27fee0fe,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,210.0,3.0,2.0,7900000.0,,-103.467172,20.727564,30.0,4.0,,37619.04761904762,01/09/2025,Zap|Base Aérea Militar No 5|7900000.0|210.0|Cas
Sep25_a507e805,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,210.0,3.0,2.0,7200000.0,,-103.466698,20.727448,72.0,2.5,0,34285.71428571428,01/09/2025,Zap|Base Aérea Militar No 5|7200000.0|210.0|Cas
Sep25_85c13df7,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,300.0,5.0,4.0,16878772.0,,-103.47451,20.74088,13.0,5.5,0,56262.57333333333,01/09/2025,Zap|Base Aérea Militar No 5|16878772.0|300.0|Cas
Sep25_eb233549,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,400.0,4.0,4.0,19550999.0,,-103.475022,20.741056,4.0,4.5,0,48877.4975,01/09/2025,Zap|Base Aérea Militar No 5|19550999.0|400.0|Cas
Sep25_289d4657,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,245.0,4.0,2.0,8700000.0,,-103.466698,20.727448,15.0,5.0,0,35510.204081632655,01/09/2025,Zap|Base Aérea Militar No 5|8700000.0|245.0|Cas
Sep25_8a1b3e8f,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,349.0,3.0,4.0,15100000.0,3494.0,-103.473021,20.736348,60.0,3.5,1,43266.47564469914,01/09/2025,Zap|Base Aérea Militar No 5|15100000.0|349.0|Cas
Sep25_b1c856e4,Inm24,Zap,Base Aérea Militar No 5,Ven,Cas,400.0,4.0,4.0,18450999.0,,-103.475022,20.741056,31.0,4.5,0,46127.4975,01/09/2025,Zap|Base Aérea Militar No 5|18450999.0|400.0|Cas
