id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_611575fa,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,301.0,5.0,4.0,18500000.0,2200.0,-103.366253,20.779006,115.0,5.0,1,61461.79401993356,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|18500000.0|301.0|Cas
Sep25_a1bde640,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,530.0,3.0,4.0,17300000.0,3640.0,-103.360212,20.781929,,3.5,18,32641.509433962263,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|17300000.0|530.0|Cas
Sep25_5f340983,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,1152.0,5.0,6.0,45000000.0,,-103.357341,20.783981,,6.5,10,39062.5,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|45000000.0|1152.0|Cas
Sep25_a10c1291,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,232.0,3.0,3.0,8890000.0,,-103.364593,20.783346,107.0,4.5,11,38318.96551724138,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|8890000.0|232.0|Cas
Sep25_adf81b50,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,220.0,3.0,3.0,13800000.0,,-103.373051,20.772998,30.0,3.5,1,62727.27272727273,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|13800000.0|220.0|Cas
Sep25_a930b572,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,360.0,3.0,4.0,14900000.0,,-103.378026,20.775359,,4.5,12,41388.88888888889,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|14900000.0|360.0|Cas
Sep25_7687d963,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,480.0,3.0,4.0,23950000.0,,-103.359152,20.788802,276.0,5.0,20,49895.833333333336,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|23950000.0|480.0|Cas
Sep25_4e443b56,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,232.0,3.0,3.0,8890009.0,,-103.365949,20.779615,61.0,4.5,11,38319.004310344826,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|8890009.0|232.0|Cas
Sep25_fa72d9cb,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,320.0,3.0,3.0,12850000.0,,-103.358112,20.782525,194.0,3.5,18,40156.25,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|12850000.0|320.0|Cas
Sep25_8111162f,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,636.0,4.0,6.0,19800000.0,,-103.376433,20.780003,316.0,6.0,18,31132.075471698117,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|19800000.0|636.0|Cas
Sep25_e6bbb1ac,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,399.0,3.0,5.0,15000000.0,2900.0,-103.37473,20.771922,48.0,2.5,22,37593.984962406015,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|15000000.0|399.0|Cas
Sep25_67e23757,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,723.0,4.0,,23000000.0,,-103.374907,20.779844,,7.0,16,31811.894882434302,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|23000000.0|723.0|Cas
Sep25_2936f24f,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,90.0,4.0,2.0,3750000.0,300.0,-103.372567,20.775763,50.0,3.0,10,41666.66666666666,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|3750000.0|90.0|Cas
Sep25_590e5a5e,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,493.0,4.0,6.0,17600000.0,,-103.354147,20.783978,276.0,3.5,14,35699.797160243405,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|17600000.0|493.0|Cas
Sep25_ab7ba8a0,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,360.0,4.0,3.0,8500000.0,2300.0,-103.365513,20.779196,,3.0,20,23611.11111111111,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|8500000.0|360.0|Cas
Sep25_a635bd8f,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,619.0,4.0,6.0,19800000.0,,-103.36417,20.785527,51.0,4.5,4,31987.07592891761,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|19800000.0|619.0|Cas
Sep25_538b41e7,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,535.0,3.0,,24000000.0,,-103.366391,20.778366,159.0,3.0,10,44859.81308411215,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|24000000.0|535.0|Cas
Sep25_785e8bbf,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,212.0,5.0,3.0,6000000.0,,-103.360099,20.7878,3.0,4.0,2,28301.88679245283,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|6000000.0|212.0|Cas
Sep25_0f59bab7,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,800.0,3.0,5.0,20000000.0,,-103.361565,20.779138,,4.0,0,25000.0,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|20000000.0|800.0|Cas
Sep25_1753c9b1,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,550.0,7.0,7.0,18739600.0,,-103.372665,20.778887,17.0,6.5,0,34072.0,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|18739600.0|550.0|Cas
Sep25_682ccfb9,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,350.0,5.0,4.0,15485696.0,,-103.37284,20.772991,16.0,5.5,0,44244.84571428572,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|15485696.0|350.0|Cas
Sep25_80beb7ee,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,690.0,5.0,4.0,15600000.0,3200.0,-103.367462,20.778712,255.0,5.5,37,22608.695652173912,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|15600000.0|690.0|Cas
Sep25_e1c314f4,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,900.0,4.0,,33000000.0,,-103.370336,20.776415,,5.5,7,36666.66666666666,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|33000000.0|900.0|Cas
Sep25_6ff9747f,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,650.0,7.0,7.0,21919400.0,,-103.37458,20.776,16.0,6.5,0,33722.153846153844,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|21919400.0|650.0|Cas
Sep25_0f7459d9,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,800.0,4.0,5.0,14000000.0,,-103.365949,20.779615,68.0,3.5,15,17500.0,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|14000000.0|800.0|Cas
Sep25_e7aca504,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,313.0,3.0,,9450000.0,,-103.365949,20.779615,,4.0,5,30191.693290734824,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|9450000.0|313.0|Cas
Sep25_bfdf179c,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,1500.0,5.0,5.0,45000000.0,3000.0,-103.365949,20.779615,78.0,12.0,20,30000.0,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|45000000.0|1500.0|Cas
Sep25_c7e29e87,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,782.0,4.0,3.0,9450000.0,,-103.359583,20.782787,49.0,4.5,9,12084.398976982096,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|9450000.0|782.0|Cas
Sep25_edbcb190,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,357.0,2.0,3.0,11300000.0,,-103.37248,20.778443,156.0,3.0,9,31652.66106442577,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|11300000.0|357.0|Cas
Sep25_a0a81fdc,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,631.0,2.0,3.0,11300000.0,2500.0,-103.37248,20.778443,2.0,3.0,10,17908.0824088748,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|11300000.0|631.0|Cas
Sep25_c88d1743,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,580.0,5.0,8.0,14800000.0,,-103.365,20.7785,331.0,6.0,1,25517.241379310344,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|14800000.0|580.0|Cas
Sep25_54cb27e1,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,1063.0,3.0,4.0,32000000.0,,-103.360808,20.786757,53.0,3.0,0,30103.480714957663,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|32000000.0|1063.0|Cas
Sep25_ae83313b,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,95.0,2.0,2.0,2600000.0,,-103.375948,20.780194,218.0,1.0,15,27368.42105263158,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|2600000.0|95.0|Cas
Sep25_cf6d3add,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,129.0,3.0,2.0,4462600.0,,-103.388564,20.778787,144.0,2.5,0,34593.798449612405,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|4462600.0|129.0|Cas
Sep25_228d5699,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,480.0,3.0,4.0,16000000.0,2500.0,-103.374628,20.777842,,3.5,23,33333.333333333336,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|16000000.0|480.0|Cas
Sep25_82dd0837,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,500.0,3.0,3.0,16900000.0,,-103.36632,20.778183,,4.0,10,33800.0,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|16900000.0|500.0|Cas
Sep25_62982ee0,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,1759.0,5.0,5.0,40000000.0,,-103.371892,20.77291,51.0,6.0,2,22740.19329164298,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|40000000.0|1759.0|Cas
Sep25_30fc29df,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,800.0,4.0,7.0,12500000.0,,-103.366527,20.782254,23.0,3.0,25,15625.0,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|12500000.0|800.0|Cas
Sep25_b0a54c38,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,350.0,4.0,2.0,15521999.0,,-103.365949,20.779615,5.0,4.5,0,44348.56857142857,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|15521999.0|350.0|Cas
Sep25_550b873f,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,370.0,3.0,4.0,14750000.0,,-103.378927,20.773875,80.0,3.5,15,39864.86486486487,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|14750000.0|370.0|Cas
Sep25_ce848f69,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,486.0,3.0,4.0,12800000.0,,-103.364349,20.78007,23.0,3.5,15,26337.448559670785,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|12800000.0|486.0|Cas
Sep25_30fc29df,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,842.0,4.0,4.0,12500000.0,,-103.361098,20.785359,23.0,3.5,43,14845.60570071259,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|12500000.0|842.0|Cas
Sep25_a0103a57,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,410.0,4.0,4.0,13000000.0,2000.0,-103.36724,20.783104,,3.5,35,31707.31707317073,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|13000000.0|410.0|Cas
Sep25_78500010,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,830.0,3.0,6.0,21000000.0,,-103.361565,20.779138,49.0,4.0,0,25301.204819277107,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|21000000.0|830.0|Cas
Sep25_ea1c5bc2,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,725.0,5.0,8.0,23800000.0,,-103.374506,20.768622,,6.0,7,32827.58620689655,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|23800000.0|725.0|Cas
Sep25_6c71b794,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,400.0,4.0,4.0,16846999.0,,-103.365949,20.779615,6.0,4.5,0,42117.4975,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|16846999.0|400.0|Cas
Sep25_660c32ee,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,240.0,3.0,3.0,10000000.0,,-103.352364,20.785472,,4.5,en construcción,41666.66666666666,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|10000000.0|240.0|Cas
Sep25_f94b440f,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,600.0,6.0,8.0,20900000.0,3000.0,-103.361565,20.779138,,6.5,3,34833.333333333336,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|20900000.0|600.0|Cas
Sep25_16b40b50,Inm24,Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,556.0,3.0,4.0,17500000.0,,-103.366785,20.775067,73.0,3.0,1,31474.82014388489,01/09/2025,Zap|Bosques de San Isidro (Las Cañadas)|17500000.0|556.0|Cas
