id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_527bbfa7,Inm24,Zap,Camino Real,Ven,Cas,397.0,4.0,2.0,9390000.0,,-103.412372,20.672046,89.0,3.5,41,23652.392947103275,01/09/2025,Zap|Camino Real|9390000.0|397.0|Cas
Sep25_23e77fed,Inm24,Zap,Camino Real,Ven,Cas,352.0,7.0,2.0,9400000.0,,-103.414013,20.671549,68.0,3.5,40,26704.545454545456,01/09/2025,Zap|Camino Real|9400000.0|352.0|Cas
Sep25_9d15f7f5,Inm24,Zap,Camino Real,Ven,Cas,262.0,4.0,4.0,9050000.0,,-103.413618,20.668877,282.0,4.0,37,34541.98473282443,01/09/2025,Zap|Camino Real|9050000.0|262.0|Cas
Sep25_aba7baff,Inm24,Zap,Camino Real,Ven,Cas,405.0,4.0,3.0,10800000.0,,-103.41275,20.672246,,5.5,6,26666.666666666668,01/09/2025,Zap|Camino Real|10800000.0|405.0|Cas
Sep25_da6a753d,Inm24,Zap,Camino Real,Ven,Cas,302.0,3.0,3.0,8890000.0,,-103.415029,20.66773,89.0,4.5,45,29437.08609271523,01/09/2025,Zap|Camino Real|8890000.0|302.0|Cas
Sep25_e0a375c6,Inm24,Zap,Camino Real,Ven,Cas,526.0,6.0,4.0,11500000.0,,-103.41272,20.670551,,4.5,40,21863.11787072243,01/09/2025,Zap|Camino Real|11500000.0|526.0|Cas
Sep25_2766ffb3,Inm24,Zap,Camino Real,Ven,Cas,225.0,3.0,2.0,8150000.0,,-103.411488,20.665706,66.0,2.5,40,36222.22222222222,01/09/2025,Zap|Camino Real|8150000.0|225.0|Cas
Sep25_a379d1b9,Inm24,Zap,Camino Real,Ven,Cas,358.0,5.0,5.0,11900000.0,,-103.413692,20.665546,,5.0,30,33240.22346368715,01/09/2025,Zap|Camino Real|11900000.0|358.0|Cas
Sep25_a1c7d5d6,Inm24,Zap,Camino Real,Ven,Cas,424.0,4.0,4.0,9000000.0,,-103.413273,20.671001,,3.5,23,21226.415094339623,01/09/2025,Zap|Camino Real|9000000.0|424.0|Cas
Sep25_cd75b08e,Inm24,Zap,Camino Real,Ven,Cas,479.0,5.0,4.0,17950000.0,,-103.413531,20.671371,164.0,5.5,15,37473.90396659708,01/09/2025,Zap|Camino Real|17950000.0|479.0|Cas
Sep25_7e4c86f7,Inm24,Zap,Camino Real,Ven,Cas,484.0,4.0,4.0,10700000.0,,-103.412167,20.673758,16.0,4.0,,22107.43801652893,01/09/2025,Zap|Camino Real|10700000.0|484.0|Cas
Sep25_e4768abc,Inm24,Zap,Camino Real,Ven,Cas,270.0,3.0,2.0,8500000.0,,-103.415312,20.665664,,3.0,20,31481.48148148148,01/09/2025,Zap|Camino Real|8500000.0|270.0|Cas
