id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_3dd7b14f,Inm24,Zap,Campo Real,Ven,Cas,134.0,3.0,2.0,3390000.0,,-103.442961,20.790089,52.0,3.5,0,25298.507462686568,01/09/2025,Zap|Campo Real|3390000.0|134.0|Cas
Sep25_c93770e2,Inm24,Zap,Campo Real,Ven,Cas,96.0,3.0,2.0,1940000.0,,-103.445702,20.789194,266.0,2.0,13,20208.33333333333,01/09/2025,Zap|Campo Real|1940000.0|96.0|Cas
Sep25_37225677,Inm24,Zap,Campo Real,Ven,Cas,175.0,3.0,2.0,5500000.0,,-103.441748,20.78706,30.0,3.5,0,31428.571428571428,01/09/2025,Zap|Campo Real|5500000.0|175.0|Cas
Sep25_ba477d64,Inm24,Zap,Campo Real,Ven,Cas,86.0,2.0,1.0,1750000.0,520.0,-103.443906,20.790666,166.0,2.5,12,20348.837209302324,01/09/2025,Zap|Campo Real|1750000.0|86.0|Cas
Sep25_e5a5ce5f,Inm24,Zap,Campo Real,Ven,Cas,127.0,3.0,2.0,2890000.0,,-103.442473,20.790723,,2.5,0,22755.905511811023,01/09/2025,Zap|Campo Real|2890000.0|127.0|Cas
Sep25_4a511c9a,Inm24,Zap,Campo Real,Ven,Cas,120.0,3.0,2.0,2250000.0,,-103.445142,20.786269,58.0,2.5,0,18750.0,01/09/2025,Zap|Campo Real|2250000.0|120.0|Cas
Sep25_d73993a2,Inm24,Zap,Campo Real,Ven,Cas,125.0,3.0,3.0,2390000.0,,-103.445566,20.789307,52.0,2.0,,19120.0,01/09/2025,Zap|Campo Real|2390000.0|125.0|Cas
Sep25_f660345c,Inm24,Zap,Campo Real,Ven,Cas,72.0,3.0,1.0,1950000.0,,-103.443524,20.787467,61.0,3.0,15,27083.33333333333,01/09/2025,Zap|Campo Real|1950000.0|72.0|Cas
Sep25_55158d2e,Inm24,Zap,Campo Real,Ven,Cas,84.0,2.0,,1800000.0,,-103.442866,20.791474,53.0,2.0,,21428.571428571428,01/09/2025,Zap|Campo Real|1800000.0|84.0|Cas
Sep25_15785497,Inm24,Zap,Campo Real,Ven,Cas,92.0,2.0,,3290000.0,600.0,-103.442683,20.786991,1.0,2.5,13,35760.86956521739,01/09/2025,Zap|Campo Real|3290000.0|92.0|Cas
