id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_13ef0f0c,Inm24,Zap,Chapalita de Occidente,Ven,Cas,380.0,4.0,2.0,12900000.0,,-103.424763,20.657073,8.0,3.5,45,33947.36842105263,01/09/2025,Zap|Chapalita de Occidente|12900000.0|380.0|Cas
Sep25_45fa3a4e,Inm24,Zap,Chapalita de Occidente,Ven,Cas,446.0,4.0,6.0,15900000.0,,-103.424876,20.659502,4.0,5.5,10,35650.224215246635,01/09/2025,Zap|Chapalita de Occidente|15900000.0|446.0|Cas
Sep25_d9f31510,Inm24,Zap,Chapalita de Occidente,Ven,Cas,210.0,3.0,2.0,12900000.0,,-103.425892,20.658807,24.0,3.5,4,61428.57142857143,01/09/2025,Zap|Chapalita de Occidente|12900000.0|210.0|Cas
Sep25_d9f31510,Inm24,Zap,Chapalita de Occidente,Ven,Cas,335.0,4.0,2.0,12900000.0,,-103.424634,20.656473,78.0,3.5,25,38507.46268656717,01/09/2025,Zap|Chapalita de Occidente|12900000.0|335.0|Cas
Sep25_08ce7f30,Inm24,Zap,Chapalita de Occidente,Ven,Cas,389.0,4.0,4.0,11450000.0,,-103.425922,20.657786,311.0,3.5,40,29434.447300771208,01/09/2025,Zap|Chapalita de Occidente|11450000.0|389.0|Cas
Sep25_7431d46a,Inm24,Zap,Chapalita de Occidente,Ven,Cas,344.0,4.0,6.0,12820000.0,,-103.425588,20.659956,180.0,3.5,,37267.44186046512,01/09/2025,Zap|Chapalita de Occidente|12820000.0|344.0|Cas
Sep25_15cec542,Inm24,Zap,Chapalita de Occidente,Ven,Cas,303.0,4.0,4.0,9750000.0,,-103.425892,20.658807,271.0,3.0,14,32178.21782178218,01/09/2025,Zap|Chapalita de Occidente|9750000.0|303.0|Cas
Sep25_234d12d7,Inm24,Zap,Chapalita de Occidente,Ven,Cas,334.0,4.0,6.0,12500000.0,,-103.426288,20.659375,110.0,4.5,28,37425.149700598806,01/09/2025,Zap|Chapalita de Occidente|12500000.0|334.0|Cas
Sep25_0f672f31,Inm24,Zap,Chapalita de Occidente,Ven,Cas,355.0,4.0,4.0,8950000.0,,-103.424614,20.658827,223.0,3.5,38,25211.2676056338,01/09/2025,Zap|Chapalita de Occidente|8950000.0|355.0|Cas
Sep25_d9f8faf2,Inm24,Zap,Chapalita de Occidente,Ven,Cas,368.0,3.0,6.0,16500000.0,,-103.424373,20.660788,0.0,4.5,20,44836.95652173913,01/09/2025,Zap|Chapalita de Occidente|16500000.0|368.0|Cas
Sep25_6969b30b,Inm24,Zap,Chapalita de Occidente,Ven,Cas,370.0,3.0,2.0,11440000.0,,-103.424634,20.656473,330.0,3.5,40,30918.91891891892,01/09/2025,Zap|Chapalita de Occidente|11440000.0|370.0|Cas
