id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_aa8d9a34,Inm24,Zap,Ciudad del Sol,Ven,Cas,1100.0,4.0,8.0,25000000.0,,-103.4082,20.647957,,5.0,40,22727.272727272728,01/09/2025,Zap|Ciudad del Sol|25000000.0|1100.0|Cas
Sep25_988bcdce,Inm24,Zap,Ciudad del Sol,Ven,Cas,662.0,3.0,4.0,32900000.0,,-103.405134,20.654941,243.0,4.5,20,49697.88519637462,01/09/2025,Zap|Ciudad del Sol|32900000.0|662.0|Cas
Sep25_e7596b14,Inm24,Zap,Ciudad del Sol,Ven,Cas,580.0,4.0,6.0,15600000.0,,-103.406783,20.648548,23.0,4.5,30,26896.55172413793,01/09/2025,Zap|Ciudad del Sol|15600000.0|580.0|Cas
Sep25_985a5292,Inm24,Zap,Ciudad del Sol,Ven,Cas,300.0,3.0,2.0,8850000.0,,-103.402445,20.655846,,4.0,15,29500.0,01/09/2025,Zap|Ciudad del Sol|8850000.0|300.0|Cas
Sep25_39889179,Inm24,Zap,Ciudad del Sol,Ven,Cas,610.0,4.0,4.0,20500000.0,1300.0,-103.409274,20.653472,,4.5,30,33606.55737704918,01/09/2025,Zap|Ciudad del Sol|20500000.0|610.0|Cas
Sep25_54aad11d,Inm24,Zap,Ciudad del Sol,Ven,Cas,480.0,4.0,3.0,15000000.0,,-103.409722,20.651662,,5.5,20,31250.0,01/09/2025,Zap|Ciudad del Sol|15000000.0|480.0|Cas
Sep25_4536d21d,Inm24,Zap,Ciudad del Sol,Ven,Cas,264.0,4.0,,8950000.0,,-103.409098,20.645689,220.0,3.5,0,33901.51515151515,01/09/2025,Zap|Ciudad del Sol|8950000.0|264.0|Cas
Sep25_384d43d0,Inm24,Zap,Ciudad del Sol,Ven,Cas,1100.0,4.0,8.0,21000000.0,,-103.40832,20.65334,,3.5,30,19090.90909090909,01/09/2025,Zap|Ciudad del Sol|21000000.0|1100.0|Cas
Sep25_92c8611a,Inm24,Zap,Ciudad del Sol,Ven,Cas,780.0,4.0,7.0,25000000.0,,-103.406561,20.654662,,5.5,0,32051.28205128205,01/09/2025,Zap|Ciudad del Sol|25000000.0|780.0|Cas
Sep25_e0087e98,Inm24,Zap,Ciudad del Sol,Ven,Cas,576.0,6.0,4.0,15990000.0,,-103.40832,20.65334,,4.5,40,27760.416666666668,01/09/2025,Zap|Ciudad del Sol|15990000.0|576.0|Cas
Sep25_99abe78b,Inm24,Zap,Ciudad del Sol,Ven,Cas,500.0,6.0,6.0,31240000.0,,-103.40745,20.654575,12.0,5.5,0,62480.0,01/09/2025,Zap|Ciudad del Sol|31240000.0|500.0|Cas
Sep25_abc6938f,Inm24,Zap,Ciudad del Sol,Ven,Cas,700.0,3.0,3.0,29500000.0,,-103.406218,20.658053,47.0,5.0,15,42142.857142857145,01/09/2025,Zap|Ciudad del Sol|29500000.0|700.0|Cas
Sep25_7952c543,Inm24,Zap,Ciudad del Sol,Ven,Cas,400.0,6.0,6.0,26273581.0,,-103.40422,20.656317,10.0,5.5,0,65683.9525,01/09/2025,Zap|Ciudad del Sol|26273581.0|400.0|Cas
Sep25_d6ba52ac,Inm24,Zap,Ciudad del Sol,Ven,Cas,320.0,5.0,4.0,23574345.0,,-103.405304,20.654322,10.0,5.5,0,73669.828125,01/09/2025,Zap|Ciudad del Sol|23574345.0|320.0|Cas
Sep25_f27095f2,Inm24,Zap,Ciudad del Sol,Ven,Cas,370.0,6.0,6.0,24872366.0,,-103.407394,20.650604,10.0,5.5,0,67222.61081081082,01/09/2025,Zap|Ciudad del Sol|24872366.0|370.0|Cas
Sep25_36213b13,Inm24,Zap,Ciudad del Sol,Ven,Cas,411.0,5.0,4.0,13150000.0,,-103.406389,20.653772,211.0,5.5,20,31995.133819951338,01/09/2025,Zap|Ciudad del Sol|13150000.0|411.0|Cas
Sep25_c34208a7,Inm24,Zap,Ciudad del Sol,Ven,Cas,442.0,5.0,,14000000.0,,-103.409468,20.64833,216.0,5.0,,31674.20814479638,01/09/2025,Zap|Ciudad del Sol|14000000.0|442.0|Cas
Sep25_5997f3cc,Inm24,Zap,Ciudad del Sol,Ven,Cas,470.0,4.0,6.0,16500000.0,,-103.406389,20.653772,,6.0,20,35106.382978723406,01/09/2025,Zap|Ciudad del Sol|16500000.0|470.0|Cas
Sep25_9d86be14,Inm24,Zap,Ciudad del Sol,Ven,Cas,900.0,4.0,8.0,21000000.0,,-103.4082,20.647957,28.0,5.0,25,23333.33333333333,01/09/2025,Zap|Ciudad del Sol|21000000.0|900.0|Cas
Sep25_bad8e631,Inm24,Zap,Ciudad del Sol,Ven,Cas,345.0,3.0,2.0,12000000.0,,-103.407585,20.64672,237.0,3.5,30,34782.608695652176,01/09/2025,Zap|Ciudad del Sol|12000000.0|345.0|Cas
Sep25_01f7b165,Inm24,Zap,Ciudad del Sol,Ven,Cas,496.0,1.0,,30000000.0,,-103.408002,20.648271,36.0,1.0,50,60483.87096774193,01/09/2025,Zap|Ciudad del Sol|30000000.0|496.0|Cas
Sep25_701b475d,Inm24,Zap,Ciudad del Sol,Ven,Cas,81.0,2.0,1.0,2650000.0,,-103.405313,20.649421,16.0,1.5,0,32716.04938271605,01/09/2025,Zap|Ciudad del Sol|2650000.0|81.0|Cas
Sep25_be6021e7,Inm24,Zap,Ciudad del Sol,Ven,Cas,600.0,6.0,4.0,14628000.0,,-103.40809,20.65187,109.0,5.0,1,24380.0,01/09/2025,Zap|Ciudad del Sol|14628000.0|600.0|Cas
Sep25_9a5ad33b,Inm24,Zap,Ciudad del Sol,Ven,Cas,645.0,4.0,,17000000.0,,-103.408867,20.652049,43.0,4.5,25,26356.58914728682,01/09/2025,Zap|Ciudad del Sol|17000000.0|645.0|Cas
Sep25_6cd1efdb,Inm24,Zap,Ciudad del Sol,Ven,Cas,280.0,4.0,1.0,8495000.0,,-103.405262,20.649624,40.0,4.0,45,30339.285714285717,01/09/2025,Zap|Ciudad del Sol|8495000.0|280.0|Cas
Sep25_30ae4446,Inm24,Zap,Ciudad del Sol,Ven,Cas,607.0,4.0,4.0,12375000.0,,-103.407159,20.64762,15.0,4.0,0,20387.14991762768,01/09/2025,Zap|Ciudad del Sol|12375000.0|607.0|Cas
