id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_76bb9230,Inm24,Zap,Ciudad Granja,Ven,Cas,123.0,3.0,2.0,4300000.0,1500.0,-103.449577,20.68548,62.0,2.0,18,34959.349593495936,01/09/2025,Zap|Ciudad Granja|4300000.0|123.0|Cas
Sep25_b7abb548,Inm24,Zap,Ciudad Granja,Ven,Cas,160.0,3.0,2.0,5390000.0,,-103.448287,20.678208,14.0,2.5,19,33687.5,01/09/2025,Zap|Ciudad Granja|5390000.0|160.0|Cas
Sep25_6fe2a772,Inm24,Zap,Ciudad Granja,Ven,Cas,277.0,3.0,4.0,7800000.0,1900.0,-103.450391,20.689172,76.0,3.5,15,28158.84476534296,01/09/2025,Zap|Ciudad Granja|7800000.0|277.0|Cas
Sep25_489d6b74,Inm24,Zap,Ciudad Granja,Ven,Cas,163.0,4.0,2.0,5750000.0,,-103.451535,20.670383,108.0,3.5,14,35276.073619631905,01/09/2025,Zap|Ciudad Granja|5750000.0|163.0|Cas
Sep25_63240ad6,Inm24,Zap,Ciudad Granja,Ven,Cas,450.0,6.0,6.0,41418000.0,,-103.45191,20.673822,15.0,5.5,0,92040.0,01/09/2025,Zap|Ciudad Granja|41418000.0|450.0|Cas
Sep25_1212e42b,Inm24,Zap,Ciudad Granja,Ven,Cas,245.0,2.0,3.0,8699000.0,,-103.450592,20.691512,,3.0,3,35506.12244897959,01/09/2025,Zap|Ciudad Granja|8699000.0|245.0|Cas
Sep25_9ad4a4d5,Inm24,Zap,Ciudad Granja,Ven,Cas,140.0,2.0,3.0,6250000.0,,-103.452536,20.672646,99.0,2.5,10,44642.857142857145,01/09/2025,Zap|Ciudad Granja|6250000.0|140.0|Cas
Sep25_b0f2b6b4,Inm24,Zap,Ciudad Granja,Ven,Cas,107.0,3.0,1.0,4400000.0,,-103.44725,20.676695,86.0,2.0,36,41121.495327102806,01/09/2025,Zap|Ciudad Granja|4400000.0|107.0|Cas
Sep25_8d757e36,Inm24,Zap,Ciudad Granja,Ven,Cas,137.0,3.0,3.0,5900000.0,,-103.451178,20.674216,129.0,2.5,10,43065.69343065693,01/09/2025,Zap|Ciudad Granja|5900000.0|137.0|Cas
Sep25_23780edd,Inm24,Zap,Ciudad Granja,Ven,Cas,200.0,3.0,2.0,9720000.0,,-103.448688,20.689804,3.0,3.5,12,48600.0,01/09/2025,Zap|Ciudad Granja|9720000.0|200.0|Cas
Sep25_c728c434,Inm24,Zap,Ciudad Granja,Ven,Cas,105.0,3.0,2.0,4280000.0,,-103.452497,20.68473,52.0,2.0,,40761.90476190476,01/09/2025,Zap|Ciudad Granja|4280000.0|105.0|Cas
Sep25_4c25c6ae,Inm24,Zap,Ciudad Granja,Ven,Cas,158.0,3.0,2.0,5599000.0,850.0,-103.447362,20.677643,3.0,2.5,15,35436.70886075949,01/09/2025,Zap|Ciudad Granja|5599000.0|158.0|Cas
Sep25_a6da7917,Inm24,Zap,Ciudad Granja,Ven,Cas,142.0,3.0,2.0,6090000.0,,-103.448286,20.678208,1.0,2.0,,42887.32394366197,01/09/2025,Zap|Ciudad Granja|6090000.0|142.0|Cas
Sep25_91bfabad,Inm24,Zap,Ciudad Granja,Ven,Cas,350.0,5.0,4.0,38918000.0,,-103.4436,20.678211,13.0,5.5,0,111194.28571428572,01/09/2025,Zap|Ciudad Granja|38918000.0|350.0|Cas
Sep25_c86d493b,Inm24,Zap,Ciudad Granja,Ven,Cas,833.0,7.0,3.0,24750000.0,,-103.445059,20.686071,74.0,5.0,25,29711.88475390156,01/09/2025,Zap|Ciudad Granja|24750000.0|833.0|Cas
Sep25_cc01ecb0,Inm24,Zap,Ciudad Granja,Ven,Cas,172.0,3.0,3.0,8900000.0,,-103.448287,20.678208,170.0,3.5,40,51744.186046511626,01/09/2025,Zap|Ciudad Granja|8900000.0|172.0|Cas
