id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_4a051b79,Inm24,Zap,Colinas del Rio,Ven,Cas,160.0,3.0,2.0,5200000.0,1200.0,-103.418642,20.771305,12.0,4.0,0,32500.0,01/09/2025,Zap|Colinas del Rio|5200000.0|160.0|Cas
Sep25_31f4080c,Inm24,Zap,Colinas del Rio,Ven,Cas,179.0,5.0,2.0,4100000.0,,-103.418642,20.771305,,4.0,en construcción,22905.027932960893,01/09/2025,Zap|Colinas del Rio|4100000.0|179.0|Cas
Sep25_12da1439,Inm24,Zap,Colinas del Rio,Ven,Cas,116.0,3.0,2.0,4300000.0,,-103.418588,20.771289,77.0,3.5,,37068.96551724138,01/09/2025,Zap|Colinas del Rio|4300000.0|116.0|Cas
Sep25_ad5b8346,Inm24,Zap,Colinas del Rio,Ven,Cas,197.0,3.0,2.0,4299000.0,,-103.418642,20.771305,186.0,3.5,0,21822.33502538071,01/09/2025,Zap|Colinas del Rio|4299000.0|197.0|Cas
Sep25_8a392b1c,Inm24,Zap,Colinas del Rio,Ven,Cas,220.0,5.0,2.0,4990000.0,,-103.418723,20.771303,24.0,4.0,0,22681.81818181818,01/09/2025,Zap|Colinas del Rio|4990000.0|220.0|Cas
Sep25_5cf6d3e0,Inm24,Zap,Colinas del Rio,Ven,Cas,116.0,4.0,2.0,5200000.0,1200.0,-103.418588,20.771289,10.0,4.0,0,44827.58620689655,01/09/2025,Zap|Colinas del Rio|5200000.0|116.0|Cas
Sep25_2eae534d,Inm24,Zap,Colinas del Rio,Ven,Cas,176.0,3.0,2.0,4390000.0,,-103.418642,20.771305,80.0,3.5,0,24943.18181818182,01/09/2025,Zap|Colinas del Rio|4390000.0|176.0|Cas
Sep25_7d8eae95,Inm24,Zap,Colinas del Rio,Ven,Cas,175.0,3.0,2.0,4300000.0,,-103.418642,20.771305,72.0,4.0,0,24571.42857142857,01/09/2025,Zap|Colinas del Rio|4300000.0|175.0|Cas
Sep25_07f68999,Inm24,Zap,Colinas del Rio,Ven,Cas,160.0,4.0,2.0,5000000.0,,-103.418642,20.771305,45.0,4.0,0,31250.0,01/09/2025,Zap|Colinas del Rio|5000000.0|160.0|Cas
Sep25_07f68999,Inm24,Zap,Colinas del Rio,Ven,Cas,116.0,4.0,2.0,5000000.0,,-103.418642,20.771305,,4.0,0,43103.44827586207,01/09/2025,Zap|Colinas del Rio|5000000.0|116.0|Cas
