id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_c3dc5150,Inm24,Zap,Coto Abie,Ven,Cas,103.0,3.0,2.0,3348970.0,800.0,-103.423693,20.782705,108.0,3.0,0,32514.271844660198,01/09/2025,Zap|Coto Abie|3348970.0|103.0|Cas
Sep25_d10362b2,Inm24,Zap,Coto Abie,Ven,Cas,114.0,3.0,2.0,3700560.0,800.0,-103.423862,20.782633,108.0,3.0,0,32461.052631578947,01/09/2025,Zap|Coto Abie|3700560.0|114.0|Cas
Sep25_ac6dad80,Inm24,Zap,Coto Abie,Ven,Cas,108.0,3.0,2.0,3529950.0,800.0,-103.423862,20.782729,108.0,3.0,0,32684.722222222223,01/09/2025,Zap|Coto Abie|3529950.0|108.0|Cas
Sep25_c01ee708,Inm24,Zap,Coto Abie,Ven,Cas,108.0,3.0,2.0,3460000.0,,-103.422032,20.782316,64.0,3.0,0,32037.03703703704,01/09/2025,Zap|Coto Abie|3460000.0|108.0|Cas
Sep25_3e6d232a,Inm24,Zap,Coto Abie,Ven,Cas,135.0,3.0,2.0,3936040.0,800.0,-103.423808,20.782633,106.0,2.5,0,29155.85185185185,01/09/2025,Zap|Coto Abie|3936040.0|135.0|Cas
Sep25_9d99122a,Inm24,Zap,Coto Abie,Ven,Cas,103.0,3.0,2.0,3177560.0,,-103.422032,20.782316,11.0,3.5,0,30850.09708737864,01/09/2025,Zap|Coto Abie|3177560.0|103.0|Cas
Sep25_334d56d6,Inm24,Zap,Coto Abie,Ven,Cas,108.0,3.0,2.0,3395950.0,800.0,-103.422892,20.782776,149.0,3.0,0,31443.98148148148,01/09/2025,Zap|Coto Abie|3395950.0|108.0|Cas
Sep25_e28e34fd,Inm24,Zap,Coto Abie,Ven,Cas,173.0,3.0,2.0,4690000.0,,-103.422032,20.782316,150.0,2.5,,27109.826589595377,01/09/2025,Zap|Coto Abie|4690000.0|173.0|Cas
Sep25_eec1f21a,Inm24,Zap,Coto Abie,Ven,Cas,114.0,3.0,2.0,3429060.0,800.0,-103.422892,20.782776,150.0,3.0,0,30079.473684210527,01/09/2025,Zap|Coto Abie|3429060.0|114.0|Cas
Sep25_611e4cb7,Inm24,Zap,Coto Abie,Ven,Cas,200.0,3.0,2.0,4690000.0,,-103.421863,20.780906,181.0,4.0,,23450.0,01/09/2025,Zap|Coto Abie|4690000.0|200.0|Cas
