id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_d99c124e,Inm24,Zap,Coto Galarza,Ven,Cas,190.0,3.0,2.0,4440000.0,950.0,-103.407344,20.787381,21.0,4.0,0,23368.42105263158,01/09/2025,Zap|Coto Galarza|4440000.0|190.0|Cas
Sep25_84e7893f,Inm24,Zap,Coto Galarza,Ven,Cas,186.0,3.0,2.0,4320000.0,,-103.407344,20.787381,36.0,4.0,0,23225.8064516129,01/09/2025,Zap|Coto Galarza|4320000.0|186.0|Cas
Sep25_64f0240b,Inm24,Zap,Coto Galarza,Ven,Cas,115.0,4.0,3.0,4250000.0,,-103.406186,20.787983,245.0,2.5,0,36956.52173913043,01/09/2025,Zap|Coto Galarza|4250000.0|115.0|Cas
Sep25_63cd27d9,Inm24,Zap,Coto Galarza,Ven,Cas,175.0,4.0,2.0,3990000.0,1100.0,-103.408592,20.788125,32.0,3.0,0,22800.0,01/09/2025,Zap|Coto Galarza|3990000.0|175.0|Cas
Sep25_af7e5b3d,Inm24,Zap,Coto Galarza,Ven,Cas,182.0,3.0,2.0,4590000.0,,-103.407344,20.787381,213.0,3.5,0,25219.78021978022,01/09/2025,Zap|Coto Galarza|4590000.0|182.0|Cas
Sep25_df5527bc,Inm24,Zap,Coto Galarza,Ven,Cas,192.0,3.0,2.0,4299000.0,,-103.407344,20.787381,34.0,4.0,2,22390.625,01/09/2025,Zap|Coto Galarza|4299000.0|192.0|Cas
Sep25_fb0a8cfa,Inm24,Zap,Coto Galarza,Ven,Cas,165.0,4.0,2.0,3900000.0,,-103.407917,20.78872,136.0,4.0,,23636.36363636364,01/09/2025,Zap|Coto Galarza|3900000.0|165.0|Cas
Sep25_0b0fca97,Inm24,Zap,Coto Galarza,Ven,Cas,195.0,3.0,2.0,4360000.0,900.0,-103.407344,20.787381,297.0,4.0,0,22358.97435897436,01/09/2025,Zap|Coto Galarza|4360000.0|195.0|Cas
Sep25_e3824cfa,Inm24,Zap,Coto Galarza,Ven,Cas,179.0,4.0,2.0,4395000.0,,-103.406529,20.789153,,3.5,0,24553.072625698325,01/09/2025,Zap|Coto Galarza|4395000.0|179.0|Cas
Sep25_d8fedd61,Inm24,Zap,Coto Galarza,Ven,Cas,162.0,4.0,2.0,4250000.0,,-103.407344,20.787381,79.0,2.5,0,26234.567901234568,01/09/2025,Zap|Coto Galarza|4250000.0|162.0|Cas
Sep25_9b29de74,Inm24,Zap,Coto Galarza,Ven,Cas,181.0,4.0,2.0,4390000.0,950.0,-103.407079,20.787794,34.0,4.0,2,24254.14364640884,01/09/2025,Zap|Coto Galarza|4390000.0|181.0|Cas
Sep25_d02e6e98,Inm24,Zap,Coto Galarza,Ven,Cas,200.0,4.0,1.0,4680000.0,,-103.407344,20.787381,2.0,3.0,0,23400.0,01/09/2025,Zap|Coto Galarza|4680000.0|200.0|Cas
Sep25_d4216808,Inm24,Zap,Coto Galarza,Ven,Cas,196.0,4.0,2.0,4400000.0,,-103.407344,20.787381,64.0,3.0,0,22448.97959183673,01/09/2025,Zap|Coto Galarza|4400000.0|196.0|Cas
Sep25_9252e579,Inm24,Zap,Coto Galarza,Ven,Cas,206.0,4.0,2.0,4950000.0,1100.0,-103.407335,20.787981,,4.0,2,24029.126213592237,01/09/2025,Zap|Coto Galarza|4950000.0|206.0|Cas
