id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_a7b0995b,Inm24,Zap,El Campestre,Ven,Cas,130.0,3.0,2.0,3590000.0,,-103.540352,20.736673,205.0,2.5,4,27615.384615384617,01/09/2025,Zap|El Campestre|3590000.0|130.0|Cas
Sep25_83bdd5f7,Inm24,Zap,El Campestre,Ven,Cas,133.0,3.0,2.0,3350000.0,900.0,-103.540975,20.741694,9.0,2.5,9,25187.96992481203,01/09/2025,Zap|El Campestre|3350000.0|133.0|Cas
Sep25_08880a2f,Inm24,Zap,El Campestre,Ven,Cas,115.0,3.0,2.0,3900000.0,950.0,-103.543716,20.736937,135.0,2.5,5,33913.04347826087,01/09/2025,Zap|El Campestre|3900000.0|115.0|Cas
Sep25_4227a7a3,Inm24,Zap,El Campestre,Ven,Cas,161.0,3.0,2.0,4600000.0,,-103.541767,20.737521,,3.0,0,28571.42857142857,01/09/2025,Zap|El Campestre|4600000.0|161.0|Cas
Sep25_4fd89951,Inm24,Zap,El Campestre,Ven,Cas,144.0,3.0,2.0,3600000.0,,-103.540216,20.735639,195.0,2.5,9,25000.0,01/09/2025,Zap|El Campestre|3600000.0|144.0|Cas
Sep25_316d725b,Inm24,Zap,El Campestre,Ven,Cas,62.0,2.0,2.0,2200000.0,1000.0,-103.54079,20.73926,3.0,1.5,0,35483.87096774193,01/09/2025,Zap|El Campestre|2200000.0|62.0|Cas
Sep25_e059f522,Inm24,Zap,El Campestre,Ven,Cas,200.0,3.0,2.0,4100000.0,1300.0,-103.542314,20.735981,57.0,4.0,0,20500.0,01/09/2025,Zap|El Campestre|4100000.0|200.0|Cas
Sep25_08bd1f85,Inm24,Zap,El Campestre,Ven,Cas,270.0,3.0,2.0,4250000.0,1600.0,-103.540762,20.738062,43.0,2.5,10,15740.74074074074,01/09/2025,Zap|El Campestre|4250000.0|270.0|Cas
Sep25_52ac6853,Inm24,Zap,El Campestre,Ven,Cas,165.0,3.0,2.0,4190000.0,1000.0,-103.540099,20.735825,290.0,2.5,,25393.939393939392,01/09/2025,Zap|El Campestre|4190000.0|165.0|Cas
Sep25_5386c4f9,Inm24,Zap,El Campestre,Ven,Cas,212.0,4.0,2.0,4780000.0,1000.0,-103.542245,20.739356,4.0,2.5,9,22547.169811320757,01/09/2025,Zap|El Campestre|4780000.0|212.0|Cas
Sep25_8c5f1095,Inm24,Zap,El Campestre,Ven,Cas,136.0,3.0,2.0,3750000.0,1300.0,-103.541113,20.740332,,2.5,11,27573.529411764703,01/09/2025,Zap|El Campestre|3750000.0|136.0|Cas
Sep25_998e2944,Inm24,Zap,El Campestre,Ven,Cas,176.0,3.0,2.0,4200000.0,1109.0,-103.540762,20.738062,10.0,3.0,10,23863.636363636364,01/09/2025,Zap|El Campestre|4200000.0|176.0|Cas
Sep25_af4858e3,Inm24,Zap,El Campestre,Ven,Cas,185.0,3.0,2.0,4850000.0,1119.0,-103.542314,20.735981,37.0,3.0,0,26216.216216216217,01/09/2025,Zap|El Campestre|4850000.0|185.0|Cas
Sep25_f0f79616,Inm24,Zap,El Campestre,Ven,Cas,100.0,3.0,2.0,2850000.0,600.0,-103.545931,20.736463,83.0,2.5,5,28500.0,01/09/2025,Zap|El Campestre|2850000.0|100.0|Cas
Sep25_5df24dd0,Inm24,Zap,El Campestre,Ven,Cas,211.0,4.0,2.0,5684000.0,1000.0,-103.542592,20.736008,61.0,3.5,0,26938.38862559241,01/09/2025,Zap|El Campestre|5684000.0|211.0|Cas
