id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_16a6437d,Inm24,Zap,El Centinela,Ven,Cas,129.0,3.0,3.0,4456000.0,1500.0,-103.382668,20.767857,97.0,2.5,en construcción,34542.635658914725,01/09/2025,Zap|El Centinela|4456000.0|129.0|Cas
Sep25_f94f8e0b,Inm24,Zap,El Centinela,Ven,Cas,254.0,3.0,2.0,5950000.0,,-103.386134,20.77351,17.0,3.0,6,23425.196850393702,01/09/2025,Zap|El Centinela|5950000.0|254.0|Cas
Sep25_e29d1dd3,Inm24,Zap,El Centinela,Ven,Cas,130.0,4.0,2.0,4050000.0,780.0,-103.384982,20.772485,50.0,2.5,4,31153.846153846152,01/09/2025,Zap|El Centinela|4050000.0|130.0|Cas
Sep25_475e2c89,Inm24,Zap,El Centinela,Ven,Cas,780.0,6.0,6.0,35000000.0,35000000.0,-103.385445,20.767125,168.0,9.0,5,44871.79487179488,01/09/2025,Zap|El Centinela|35000000.0|780.0|Cas
Sep25_8df3015f,Inm24,Zap,El Centinela,Ven,Cas,450.0,3.0,2.0,7490000.0,,-103.386209,20.76658,,2.5,16,16644.444444444445,01/09/2025,Zap|El Centinela|7490000.0|450.0|Cas
Sep25_25d7217d,Inm24,Zap,El Centinela,Ven,Cas,258.0,4.0,,6950000.0,,-103.386134,20.77351,127.0,3.0,5,26937.98449612403,01/09/2025,Zap|El Centinela|6950000.0|258.0|Cas
Sep25_6dced99e,Inm24,Zap,El Centinela,Ven,Cas,155.0,3.0,2.0,4830000.0,,-103.383248,20.768442,74.0,2.5,0,31161.290322580644,01/09/2025,Zap|El Centinela|4830000.0|155.0|Cas
Sep25_fc6b7b04,Inm24,Zap,El Centinela,Ven,Cas,158.0,3.0,2.0,4700000.0,,-103.384004,20.775034,102.0,2.5,0,29746.835443037973,01/09/2025,Zap|El Centinela|4700000.0|158.0|Cas
Sep25_b519778b,Inm24,Zap,El Centinela,Ven,Cas,320.0,3.0,3.0,6490000.0,,-103.3832,20.768075,4.0,3.5,6,20281.25,01/09/2025,Zap|El Centinela|6490000.0|320.0|Cas
Sep25_b9e78b41,Inm24,Zap,El Centinela,Ven,Cas,129.0,3.0,2.0,4211000.0,,-103.383248,20.768442,34.0,2.0,en construcción,32643.41085271318,01/09/2025,Zap|El Centinela|4211000.0|129.0|Cas
