id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_55556ce5,Inm24,Zap,El Colli Urbano,Ven,Cas,144.0,3.0,2.0,5500000.0,400.0,-103.433972,20.645492,99.0,2.5,0,38194.444444444445,01/09/2025,Zap|El Colli Urbano|5500000.0|144.0|Cas
Sep25_6ca50a62,Inm24,Zap,El Colli Urbano,Ven,Cas,189.0,7.0,,2850000.0,,-103.433139,20.641595,3.0,3.5,35,15079.36507936508,01/09/2025,Zap|El Colli Urbano|2850000.0|189.0|Cas
Sep25_cd7c3d2e,Inm24,Zap,El Colli Urbano,Ven,Cas,98.0,3.0,2.0,2870000.0,900.0,-103.430097,20.644077,99.0,3.0,14,29285.714285714286,01/09/2025,Zap|El Colli Urbano|2870000.0|98.0|Cas
Sep25_5b39bc32,Inm24,Zap,El Colli Urbano,Ven,Cas,150.0,3.0,2.0,8950000.0,,-103.433947,20.645598,91.0,2.5,0,59666.66666666666,01/09/2025,Zap|El Colli Urbano|8950000.0|150.0|Cas
Sep25_fd0944c4,Inm24,Zap,El Colli Urbano,Ven,Cas,120.0,3.0,2.0,4970000.0,,-103.42588,20.642463,50.0,2.5,25,41416.66666666666,01/09/2025,Zap|El Colli Urbano|4970000.0|120.0|Cas
Sep25_28222fb6,Inm24,Zap,El Colli Urbano,Ven,Cas,465.0,2.0,2.0,9700000.0,,-103.432564,20.641462,,2.5,15,20860.21505376344,01/09/2025,Zap|El Colli Urbano|9700000.0|465.0|Cas
Sep25_f23e5631,Inm24,Zap,El Colli Urbano,Ven,Cas,229.0,4.0,2.0,4790000.0,,-103.42364,20.641646,7.0,3.5,20,20917.03056768559,01/09/2025,Zap|El Colli Urbano|4790000.0|229.0|Cas
Sep25_ada55d7b,Inm24,Zap,El Colli Urbano,Ven,Cas,113.0,3.0,2.0,6650000.0,300.0,-103.43416,20.643481,72.0,2.5,0,58849.55752212389,01/09/2025,Zap|El Colli Urbano|6650000.0|113.0|Cas
Sep25_4f76e642,Inm24,Zap,El Colli Urbano,Ven,Cas,102.0,3.0,2.0,6100000.0,300.0,-103.43416,20.643481,70.0,2.5,0,59803.92156862745,01/09/2025,Zap|El Colli Urbano|6100000.0|102.0|Cas
Sep25_1e4c749a,Inm24,Zap,El Colli Urbano,Ven,Cas,140.0,3.0,,2780000.0,,-103.42011,20.64235,163.0,3.0,40,19857.14285714286,01/09/2025,Zap|El Colli Urbano|2780000.0|140.0|Cas
Sep25_80044e4f,Inm24,Zap,El Colli Urbano,Ven,Cas,145.0,3.0,2.0,5500000.0,,-103.43384,20.64568,178.0,2.5,0,37931.03448275862,01/09/2025,Zap|El Colli Urbano|5500000.0|145.0|Cas
Sep25_d4cd9150,Inm24,Zap,El Colli Urbano,Ven,Cas,346.0,7.0,2.0,11700000.0,,-103.422009,20.641511,122.0,4.0,0,33815.028901734106,01/09/2025,Zap|El Colli Urbano|11700000.0|346.0|Cas
Sep25_687f07d8,Inm24,Zap,El Colli Urbano,Ven,Cas,135.0,3.0,2.0,4980000.0,,-103.434276,20.643087,107.0,3.5,19,36888.88888888889,01/09/2025,Zap|El Colli Urbano|4980000.0|135.0|Cas
Sep25_a8753cf3,Inm24,Zap,El Colli Urbano,Ven,Cas,80.0,3.0,2.0,2590000.0,,-103.4315,20.645775,7.0,1.0,15,32375.0,01/09/2025,Zap|El Colli Urbano|2590000.0|80.0|Cas
Sep25_e9e9a568,Inm24,Zap,El Colli Urbano,Ven,Cas,111.0,3.0,1.0,3690000.0,,-103.419267,20.638981,196.0,1.5,25,33243.24324324324,01/09/2025,Zap|El Colli Urbano|3690000.0|111.0|Cas
Sep25_ac1dc302,Inm24,Zap,El Colli Urbano,Ven,Cas,162.0,4.0,2.0,8200000.0,,-103.439102,20.644758,171.0,3.5,0,50617.28395061728,01/09/2025,Zap|El Colli Urbano|8200000.0|162.0|Cas
Sep25_c9f18d31,Inm24,Zap,El Colli Urbano,Ven,Cas,150.0,3.0,2.0,4995000.0,,-103.417844,20.640723,53.0,2.0,0,33300.0,01/09/2025,Zap|El Colli Urbano|4995000.0|150.0|Cas
Sep25_79d2d7b8,Inm24,Zap,El Colli Urbano,Ven,Cas,136.0,3.0,2.0,5290000.0,,-103.418219,20.641392,209.0,2.5,11,38897.05882352941,01/09/2025,Zap|El Colli Urbano|5290000.0|136.0|Cas
Sep25_559ea91f,Inm24,Zap,El Colli Urbano,Ven,Cas,158.0,3.0,2.0,4500000.0,,-103.422093,20.640793,,3.5,20,28481.01265822785,01/09/2025,Zap|El Colli Urbano|4500000.0|158.0|Cas
Sep25_30a70210,Inm24,Zap,El Colli Urbano,Ven,Cas,157.0,3.0,2.0,6200000.0,,-103.429503,20.643193,,2.5,0,39490.44585987261,01/09/2025,Zap|El Colli Urbano|6200000.0|157.0|Cas
Sep25_f0890543,Inm24,Zap,El Colli Urbano,Ven,Cas,100.0,3.0,2.0,3990000.0,,-103.421074,20.642394,51.0,1.5,25,39900.0,01/09/2025,Zap|El Colli Urbano|3990000.0|100.0|Cas
Sep25_9cc4acdf,Inm24,Zap,El Colli Urbano,Ven,Cas,116.0,3.0,3.0,8200000.0,,-103.419361,20.641694,,3.5,0,70689.6551724138,01/09/2025,Zap|El Colli Urbano|8200000.0|116.0|Cas
Sep25_8d8b9f15,Inm24,Zap,El Colli Urbano,Ven,Cas,40.0,2.0,1.0,928500.0,,-103.431393,20.646289,49.0,1.5,10,23212.5,01/09/2025,Zap|El Colli Urbano|928500.0|40.0|Cas
