id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_1f17e9d5,Inm24,Zap,Jardín Real,Ven,Cas,277.0,4.0,2.0,9700000.0,,-103.438159,20.735757,,4.0,10,35018.05054151625,01/09/2025,Zap|Jardín Real|9700000.0|277.0|Cas
Sep25_600eaab6,Inm24,Zap,Jardín Real,Ven,Cas,204.0,4.0,2.0,8890000.0,,-103.438295,20.736285,1.0,4.5,12,43578.43137254902,01/09/2025,Zap|Jardín Real|8890000.0|204.0|Cas
Sep25_4055bd58,Inm24,Zap,Jardín Real,Ven,Cas,257.0,3.0,3.0,10800000.0,2000.0,-103.438968,20.738656,20.0,3.5,19,42023.346303501945,01/09/2025,Zap|Jardín Real|10800000.0|257.0|Cas
Sep25_cf2e8824,Inm24,Zap,Jardín Real,Ven,Cas,360.0,4.0,3.0,13400000.0,,-103.436298,20.732883,17.0,6.0,5,37222.22222222222,01/09/2025,Zap|Jardín Real|13400000.0|360.0|Cas
Sep25_2d939ab4,Inm24,Zap,Jardín Real,Ven,Cas,280.0,5.0,4.0,12885663.0,,-103.43651,20.73881,13.0,5.5,0,46020.225,01/09/2025,Zap|Jardín Real|12885663.0|280.0|Cas
Sep25_ecf84843,Inm24,Zap,Jardín Real,Ven,Cas,310.0,4.0,2.0,11900000.0,1400.0,-103.440403,20.740331,51.0,3.5,5,38387.096774193546,01/09/2025,Zap|Jardín Real|11900000.0|310.0|Cas
Sep25_f688c530,Inm24,Zap,Jardín Real,Ven,Cas,223.0,3.0,2.0,7960000.0,1520.0,-103.43629,20.732897,177.0,4.5,6,35695.06726457399,01/09/2025,Zap|Jardín Real|7960000.0|223.0|Cas
Sep25_ea78ac61,Inm24,Zap,Jardín Real,Ven,Cas,338.0,4.0,2.0,15650000.0,,-103.439665,20.741677,,4.5,0,46301.775147929,01/09/2025,Zap|Jardín Real|15650000.0|338.0|Cas
Sep25_03d18006,Inm24,Zap,Jardín Real,Ven,Cas,235.0,4.0,3.0,8840000.0,,-103.435794,20.740483,107.0,4.5,21,37617.02127659575,01/09/2025,Zap|Jardín Real|8840000.0|235.0|Cas
Sep25_24f59011,Inm24,Zap,Jardín Real,Ven,Cas,240.0,4.0,2.0,7990000.0,,-103.439561,20.7408,128.0,5.0,7,33291.666666666664,01/09/2025,Zap|Jardín Real|7990000.0|240.0|Cas
Sep25_582d8a5b,Inm24,Zap,Jardín Real,Ven,Cas,350.0,5.0,4.0,14197805.0,,-103.43626,20.736021,14.0,5.5,0,40565.15714285714,01/09/2025,Zap|Jardín Real|14197805.0|350.0|Cas
Sep25_8b53d710,Inm24,Zap,Jardín Real,Ven,Cas,258.0,4.0,2.0,7900000.0,1300.0,-103.432912,20.741678,223.0,3.5,18,30620.15503875969,01/09/2025,Zap|Jardín Real|7900000.0|258.0|Cas
Sep25_14b0324d,Inm24,Zap,Jardín Real,Ven,Cas,300.0,5.0,4.0,13486708.0,,-103.436584,20.73854,15.0,5.5,0,44955.693333333336,01/09/2025,Zap|Jardín Real|13486708.0|300.0|Cas
Sep25_952b4421,Inm24,Zap,Jardín Real,Ven,Cas,400.0,6.0,6.0,16781500.0,,-103.43827,20.73651,13.0,5.5,0,41953.75,01/09/2025,Zap|Jardín Real|16781500.0|400.0|Cas
Sep25_0398e248,Inm24,Zap,Jardín Real,Ven,Cas,235.0,3.0,2.0,7998000.0,,-103.438295,20.736285,71.0,3.0,10,34034.04255319149,01/09/2025,Zap|Jardín Real|7998000.0|235.0|Cas
Sep25_5f11a6e8,Inm24,Zap,Jardín Real,Ven,Cas,202.0,3.0,2.0,7200000.0,,-103.436,20.7333,63.0,4.0,1,35643.56435643564,01/09/2025,Zap|Jardín Real|7200000.0|202.0|Cas
Sep25_637eb2c8,Inm24,Zap,Jardín Real,Ven,Cas,225.0,3.0,3.0,10900000.0,1200.0,-103.435689,20.73747,107.0,3.5,9,48444.444444444445,01/09/2025,Zap|Jardín Real|10900000.0|225.0|Cas
Sep25_dbbf0489,Inm24,Zap,Jardín Real,Ven,Cas,510.0,3.0,4.0,16000000.0,,-103.438227,20.736234,,4.5,10,31372.549019607843,01/09/2025,Zap|Jardín Real|16000000.0|510.0|Cas
Sep25_8c9cb68e,Inm24,Zap,Jardín Real,Ven,Cas,279.0,3.0,3.0,9980000.0,1670.0,-103.435199,20.737633,71.0,3.5,17,35770.609318996416,01/09/2025,Zap|Jardín Real|9980000.0|279.0|Cas
Sep25_6ac7038c,Inm24,Zap,Jardín Real,Ven,Cas,241.0,3.0,4.0,8000000.0,,-103.438295,20.736285,0.0,4.5,12,33195.02074688797,01/09/2025,Zap|Jardín Real|8000000.0|241.0|Cas
Sep25_3f7b75a9,Inm24,Zap,Jardín Real,Ven,Cas,343.0,5.0,2.0,10490000.0,,-103.438294,20.736285,55.0,4.0,,30583.090379008747,01/09/2025,Zap|Jardín Real|10490000.0|343.0|Cas
Sep25_b1adfa08,Inm24,Zap,Jardín Real,Ven,Cas,233.0,3.0,2.0,7100000.0,,-103.437325,20.737222,54.0,5.0,,30472.103004291846,01/09/2025,Zap|Jardín Real|7100000.0|233.0|Cas
Sep25_8ae12a1a,Inm24,Zap,Jardín Real,Ven,Cas,231.0,3.0,2.0,8800000.0,,-103.435758,20.740468,37.0,5.0,,38095.23809523809,01/09/2025,Zap|Jardín Real|8800000.0|231.0|Cas
Sep25_04d4ef5b,Inm24,Zap,Jardín Real,Ven,Cas,150.0,3.0,2.0,4160000.0,,-103.432912,20.741677,55.0,2.0,,27733.33333333333,01/09/2025,Zap|Jardín Real|4160000.0|150.0|Cas
Sep25_6381e6d4,Inm24,Zap,Jardín Real,Ven,Cas,237.0,3.0,2.0,8200000.0,,-103.437563,20.732438,41.0,7.5,22,34599.15611814346,01/09/2025,Zap|Jardín Real|8200000.0|237.0|Cas
Sep25_aa59bb05,Inm24,Zap,Jardín Real,Ven,Cas,318.0,6.0,3.0,8900000.0,4362.0,-103.438295,20.736285,40.0,5.0,10,27987.4213836478,01/09/2025,Zap|Jardín Real|8900000.0|318.0|Cas
Sep25_bd1d5c39,Inm24,Zap,Jardín Real,Ven,Cas,300.0,4.0,4.0,15000000.0,,-103.438316,20.734037,,4.5,5,50000.0,01/09/2025,Zap|Jardín Real|15000000.0|300.0|Cas
Sep25_279b0f75,Inm24,Zap,Jardín Real,Ven,Cas,311.0,4.0,2.0,12250000.0,1500.0,-103.437884,20.737074,47.0,4.5,0,39389.06752411576,01/09/2025,Zap|Jardín Real|12250000.0|311.0|Cas
