id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_4af2a16b,Inm24,Zap,La Calma,Ven,Cas,117.0,3.0,2.0,4500000.0,,-103.410705,20.633159,99.0,2.5,15,38461.53846153846,01/09/2025,Zap|La Calma|4500000.0|117.0|Cas
Sep25_da123a7f,Inm24,Zap,La Calma,Ven,Cas,118.0,4.0,2.0,4500000.0,,-103.4105,20.633177,11.0,2.5,20,38135.59322033898,01/09/2025,Zap|La Calma|4500000.0|118.0|Cas
Sep25_b2ef0148,Inm24,Zap,La Calma,Ven,Cas,218.0,4.0,3.0,6990000.0,,-103.4124,20.6426,153.0,2.0,40,32064.22018348624,01/09/2025,Zap|La Calma|6990000.0|218.0|Cas
Sep25_e8bef2dd,Inm24,Zap,La Calma,Ven,Cas,364.0,5.0,2.0,9990000.0,,-103.417934,20.638321,135.0,3.5,35,27445.054945054944,01/09/2025,Zap|La Calma|9990000.0|364.0|Cas
Sep25_7e9105c7,Inm24,Zap,La Calma,Ven,Cas,274.0,4.0,2.0,7000000.0,,-103.418744,20.638288,198.0,3.0,,25547.445255474453,01/09/2025,Zap|La Calma|7000000.0|274.0|Cas
Sep25_d4211c9d,Inm24,Zap,La Calma,Ven,Cas,248.0,5.0,2.0,7000000.0,,-103.412077,20.631256,24.0,3.5,42,28225.8064516129,01/09/2025,Zap|La Calma|7000000.0|248.0|Cas
Sep25_9f517208,Inm24,Zap,La Calma,Ven,Cas,144.0,3.0,2.0,6300000.0,,-103.413786,20.63656,82.0,3.5,45,43750.0,01/09/2025,Zap|La Calma|6300000.0|144.0|Cas
Sep25_bff944b7,Inm24,Zap,La Calma,Ven,Cas,208.0,4.0,2.0,6145000.0,,-103.421016,20.636662,98.0,3.0,45,29543.26923076923,01/09/2025,Zap|La Calma|6145000.0|208.0|Cas
Sep25_771cb108,Inm24,Zap,La Calma,Ven,Cas,156.0,3.0,2.0,4595000.0,,-103.411456,20.634324,17.0,2.5,24,29455.128205128207,01/09/2025,Zap|La Calma|4595000.0|156.0|Cas
Sep25_832d04d2,Inm24,Zap,La Calma,Ven,Cas,305.0,4.0,2.0,7690000.0,,-103.411547,20.631843,178.0,2.5,31,25213.11475409836,01/09/2025,Zap|La Calma|7690000.0|305.0|Cas
Sep25_0f4a5c51,Inm24,Zap,La Calma,Ven,Cas,190.0,3.0,1.0,430000.0,,-103.415763,20.633437,20.0,1.5,19,2263.157894736842,01/09/2025,Zap|La Calma|430000.0|190.0|Cas
Sep25_432726c1,Inm24,Zap,La Calma,Ven,Cas,103.0,3.0,1.0,3150000.0,,-103.408611,20.632652,43.0,1.5,21,30582.52427184466,01/09/2025,Zap|La Calma|3150000.0|103.0|Cas
Sep25_e67e767f,Inm24,Zap,La Calma,Ven,Cas,225.0,3.0,2.0,8500000.0,,-103.419803,20.632826,12.0,3.5,10,37777.77777777778,01/09/2025,Zap|La Calma|8500000.0|225.0|Cas
Sep25_58658f66,Inm24,Zap,La Calma,Ven,Cas,292.0,3.0,2.0,10150000.0,,-103.412901,20.639378,100.0,4.0,40,34760.27397260274,01/09/2025,Zap|La Calma|10150000.0|292.0|Cas
