id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_f8390c60,Inm24,Zap,La Cima,Ven,Cas,209.0,3.0,2.0,7950000.0,,-103.413792,20.753786,3.0,4.0,0,38038.27751196172,01/09/2025,Zap|La Cima|7950000.0|209.0|Cas
Sep25_18a44486,Inm24,Zap,La Cima,Ven,Cas,140.0,4.0,2.0,8100000.0,,-103.41259,20.749222,274.0,4.0,0,57857.142857142855,01/09/2025,Zap|La Cima|8100000.0|140.0|Cas
Sep25_8d525d8c,Inm24,Zap,La Cima,Ven,Cas,173.0,4.0,2.0,7200000.0,800.0,-103.411117,20.747277,3.0,3.0,1,41618.49710982659,01/09/2025,Zap|La Cima|7200000.0|173.0|Cas
Sep25_522836dd,Inm24,Zap,La Cima,Ven,Cas,285.0,5.0,3.0,7500000.0,,-103.408736,20.745391,8.0,5.0,4,26315.78947368421,01/09/2025,Zap|La Cima|7500000.0|285.0|Cas
Sep25_0aba2fcc,Inm24,Zap,La Cima,Ven,Cas,246.0,3.0,2.0,7500000.0,,-103.415099,20.750063,,4.5,10,30487.80487804878,01/09/2025,Zap|La Cima|7500000.0|246.0|Cas
Sep25_4bc9d3ea,Inm24,Zap,La Cima,Ven,Cas,215.0,4.0,2.0,7490000.0,870.0,-103.41058,20.752711,94.0,3.0,0,34837.20930232558,01/09/2025,Zap|La Cima|7490000.0|215.0|Cas
Sep25_642041e4,Inm24,Zap,La Cima,Ven,Cas,240.0,4.0,2.0,7190000.0,,-103.411212,20.747252,70.0,4.0,5,29958.33333333333,01/09/2025,Zap|La Cima|7190000.0|240.0|Cas
Sep25_46a2e7d3,Inm24,Zap,La Cima,Ven,Cas,187.0,3.0,2.0,5750000.0,,-103.410546,20.752772,168.0,3.0,8,30748.66310160428,01/09/2025,Zap|La Cima|5750000.0|187.0|Cas
Sep25_66f420c4,Inm24,Zap,La Cima,Ven,Cas,280.0,5.0,3.0,9200000.0,,-103.410636,20.74836,,5.5,0,32857.142857142855,01/09/2025,Zap|La Cima|9200000.0|280.0|Cas
Sep25_7f6470dc,Inm24,Zap,La Cima,Ven,Cas,140.0,4.0,3.0,6750000.0,1500.0,-103.410068,20.748594,136.0,3.0,3,48214.28571428572,01/09/2025,Zap|La Cima|6750000.0|140.0|Cas
Sep25_2bf1ed84,Inm24,Zap,La Cima,Ven,Cas,320.0,4.0,3.0,8590000.0,,-103.41253,20.749406,335.0,5.0,0,26843.75,01/09/2025,Zap|La Cima|8590000.0|320.0|Cas
Sep25_955eecc4,Inm24,Zap,La Cima,Ven,Cas,140.0,4.0,1.0,7590000.0,,-103.412604,20.749153,,3.0,0,54214.28571428572,01/09/2025,Zap|La Cima|7590000.0|140.0|Cas
Sep25_d1b1e632,Inm24,Zap,La Cima,Ven,Cas,1050.0,6.0,6.0,23990000.0,,-103.41058,20.752711,,6.5,3,22847.61904761905,01/09/2025,Zap|La Cima|23990000.0|1050.0|Cas
Sep25_5fae2dd8,Inm24,Zap,La Cima,Ven,Cas,210.0,4.0,2.0,8000000.0,,-103.41259,20.749222,100.0,1.0,0,38095.23809523809,01/09/2025,Zap|La Cima|8000000.0|210.0|Cas
Sep25_4cbabf37,Inm24,Zap,La Cima,Ven,Cas,320.0,5.0,3.0,11500000.0,,-103.411545,20.749562,,5.0,0,35937.5,01/09/2025,Zap|La Cima|11500000.0|320.0|Cas
Sep25_5876ba50,Inm24,Zap,La Cima,Ven,Cas,215.0,5.0,3.0,9500000.0,,-103.41259,20.749222,143.0,6.0,0,44186.04651162791,01/09/2025,Zap|La Cima|9500000.0|215.0|Cas
Sep25_3cc925b1,Inm24,Zap,La Cima,Ven,Cas,186.0,3.0,3.0,9900000.0,,-103.409597,20.746587,6.0,2.5,0,53225.8064516129,01/09/2025,Zap|La Cima|9900000.0|186.0|Cas
Sep25_a73ef137,Inm24,Zap,La Cima,Ven,Cas,389.0,5.0,2.0,17500000.0,1800.0,-103.412093,20.754194,207.0,4.5,5,44987.14652956298,01/09/2025,Zap|La Cima|17500000.0|389.0|Cas
Sep25_6956024e,Inm24,Zap,La Cima,Ven,Cas,175.0,4.0,2.0,6950000.0,1200.0,-103.413513,20.754369,,3.0,0,39714.28571428572,01/09/2025,Zap|La Cima|6950000.0|175.0|Cas
Sep25_aa218370,Inm24,Zap,La Cima,Ven,Cas,205.0,4.0,3.0,7950000.0,,-103.411545,20.749562,,4.0,0,38780.48780487805,01/09/2025,Zap|La Cima|7950000.0|205.0|Cas
Sep25_a719071f,Inm24,Zap,La Cima,Ven,Cas,265.0,4.0,3.0,8950000.0,,-103.412566,20.749397,,5.0,0,33773.58490566038,01/09/2025,Zap|La Cima|8950000.0|265.0|Cas
Sep25_42c4d3ff,Inm24,Zap,La Cima,Ven,Cas,140.0,3.0,3.0,7400000.0,700.0,-103.413493,20.753304,66.0,3.5,1,52857.142857142855,01/09/2025,Zap|La Cima|7400000.0|140.0|Cas
Sep25_ac7acda4,Inm24,Zap,La Cima,Ven,Cas,140.0,4.0,2.0,9500000.0,,-103.41259,20.749222,100.0,5.0,0,67857.14285714286,01/09/2025,Zap|La Cima|9500000.0|140.0|Cas
Sep25_3b87c923,Inm24,Zap,La Cima,Ven,Cas,235.0,4.0,2.0,7900000.0,,-103.411545,20.749562,,5.0,0,33617.02127659575,01/09/2025,Zap|La Cima|7900000.0|235.0|Cas
Sep25_94b1e907,Inm24,Zap,La Cima,Ven,Cas,221.0,4.0,2.0,6980000.0,,-103.412132,20.753017,,4.0,0,31583.710407239814,01/09/2025,Zap|La Cima|6980000.0|221.0|Cas
Sep25_7cd7cc5c,Inm24,Zap,La Cima,Ven,Cas,145.0,4.0,3.0,8000000.0,,-103.412132,20.753017,96.0,1.0,0,55172.41379310345,01/09/2025,Zap|La Cima|8000000.0|145.0|Cas
Sep25_eaf32c21,Inm24,Zap,La Cima,Ven,Cas,235.0,4.0,2.0,8000000.0,,-103.412288,20.754322,66.0,3.0,0,34042.55319148936,01/09/2025,Zap|La Cima|8000000.0|235.0|Cas
