id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_798fd1c3,Inm24,Zap,La Estancia,Ven,Cas,460.0,4.0,3.0,13800000.0,,-103.429503,20.669471,45.0,3.5,15,30000.0,01/09/2025,Zap|La Estancia|13800000.0|460.0|Cas
Sep25_9c8b35f1,Inm24,Zap,La Estancia,Ven,Cas,682.0,4.0,4.0,11300000.0,,-103.432228,20.674872,5.0,4.0,40,16568.91495601173,01/09/2025,Zap|La Estancia|11300000.0|682.0|Cas
Sep25_c61123a4,Inm24,Zap,La Estancia,Ven,Cas,259.0,3.0,2.0,7900000.0,,-103.428967,20.672436,50.0,3.5,30,30501.930501930503,01/09/2025,Zap|La Estancia|7900000.0|259.0|Cas
Sep25_9f2cd8a2,Inm24,Zap,La Estancia,Ven,Cas,86.0,3.0,1.0,4500000.0,,-103.434507,20.671646,150.0,1.5,30,52325.58139534884,01/09/2025,Zap|La Estancia|4500000.0|86.0|Cas
Sep25_bc46b098,Inm24,Zap,La Estancia,Ven,Cas,305.0,4.0,2.0,7600000.0,,-103.429503,20.669471,317.0,3.0,37,24918.032786885247,01/09/2025,Zap|La Estancia|7600000.0|305.0|Cas
Sep25_6ec9b460,Inm24,Zap,La Estancia,Ven,Cas,145.0,3.0,2.0,11500000.0,7700.0,-103.429503,20.669471,287.0,4.0,10,79310.3448275862,01/09/2025,Zap|La Estancia|11500000.0|145.0|Cas
Sep25_6c72b8f2,Inm24,Zap,La Estancia,Ven,Cas,360.0,5.0,3.0,9250000.0,,-103.429896,20.670057,207.0,4.0,20,25694.444444444445,01/09/2025,Zap|La Estancia|9250000.0|360.0|Cas
Sep25_cc0639e0,Inm24,Zap,La Estancia,Ven,Cas,450.0,6.0,6.0,40080178.0,,-103.43301,20.674551,13.0,5.5,0,89067.06222222222,01/09/2025,Zap|La Estancia|40080178.0|450.0|Cas
Sep25_f2e576b8,Inm24,Zap,La Estancia,Ven,Cas,330.0,5.0,4.0,27181890.0,,-103.43179,20.667578,13.0,5.5,0,82369.36363636363,01/09/2025,Zap|La Estancia|27181890.0|330.0|Cas
Sep25_32226f00,Inm24,Zap,La Estancia,Ven,Cas,380.0,6.0,6.0,27243945.0,,-103.42755,20.67052,13.0,5.5,0,71694.59210526316,01/09/2025,Zap|La Estancia|27243945.0|380.0|Cas
Sep25_a58d7ad8,Inm24,Zap,La Estancia,Ven,Cas,350.0,6.0,3.0,7900000.0,,-103.434381,20.668096,283.0,3.0,6,22571.42857142857,01/09/2025,Zap|La Estancia|7900000.0|350.0|Cas
Sep25_69075a06,Inm24,Zap,La Estancia,Ven,Cas,200.0,4.0,2.0,7300000.0,,-103.429578,20.670037,13.0,3.0,20,36500.0,01/09/2025,Zap|La Estancia|7300000.0|200.0|Cas
Sep25_a0905a25,Inm24,Zap,La Estancia,Ven,Cas,237.0,4.0,2.0,8500000.0,,-103.424713,20.667995,52.0,4.0,,35864.97890295359,01/09/2025,Zap|La Estancia|8500000.0|237.0|Cas
Sep25_8321d763,Inm24,Zap,La Estancia,Ven,Cas,257.0,3.0,,6480000.0,,-103.429503,20.669471,1.0,2.0,,25214.00778210117,01/09/2025,Zap|La Estancia|6480000.0|257.0|Cas
Sep25_0ab2d8eb,Inm24,Zap,La Estancia,Ven,Cas,240.0,4.0,2.0,5990000.0,,-103.429763,20.668664,85.0,3.5,30,24958.33333333333,01/09/2025,Zap|La Estancia|5990000.0|240.0|Cas
