id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_7a43ff16,Inm24,Zap,Lagos del Country,Ven,Cas,249.0,3.0,2.0,5240000.0,,-103.368849,20.71552,173.0,2.5,40,21044.176706827307,01/09/2025,Zap|Lagos del Country|5240000.0|249.0|Cas
Sep25_806693d9,Inm24,Zap,Lagos del Country,Ven,Cas,300.0,3.0,3.0,9750000.0,,-103.374486,20.716719,184.0,5.5,15,32500.0,01/09/2025,Zap|Lagos del Country|9750000.0|300.0|Cas
Sep25_2e1e4f1a,Inm24,Zap,Lagos del Country,Ven,Cas,146.0,4.0,1.0,5199000.0,,-103.371274,20.716309,219.0,3.0,20,35609.58904109589,01/09/2025,Zap|Lagos del Country|5199000.0|146.0|Cas
Sep25_4297fddf,Inm24,Zap,Lagos del Country,Ven,Cas,232.0,4.0,2.0,7990000.0,,-103.36728,20.714319,23.0,3.5,0,34439.65517241379,01/09/2025,Zap|Lagos del Country|7990000.0|232.0|Cas
Sep25_179666b6,Inm24,Zap,Lagos del Country,Ven,Cas,350.0,3.0,3.0,26500000.0,,-103.372597,20.715011,4.0,4.5,40,75714.28571428571,01/09/2025,Zap|Lagos del Country|26500000.0|350.0|Cas
Sep25_30fc7f2a,Inm24,Zap,Lagos del Country,Ven,Cas,480.0,4.0,2.0,7200000.0,,-103.371003,20.715692,175.0,4.0,40,15000.0,01/09/2025,Zap|Lagos del Country|7200000.0|480.0|Cas
Sep25_0e607d28,Inm24,Zap,Lagos del Country,Ven,Cas,200.0,4.0,2.0,8290000.0,,-103.374495,20.716096,122.0,0.5,1,41450.0,01/09/2025,Zap|Lagos del Country|8290000.0|200.0|Cas
Sep25_c3e743eb,Inm24,Zap,Lagos del Country,Ven,Cas,208.0,5.0,2.0,7100000.0,,-103.369177,20.713759,134.0,3.5,25,34134.61538461538,01/09/2025,Zap|Lagos del Country|7100000.0|208.0|Cas
Sep25_d1832b4b,Inm24,Zap,Lagos del Country,Ven,Cas,655.0,8.0,4.0,21000000.0,,-103.374145,20.714726,130.0,6.0,0,32061.068702290075,01/09/2025,Zap|Lagos del Country|21000000.0|655.0|Cas
Sep25_f36cb7c3,Inm24,Zap,Lagos del Country,Ven,Cas,230.0,4.0,2.0,8282000.0,,-103.36728,20.714319,82.0,3.5,0,36008.69565217391,01/09/2025,Zap|Lagos del Country|8282000.0|230.0|Cas
Sep25_4766baf5,Inm24,Zap,Lagos del Country,Ven,Cas,200.0,3.0,2.0,8280000.0,,-103.371274,20.716309,138.0,3.5,0,41400.0,01/09/2025,Zap|Lagos del Country|8280000.0|200.0|Cas
