id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_e75f8f78,Inm24,Zap,Las Fuentes,Ven,Cas,800.0,4.0,8.0,24000000.0,,-103.427646,20.62017,48.0,6.5,40,30000.0,01/09/2025,Zap|Las Fuentes|24000000.0|800.0|Cas
Sep25_31904e15,Inm24,Zap,Las Fuentes,Ven,Cas,506.0,7.0,7.0,24900000.0,1000.0,-103.425864,20.625244,,8.0,25,49209.486166007904,01/09/2025,Zap|Las Fuentes|24900000.0|506.0|Cas
Sep25_1e48b5c4,Inm24,Zap,Las Fuentes,Ven,Cas,750.0,5.0,10.0,22000000.0,,-103.42614,20.62076,,6.0,20,29333.33333333333,01/09/2025,Zap|Las Fuentes|22000000.0|750.0|Cas
Sep25_f4c78e67,Inm24,Zap,Las Fuentes,Ven,Cas,453.0,4.0,4.0,32000000.0,,-103.431009,20.625558,121.0,6.0,12,70640.1766004415,01/09/2025,Zap|Las Fuentes|32000000.0|453.0|Cas
Sep25_82865439,Inm24,Zap,Las Fuentes,Ven,Cas,259.0,4.0,4.0,8900000.0,,-103.431449,20.625379,39.0,3.0,19,34362.934362934364,01/09/2025,Zap|Las Fuentes|8900000.0|259.0|Cas
Sep25_3abb9b25,Inm24,Zap,Las Fuentes,Ven,Cas,322.0,3.0,4.0,13000000.0,500.0,-103.421715,20.623709,,3.0,45,40372.67080745342,01/09/2025,Zap|Las Fuentes|13000000.0|322.0|Cas
Sep25_0441c067,Inm24,Zap,Las Fuentes,Ven,Cas,558.0,4.0,3.0,29900000.0,,-103.422262,20.625003,98.0,4.5,20,53584.229390681,01/09/2025,Zap|Las Fuentes|29900000.0|558.0|Cas
Sep25_add29bba,Inm24,Zap,Las Fuentes,Ven,Cas,380.0,4.0,3.0,14000000.0,,-103.424553,20.623943,,4.5,44,36842.10526315789,01/09/2025,Zap|Las Fuentes|14000000.0|380.0|Cas
Sep25_40ee12e5,Inm24,Zap,Las Fuentes,Ven,Cas,780.0,5.0,5.0,24000000.0,,-103.427646,20.62017,8.0,7.0,20,30769.23076923077,01/09/2025,Zap|Las Fuentes|24000000.0|780.0|Cas
Sep25_c6f74177,Inm24,Zap,Las Fuentes,Ven,Cas,957.0,4.0,3.0,29900000.0,,-103.427035,20.625434,57.0,5.5,25,31243.469174503654,01/09/2025,Zap|Las Fuentes|29900000.0|957.0|Cas
Sep25_6d8079d1,Inm24,Zap,Las Fuentes,Ven,Cas,765.0,4.0,4.0,23500000.0,,-103.427312,20.619119,22.0,4.0,0,30718.95424836601,01/09/2025,Zap|Las Fuentes|23500000.0|765.0|Cas
