id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_a3506c3c,Inm24,Zap,Lomas del Valle,Ven,Cas,552.0,3.0,3.0,20000000.0,,-103.406387,20.685994,282.0,4.0,37,36231.884057971016,01/09/2025,Zap|Lomas del Valle|20000000.0|552.0|Cas
Sep25_536a9d7c,Inm24,Zap,Lomas del Valle,Ven,Cas,689.0,5.0,8.0,39865000.0,,-103.406396,20.691067,327.0,6.5,30,57859.21625544267,01/09/2025,Zap|Lomas del Valle|39865000.0|689.0|Cas
Sep25_8b1569fc,Inm24,Zap,Lomas del Valle,Ven,Cas,1300.0,5.0,5.0,54990000.0,,-103.404415,20.69129,,6.0,7,42300.0,01/09/2025,Zap|Lomas del Valle|54990000.0|1300.0|Cas
Sep25_9c9995ed,Inm24,Zap,Lomas del Valle,Ven,Cas,121.0,3.0,2.0,7980000.0,3000.0,-103.408303,20.685262,289.0,4.5,5,65950.4132231405,01/09/2025,Zap|Lomas del Valle|7980000.0|121.0|Cas
Sep25_2750bcbc,Inm24,Zap,Lomas del Valle,Ven,Cas,240.0,3.0,3.0,10490000.0,,-103.408303,20.685262,113.0,3.5,12,43708.333333333336,01/09/2025,Zap|Lomas del Valle|10490000.0|240.0|Cas
Sep25_c7b5b124,Inm24,Zap,Lomas del Valle,Ven,Cas,980.0,4.0,6.0,47000000.0,,-103.405809,20.68577,184.0,5.0,0,47959.183673469386,01/09/2025,Zap|Lomas del Valle|47000000.0|980.0|Cas
Sep25_8b1bf32d,Inm24,Zap,Lomas del Valle,Ven,Cas,300.0,3.0,2.0,16800000.0,,-103.408074,20.689764,155.0,3.5,10,56000.0,01/09/2025,Zap|Lomas del Valle|16800000.0|300.0|Cas
Sep25_a6308f21,Inm24,Zap,Lomas del Valle,Ven,Cas,450.0,4.0,4.0,32000000.0,,-103.4035,20.689041,,4.5,0,71111.11111111111,01/09/2025,Zap|Lomas del Valle|32000000.0|450.0|Cas
Sep25_f37fbf92,Inm24,Zap,Lomas del Valle,Ven,Cas,240.0,3.0,2.0,10550000.0,,-103.405682,20.688088,,3.5,8,43958.333333333336,01/09/2025,Zap|Lomas del Valle|10550000.0|240.0|Cas
Sep25_80e438f5,Inm24,Zap,Lomas del Valle,Ven,Cas,700.0,4.0,6.0,40000000.0,,-103.402154,20.689155,36.0,6.0,0,57142.857142857145,01/09/2025,Zap|Lomas del Valle|40000000.0|700.0|Cas
Sep25_7632a50b,Inm24,Zap,Lomas del Valle,Ven,Cas,445.0,4.0,6.0,34500000.0,,-103.401691,20.687125,52.0,4.5,14,77528.08988764045,01/09/2025,Zap|Lomas del Valle|34500000.0|445.0|Cas
Sep25_6be64fb7,Inm24,Zap,Lomas del Valle,Ven,Cas,700.0,4.0,7.0,36000000.0,,-103.401167,20.690156,155.0,5.0,0,51428.57142857143,01/09/2025,Zap|Lomas del Valle|36000000.0|700.0|Cas
Sep25_2fe1875c,Inm24,Zap,Lomas del Valle,Ven,Cas,620.0,3.0,6.0,25999000.0,2500.0,-103.407902,20.686332,75.0,4.5,20,41933.87096774193,01/09/2025,Zap|Lomas del Valle|25999000.0|620.0|Cas
Sep25_ab9d9cc1,Inm24,Zap,Lomas del Valle,Ven,Cas,232.0,4.0,4.0,9850000.0,,-103.408573,20.691072,89.0,4.0,26,42456.89655172414,01/09/2025,Zap|Lomas del Valle|9850000.0|232.0|Cas
Sep25_cd77a036,Inm24,Zap,Lomas del Valle,Ven,Cas,670.0,4.0,4.0,24000000.0,,-103.40175,20.691321,,4.5,15,35820.89552238806,01/09/2025,Zap|Lomas del Valle|24000000.0|670.0|Cas
Sep25_e8c04b4e,Inm24,Zap,Lomas del Valle,Ven,Cas,896.0,4.0,6.0,46900000.0,,-103.404046,20.685727,129.0,4.5,10,52343.75,01/09/2025,Zap|Lomas del Valle|46900000.0|896.0|Cas
Sep25_5064df02,Inm24,Zap,Lomas del Valle,Ven,Cas,550.0,4.0,8.0,50000000.0,,-103.408619,20.691727,,6.0,40,90909.09090909093,01/09/2025,Zap|Lomas del Valle|50000000.0|550.0|Cas
Sep25_dc777b5a,Inm24,Zap,Lomas del Valle,Ven,Cas,670.0,4.0,4.0,44000000.0,,-103.4035,20.689041,31.0,4.5,0,65671.64179104478,01/09/2025,Zap|Lomas del Valle|44000000.0|670.0|Cas
Sep25_6c5405f2,Inm24,Zap,Lomas del Valle,Ven,Cas,700.0,6.0,,38000000.0,,-103.401167,20.690156,,6.0,30,54285.71428571428,01/09/2025,Zap|Lomas del Valle|38000000.0|700.0|Cas
