id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_2107136b,Inm24,Zap,Los Pinos,Ven,Cas,311.0,4.0,4.0,12200000.0,,-103.406158,20.679993,190.0,4.0,0,39228.295819935694,01/09/2025,Zap|Los Pinos|12200000.0|311.0|Cas
Sep25_98e956be,Inm24,Zap,Los Pinos,Ven,Cas,313.0,5.0,4.0,12200000.0,,-103.406141,20.680004,,5.0,10,38977.6357827476,01/09/2025,Zap|Los Pinos|12200000.0|313.0|Cas
Sep25_edd5133c,Inm24,Zap,Los Pinos,Ven,Cas,90.0,2.0,1.0,2090000.0,300.0,-103.441062,20.607246,91.0,2.0,9,23222.222222222223,01/09/2025,Zap|Los Pinos|2090000.0|90.0|Cas
Sep25_23741979,Inm24,Zap,Los Pinos,Ven,Cas,580.0,4.0,8.0,27900000.0,,-103.439319,20.608501,48.0,5.0,35,48103.44827586207,01/09/2025,Zap|Los Pinos|27900000.0|580.0|Cas
Sep25_10e43beb,Inm24,Zap,Los Pinos,Ven,Cas,1668.0,8.0,6.0,23900000.0,,-103.438543,20.606956,81.0,4.5,38,14328.53717026379,01/09/2025,Zap|Los Pinos|23900000.0|1668.0|Cas
Sep25_1b7151a8,Inm24,Zap,Los Pinos,Ven,Cas,320.0,4.0,4.0,14500000.0,,-103.406594,20.681195,73.0,4.5,25,45312.5,01/09/2025,Zap|Los Pinos|14500000.0|320.0|Cas
Sep25_b995be51,Inm24,Zap,Los Pinos,Ven,Cas,239.0,3.0,2.0,7843000.0,,-103.441062,20.607246,93.0,3.5,0,32815.89958158996,01/09/2025,Zap|Los Pinos|7843000.0|239.0|Cas
Sep25_52b5b540,Inm24,Zap,Los Pinos,Ven,Cas,168.0,3.0,,4250000.0,,-103.441062,20.607246,197.0,2.0,15,25297.61904761905,01/09/2025,Zap|Los Pinos|4250000.0|168.0|Cas
Sep25_525fc905,Inm24,Zap,Los Pinos,Ven,Cas,274.0,4.0,2.0,7942000.0,,-103.43811,20.609082,55.0,3.0,,28985.401459854016,01/09/2025,Zap|Los Pinos|7942000.0|274.0|Cas
Sep25_1fdf5f9f,Inm24,Zap,Los Pinos,Ven,Cas,67.0,2.0,1.0,1450000.0,300.0,-103.475071,20.792418,22.0,1.5,15,21641.79104477612,01/09/2025,Zap|Los Pinos|1450000.0|67.0|Cas
Sep25_168b4e0c,Inm24,Zap,Los Pinos,Ven,Cas,275.0,4.0,2.0,7843000.0,,-103.441062,20.607245,4.0,3.0,,28520.0,01/09/2025,Zap|Los Pinos|7843000.0|275.0|Cas
Sep25_26f2ac49,Inm24,Zap,Los Pinos,Ven,Cas,605.0,7.0,6.0,22000000.0,,-103.438517,20.606973,74.0,4.5,25,36363.63636363636,01/09/2025,Zap|Los Pinos|22000000.0|605.0|Cas
