id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_db9d99af,Inm24,Zap,Los Robles,Ven,Cas,183.0,3.0,2.0,4400000.0,,-103.41593,20.760868,8.0,4.0,0,24043.71584699453,01/09/2025,Zap|Los Robles|4400000.0|183.0|Cas
Sep25_09beea3f,Inm24,Zap,Los Robles,Ven,Cas,252.0,4.0,3.0,8670000.0,,-103.420835,20.757758,124.0,4.0,0,34404.76190476191,01/09/2025,Zap|Los Robles|8670000.0|252.0|Cas
Sep25_4f2fc4a8,Inm24,Zap,Los Robles,Ven,Cas,215.0,3.0,2.0,4595000.0,,-103.414808,20.760311,243.0,4.0,4,21372.093023255813,01/09/2025,Zap|Los Robles|4595000.0|215.0|Cas
Sep25_6e9d0b4d,Inm24,Zap,Los Robles,Ven,Cas,160.0,3.0,2.0,5300000.0,1120.0,-103.413189,20.765359,151.0,4.0,0,33125.0,01/09/2025,Zap|Los Robles|5300000.0|160.0|Cas
Sep25_9655585c,Inm24,Zap,Los Robles,Ven,Cas,300.0,3.0,2.0,11399999.0,,-103.420835,20.757758,4.0,3.5,0,37999.996666666666,01/09/2025,Zap|Los Robles|11399999.0|300.0|Cas
Sep25_87da548b,Inm24,Zap,Los Robles,Ven,Cas,215.0,3.0,2.0,4600000.0,,-103.415432,20.761391,,4.0,0,21395.3488372093,01/09/2025,Zap|Los Robles|4600000.0|215.0|Cas
Sep25_5a673d94,Inm24,Zap,Los Robles,Ven,Cas,198.0,3.0,2.0,4740000.0,800.0,-103.423724,20.76045,,3.5,0,23939.39393939394,01/09/2025,Zap|Los Robles|4740000.0|198.0|Cas
Sep25_8c0b7295,Inm24,Zap,Los Robles,Ven,Cas,183.0,3.0,3.0,4399000.0,,-103.414808,20.760311,,3.0,1,24038.251366120217,01/09/2025,Zap|Los Robles|4399000.0|183.0|Cas
Sep25_1c80d8cb,Inm24,Zap,Los Robles,Ven,Cas,303.0,4.0,3.0,8700000.0,,-103.420835,20.757758,56.0,4.5,0,28712.871287128717,01/09/2025,Zap|Los Robles|8700000.0|303.0|Cas
Sep25_f6c50361,Inm24,Zap,Los Robles,Ven,Cas,120.0,3.0,2.0,5600000.0,,-103.420835,20.757758,67.0,4.0,0,46666.66666666666,01/09/2025,Zap|Los Robles|5600000.0|120.0|Cas
