id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_9b72d27c,Inm24,Zap,Madeiras,Ven,Cas,99.0,3.0,2.0,3850000.0,610.0,-103.427129,20.773591,127.0,2.5,0,38888.88888888889,01/09/2025,Zap|Madeiras|3850000.0|99.0|Cas
Sep25_3de3297b,Inm24,Zap,Madeiras,Ven,Cas,200.0,3.0,2.0,5500000.0,1400.0,-103.42679,20.774738,,3.0,2,27500.0,01/09/2025,Zap|Madeiras|5500000.0|200.0|Cas
Sep25_b720ecb5,Inm24,Zap,Madeiras,Ven,Cas,143.0,3.0,2.0,3700000.0,800.0,-103.427643,20.774945,,2.5,1,25874.125874125875,01/09/2025,Zap|Madeiras|3700000.0|143.0|Cas
Sep25_899b7ff0,Inm24,Zap,Madeiras,Ven,Cas,126.0,3.0,2.0,3225000.0,650.0,-103.426365,20.776172,10.0,2.5,5,25595.23809523809,01/09/2025,Zap|Madeiras|3225000.0|126.0|Cas
Sep25_96819628,Inm24,Zap,Madeiras,Ven,Cas,177.0,3.0,2.0,4200000.0,,-103.427342,20.774875,171.0,3.0,0,23728.813559322032,01/09/2025,Zap|Madeiras|4200000.0|177.0|Cas
Sep25_e6d0ef7b,Inm24,Zap,Madeiras,Ven,Cas,210.0,4.0,2.0,4750000.0,,-103.42679,20.774738,,3.5,3,22619.04761904762,01/09/2025,Zap|Madeiras|4750000.0|210.0|Cas
Sep25_d2e70c6a,Inm24,Zap,Madeiras,Ven,Cas,99.0,3.0,2.0,3575000.0,673.0,-103.425786,20.774425,113.0,2.5,7,36111.11111111111,01/09/2025,Zap|Madeiras|3575000.0|99.0|Cas
Sep25_fdd7e05f,Inm24,Zap,Madeiras,Ven,Cas,242.0,3.0,2.0,5750000.0,,-103.42709,20.774716,221.0,4.5,en construcción,23760.3305785124,01/09/2025,Zap|Madeiras|5750000.0|242.0|Cas
Sep25_23006156,Inm24,Zap,Madeiras,Ven,Cas,160.0,4.0,2.0,4350000.0,,-103.427368,20.773875,17.0,3.0,0,27187.5,01/09/2025,Zap|Madeiras|4350000.0|160.0|Cas
Sep25_d8ae924b,Inm24,Zap,Madeiras,Ven,Cas,156.0,3.0,2.0,4350000.0,,-103.426935,20.774592,,2.5,0,27884.615384615383,01/09/2025,Zap|Madeiras|4350000.0|156.0|Cas
Sep25_3e59df17,Inm24,Zap,Madeiras,Ven,Cas,132.0,3.0,2.0,3300000.0,800.0,-103.427081,20.774771,75.0,2.5,8,25000.0,01/09/2025,Zap|Madeiras|3300000.0|132.0|Cas
Sep25_b77ac199,Inm24,Zap,Madeiras,Ven,Cas,165.0,4.0,2.0,3850000.0,750.0,-103.427111,20.774444,85.0,3.0,0,23333.33333333333,01/09/2025,Zap|Madeiras|3850000.0|165.0|Cas
Sep25_6f896545,Inm24,Zap,Madeiras,Ven,Cas,162.0,5.0,2.0,4350000.0,,-103.427368,20.773875,10.0,3.0,0,26851.85185185185,01/09/2025,Zap|Madeiras|4350000.0|162.0|Cas
Sep25_0ce8e43c,Inm24,Zap,Madeiras,Ven,Cas,171.0,3.0,2.0,4090000.0,,-103.425796,20.775581,52.0,3.0,,23918.12865497076,01/09/2025,Zap|Madeiras|4090000.0|171.0|Cas
