id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_3cf9c8e3,Inm24,Zap,Olivos Residencial,Ven,Cas,318.0,3.0,4.0,13900000.0,2500.0,-103.459125,20.735017,150.0,3.5,18,43710.69182389937,01/09/2025,Zap|Olivos Residencial|13900000.0|318.0|Cas
Sep25_3afa3f3d,Inm24,Zap,Olivos Residencial,Ven,Cas,376.0,4.0,4.0,15100000.0,,-103.459125,20.735017,53.0,4.5,5,40159.57446808511,01/09/2025,Zap|Olivos Residencial|15100000.0|376.0|Cas
Sep25_cbe802cf,Inm24,Zap,Olivos Residencial,Ven,Cas,525.0,3.0,6.0,20490000.0,,-103.459747,20.732916,206.0,5.0,1,39028.57142857143,01/09/2025,Zap|Olivos Residencial|20490000.0|525.0|Cas
Sep25_a2e5c35f,Inm24,Zap,Olivos Residencial,Ven,Cas,555.0,3.0,6.0,25000000.0,,-103.459937,20.732809,338.0,4.5,0,45045.04504504504,01/09/2025,Zap|Olivos Residencial|25000000.0|555.0|Cas
Sep25_6da93fde,Inm24,Zap,Olivos Residencial,Ven,Cas,367.0,3.0,2.0,10900000.0,2500.0,-103.459897,20.732809,160.0,3.5,10,29700.27247956403,01/09/2025,Zap|Olivos Residencial|10900000.0|367.0|Cas
Sep25_8e5b80b4,Inm24,Zap,Olivos Residencial,Ven,Cas,182.0,3.0,2.0,7920000.0,3645.0,-103.459795,20.733732,260.0,4.5,0,43516.48351648352,01/09/2025,Zap|Olivos Residencial|7920000.0|182.0|Cas
Sep25_3b3e4df6,Inm24,Zap,Olivos Residencial,Ven,Cas,288.0,4.0,4.0,8990000.0,,-103.460892,20.732947,11.0,4.5,1,31215.277777777777,01/09/2025,Zap|Olivos Residencial|8990000.0|288.0|Cas
Sep25_e8bf079a,Inm24,Zap,Olivos Residencial,Ven,Cas,458.0,3.0,4.0,17550000.0,2250.0,-103.459125,20.735017,,5.0,12,38318.77729257642,01/09/2025,Zap|Olivos Residencial|17550000.0|458.0|Cas
Sep25_e4e81283,Inm24,Zap,Olivos Residencial,Ven,Cas,477.0,4.0,2.0,17300000.0,3000.0,-103.459897,20.732809,108.0,3.5,6,36268.343815513625,01/09/2025,Zap|Olivos Residencial|17300000.0|477.0|Cas
Sep25_5ac4d907,Inm24,Zap,Olivos Residencial,Ven,Cas,427.0,3.0,3.0,17300000.0,,-103.459747,20.732916,239.0,4.5,8,40515.2224824356,01/09/2025,Zap|Olivos Residencial|17300000.0|427.0|Cas
Sep25_81a57bc4,Inm24,Zap,Olivos Residencial,Ven,Cas,390.0,4.0,4.0,14200000.0,,-103.459717,20.735733,6.0,3.5,12,36410.256410256414,01/09/2025,Zap|Olivos Residencial|14200000.0|390.0|Cas
