id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_bf2d17d2,Inm24,Zap,Parque Virreyes,Ven,Cas,650.0,4.0,5.0,38000000.0,,-103.442045,20.701016,89.0,6.0,0,58461.53846153846,01/09/2025,Zap|Parque Virreyes|38000000.0|650.0|Cas
Sep25_95c5755d,Inm24,Zap,Parque Virreyes,Ven,Cas,310.0,4.0,4.0,16500000.0,,-103.439995,20.699932,314.0,4.5,0,53225.8064516129,01/09/2025,Zap|Parque Virreyes|16500000.0|310.0|Cas
Sep25_e63a8697,Inm24,Zap,Parque Virreyes,Ven,Cas,207.0,4.0,4.0,11800000.0,2400.0,-103.440698,20.700369,90.0,4.0,14,57004.8309178744,01/09/2025,Zap|Parque Virreyes|11800000.0|207.0|Cas
Sep25_ca8ae342,Inm24,Zap,Parque Virreyes,Ven,Cas,513.0,4.0,5.0,23900000.0,,-103.442045,20.701016,41.0,5.5,0,46588.69395711501,01/09/2025,Zap|Parque Virreyes|23900000.0|513.0|Cas
Sep25_78954c17,Inm24,Zap,Parque Virreyes,Ven,Cas,350.0,4.0,2.0,25265999.0,,-103.439995,20.699932,46.0,4.5,0,72188.56857142856,01/09/2025,Zap|Parque Virreyes|25265999.0|350.0|Cas
Sep25_ad5d5dc6,Inm24,Zap,Parque Virreyes,Ven,Cas,270.0,3.0,4.0,10800000.0,2200.0,-103.439995,20.699932,246.0,2.5,0,40000.0,01/09/2025,Zap|Parque Virreyes|10800000.0|270.0|Cas
Sep25_6bf6db17,Inm24,Zap,Parque Virreyes,Ven,Cas,325.0,4.0,3.0,15250000.0,2500.0,-103.440715,20.700004,,4.5,5,46923.07692307692,01/09/2025,Zap|Parque Virreyes|15250000.0|325.0|Cas
Sep25_08b3f886,Inm24,Zap,Parque Virreyes,Ven,Cas,637.0,5.0,6.0,34500000.0,,-103.439995,20.699932,151.0,6.0,2,54160.12558869702,01/09/2025,Zap|Parque Virreyes|34500000.0|637.0|Cas
Sep25_dbb57aa5,Inm24,Zap,Parque Virreyes,Ven,Cas,550.0,5.0,3.0,23450000.0,2550.0,-103.439995,20.699932,195.0,6.5,7,42636.36363636364,01/09/2025,Zap|Parque Virreyes|23450000.0|550.0|Cas
Sep25_5cfe06af,Inm24,Zap,Parque Virreyes,Ven,Cas,350.0,4.0,2.0,17645999.0,,-103.439995,20.699932,16.0,4.5,0,50417.14,01/09/2025,Zap|Parque Virreyes|17645999.0|350.0|Cas
Sep25_ea7870c8,Inm24,Zap,Parque Virreyes,Ven,Cas,344.0,4.0,2.0,10750000.0,,-103.440188,20.69844,55.0,4.0,,31250.0,01/09/2025,Zap|Parque Virreyes|10750000.0|344.0|Cas
Sep25_da1a33c5,Inm24,Zap,Parque Virreyes,Ven,Cas,450.0,6.0,6.0,20143686.0,,-103.441826,20.699741,13.0,5.5,0,44763.746666666666,01/09/2025,Zap|Parque Virreyes|20143686.0|450.0|Cas
Sep25_a7c8ede2,Inm24,Zap,Parque Virreyes,Ven,Cas,225.0,4.0,4.0,13950000.0,,-103.439995,20.699932,108.0,4.5,8,62000.0,01/09/2025,Zap|Parque Virreyes|13950000.0|225.0|Cas
