id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_089a6fc3,Inm24,Zap,Paseos del Sol,Ven,Cas,122.0,3.0,2.0,4100000.0,250.0,-103.429503,20.637353,24.0,2.5,20,33606.55737704918,01/09/2025,Zap|Paseos del Sol|4100000.0|122.0|Cas
Sep25_5c9319ed,Inm24,Zap,Paseos del Sol,Ven,Cas,150.0,3.0,,4600000.0,,-103.430329,20.633122,59.0,3.5,en construcción,30666.666666666668,01/09/2025,Zap|Paseos del Sol|4600000.0|150.0|Cas
Sep25_a33001f5,Inm24,Zap,Paseos del Sol,Ven,Cas,532.0,5.0,,17490400.0,,-103.431911,20.630407,105.0,6.0,40,32876.691729323305,01/09/2025,Zap|Paseos del Sol|17490400.0|532.0|Cas
Sep25_0c236889,Inm24,Zap,Paseos del Sol,Ven,Cas,160.0,3.0,2.0,7500000.0,,-103.435603,20.638508,211.0,3.5,15,46875.0,01/09/2025,Zap|Paseos del Sol|7500000.0|160.0|Cas
Sep25_30aca632,Inm24,Zap,Paseos del Sol,Ven,Cas,141.0,3.0,4.0,8500000.0,,-103.425,20.6377,1.0,2.0,30,60283.68794326241,01/09/2025,Zap|Paseos del Sol|8500000.0|141.0|Cas
Sep25_b59ed139,Inm24,Zap,Paseos del Sol,Ven,Cas,90.0,2.0,1.0,3099000.0,,-103.429503,20.637353,42.0,2.0,15,34433.333333333336,01/09/2025,Zap|Paseos del Sol|3099000.0|90.0|Cas
Sep25_6c52a265,Inm24,Zap,Paseos del Sol,Ven,Cas,279.0,4.0,3.0,6990000.0,,-103.433939,20.634245,185.0,2.5,20,25053.763440860213,01/09/2025,Zap|Paseos del Sol|6990000.0|279.0|Cas
Sep25_60ae5fee,Inm24,Zap,Paseos del Sol,Ven,Cas,341.0,4.0,2.0,7990000.0,,-103.43337,20.628218,24.0,4.0,,23431.08504398827,01/09/2025,Zap|Paseos del Sol|7990000.0|341.0|Cas
Sep25_97dcb933,Inm24,Zap,Paseos del Sol,Ven,Cas,100.0,3.0,1.0,2850000.0,,-103.436713,20.637867,293.0,1.0,35,28500.0,01/09/2025,Zap|Paseos del Sol|2850000.0|100.0|Cas
Sep25_41922446,Inm24,Zap,Paseos del Sol,Ven,Cas,132.0,3.0,1.0,4190000.0,,-103.423644,20.636627,122.0,2.5,37,31742.424242424244,01/09/2025,Zap|Paseos del Sol|4190000.0|132.0|Cas
