id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_f7163bf1,Inm24,Zap,Pinar de La Venta,Ven,Cas,380.0,6.0,6.0,16040188.0,,-103.5259,20.72328,12.0,5.5,0,42211.02105263158,01/09/2025,Zap|Pinar de La Venta|16040188.0|380.0|Cas
Sep25_ad028bd8,Inm24,Zap,Pinar de La Venta,Ven,Cas,241.0,3.0,4.0,13800000.0,1800.0,-103.533363,20.725904,34.0,4.5,0,57261.41078838174,01/09/2025,Zap|Pinar de La Venta|13800000.0|241.0|Cas
Sep25_06b9ed68,Inm24,Zap,Pinar de La Venta,Ven,Cas,600.0,4.0,4.0,14985000.0,1800.0,-103.526612,20.724812,14.0,5.0,5,24975.0,01/09/2025,Zap|Pinar de La Venta|14985000.0|600.0|Cas
Sep25_4add239b,Inm24,Zap,Pinar de La Venta,Ven,Cas,410.0,6.0,6.0,16903687.0,,-103.52876,20.722376,10.0,5.5,0,41228.50487804878,01/09/2025,Zap|Pinar de La Venta|16903687.0|410.0|Cas
Sep25_10f7eca2,Inm24,Zap,Pinar de La Venta,Ven,Cas,324.0,3.0,3.0,12000000.0,,-103.528459,20.721789,211.0,4.5,22,37037.03703703704,01/09/2025,Zap|Pinar de La Venta|12000000.0|324.0|Cas
Sep25_108bafd1,Inm24,Zap,Pinar de La Venta,Ven,Cas,840.0,4.0,6.0,19900000.0,,-103.524636,20.723652,,5.5,20,23690.47619047619,01/09/2025,Zap|Pinar de La Venta|19900000.0|840.0|Cas
Sep25_c65cb837,Inm24,Zap,Pinar de La Venta,Ven,Cas,877.0,7.0,2.0,11300000.0,,-103.53056,20.72951,9.0,7.5,30,12884.834663625998,01/09/2025,Zap|Pinar de La Venta|11300000.0|877.0|Cas
Sep25_1ff7f8b1,Inm24,Zap,Pinar de La Venta,Ven,Cas,303.0,3.0,4.0,7500000.0,1500.0,-103.527987,20.718153,348.0,3.0,30,24752.47524752475,01/09/2025,Zap|Pinar de La Venta|7500000.0|303.0|Cas
Sep25_0b2aa456,Inm24,Zap,Pinar de La Venta,Ven,Cas,1500.0,3.0,3.0,12000000.0,,-103.525378,20.721832,275.0,5.5,13,8000.0,01/09/2025,Zap|Pinar de La Venta|12000000.0|1500.0|Cas
Sep25_649de0f8,Inm24,Zap,Pinar de La Venta,Ven,Cas,770.0,6.0,10.0,19800000.0,2000.0,-103.521067,20.720989,,6.0,7,25714.285714285717,01/09/2025,Zap|Pinar de La Venta|19800000.0|770.0|Cas
Sep25_e8e3d109,Inm24,Zap,Pinar de La Venta,Ven,Cas,691.0,4.0,4.0,12500000.0,,-103.526811,20.720764,,6.5,15,18089.72503617945,01/09/2025,Zap|Pinar de La Venta|12500000.0|691.0|Cas
Sep25_009209e1,Inm24,Zap,Pinar de La Venta,Ven,Cas,900.0,5.0,8.0,18000000.0,,-103.526612,20.724812,117.0,7.5,4,20000.0,01/09/2025,Zap|Pinar de La Venta|18000000.0|900.0|Cas
Sep25_05fdfc67,Inm24,Zap,Pinar de La Venta,Ven,Cas,450.0,6.0,6.0,17560106.0,,-103.52645,20.723137,13.0,5.5,0,39022.45777777778,01/09/2025,Zap|Pinar de La Venta|17560106.0|450.0|Cas
Sep25_e7dc26e3,Inm24,Zap,Pinar de La Venta,Ven,Cas,300.0,4.0,2.0,16500000.0,,-103.523599,20.716901,81.0,4.0,33,55000.0,01/09/2025,Zap|Pinar de La Venta|16500000.0|300.0|Cas
Sep25_29f5dfd1,Inm24,Zap,Pinar de La Venta,Ven,Cas,745.0,5.0,4.0,8900000.0,1500.0,-103.530648,20.728523,,5.5,20,11946.308724832215,01/09/2025,Zap|Pinar de La Venta|8900000.0|745.0|Cas
Sep25_c98dbbf3,Inm24,Zap,Pinar de La Venta,Ven,Cas,660.0,4.0,4.0,20200000.0,2200.0,-103.533029,20.726277,,5.5,3,30606.060606060608,01/09/2025,Zap|Pinar de La Venta|20200000.0|660.0|Cas
