id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_1ef4a7c7,Inm24,Zap,Pontevedra,Ven,Cas,187.0,3.0,2.0,4699000.0,,-103.410282,20.788355,22.0,3.0,0,25128.342245989305,01/09/2025,Zap|Pontevedra|4699000.0|187.0|Cas
Sep25_dca7d566,Inm24,Zap,Pontevedra,Ven,Cas,183.0,4.0,2.0,4498000.0,1320.0,-103.410282,20.788355,307.0,3.0,0,24579.2349726776,01/09/2025,Zap|Pontevedra|4498000.0|183.0|Cas
Sep25_524653ce,Inm24,Zap,Pontevedra,Ven,Cas,161.0,3.0,2.0,4300000.0,930.0,-103.410282,20.788355,23.0,3.5,0,26708.07453416149,01/09/2025,Zap|Pontevedra|4300000.0|161.0|Cas
Sep25_5337f698,Inm24,Zap,Pontevedra,Ven,Cas,180.0,3.0,2.0,4250000.0,1039.0,-103.410279,20.788773,144.0,2.5,0,23611.11111111111,01/09/2025,Zap|Pontevedra|4250000.0|180.0|Cas
Sep25_a3d7706c,Inm24,Zap,Pontevedra,Ven,Cas,165.0,3.0,2.0,4300000.0,1060.0,-103.410282,20.788355,278.0,4.0,0,26060.60606060606,01/09/2025,Zap|Pontevedra|4300000.0|165.0|Cas
Sep25_a20a715a,Inm24,Zap,Pontevedra,Ven,Cas,494.0,5.0,5.0,36990000.0,3000.0,-103.410311,20.713423,106.0,6.5,7,74878.54251012146,01/09/2025,Zap|Pontevedra|36990000.0|494.0|Cas
Sep25_f88be512,Inm24,Zap,Pontevedra,Ven,Cas,572.0,4.0,5.0,32800000.0,3500.0,-103.413318,20.714754,,4.5,12,57342.65734265735,01/09/2025,Zap|Pontevedra|32800000.0|572.0|Cas
Sep25_d04e163d,Inm24,Zap,Pontevedra,Ven,Cas,155.0,3.0,2.0,4190000.0,,-103.410282,20.788355,205.0,2.5,0,27032.25806451613,01/09/2025,Zap|Pontevedra|4190000.0|155.0|Cas
Sep25_63ed7d23,Inm24,Zap,Pontevedra,Ven,Cas,185.0,3.0,2.0,4800000.0,,-103.410282,20.788355,59.0,3.5,en construcción,25945.945945945947,01/09/2025,Zap|Pontevedra|4800000.0|185.0|Cas
Sep25_c2afa2d2,Inm24,Zap,Pontevedra,Ven,Cas,228.0,3.0,2.0,5900000.0,,-103.410282,20.788355,265.0,3.5,0,25877.19298245614,01/09/2025,Zap|Pontevedra|5900000.0|228.0|Cas
