id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_9763a871,Inm24,Zap,Prados Vallarta,Ven,Cas,1100.0,3.0,6.0,69000000.0,,-103.416501,20.671956,0.0,4.0,3,62727.27272727273,01/09/2025,Zap|Prados Vallarta|69000000.0|1100.0|Cas
Sep25_4d6c4da4,Inm24,Zap,Prados Vallarta,Ven,Cas,162.0,3.0,2.0,4350000.0,800.0,-103.416501,20.671956,23.0,3.0,0,26851.85185185185,01/09/2025,Zap|Prados Vallarta|4350000.0|162.0|Cas
Sep25_60a2ff5a,Inm24,Zap,Prados Vallarta,Ven,Cas,250.0,3.0,2.0,8400000.0,1570.0,-103.416501,20.671956,24.0,3.0,0,33600.0,01/09/2025,Zap|Prados Vallarta|8400000.0|250.0|Cas
Sep25_25249920,Inm24,Zap,Prados Vallarta,Ven,Cas,242.0,3.0,2.0,7250000.0,1500.0,-103.416501,20.671956,23.0,5.0,0,29958.677685950413,01/09/2025,Zap|Prados Vallarta|7250000.0|242.0|Cas
Sep25_19a0a051,Inm24,Zap,Prados Vallarta,Ven,Cas,230.0,3.0,2.0,6890000.0,1280.0,-103.416501,20.671956,24.0,4.5,0,29956.52173913044,01/09/2025,Zap|Prados Vallarta|6890000.0|230.0|Cas
Sep25_b4a17464,Inm24,Zap,Prados Vallarta,Ven,Cas,300.0,5.0,3.0,6900000.0,,-103.418499,20.674753,192.0,2.5,,23000.0,01/09/2025,Zap|Prados Vallarta|6900000.0|300.0|Cas
Sep25_ba6e058a,Inm24,Zap,Prados Vallarta,Ven,Cas,524.0,4.0,3.0,28700000.0,,-103.41497,20.677459,6.0,4.5,0,54770.99236641221,01/09/2025,Zap|Prados Vallarta|28700000.0|524.0|Cas
Sep25_4ffc15ad,Inm24,Zap,Prados Vallarta,Ven,Cas,200.0,4.0,2.0,5440000.0,,-103.415305,20.674446,151.0,3.0,40,27200.0,01/09/2025,Zap|Prados Vallarta|5440000.0|200.0|Cas
Sep25_1631ce39,Inm24,Zap,Prados Vallarta,Ven,Cas,200.0,3.0,5.0,8389000.0,,-103.416722,20.677112,,1.0,20,41945.0,01/09/2025,Zap|Prados Vallarta|8389000.0|200.0|Cas
Sep25_f4b75909,Inm24,Zap,Prados Vallarta,Ven,Cas,206.0,3.0,2.0,5975000.0,,-103.416501,20.671956,,3.5,4,29004.85436893204,01/09/2025,Zap|Prados Vallarta|5975000.0|206.0|Cas
Sep25_c5769728,Inm24,Zap,Prados Vallarta,Ven,Cas,228.0,4.0,2.0,8290000.0,,-103.415853,20.674938,45.0,3.0,0,36359.649122807015,01/09/2025,Zap|Prados Vallarta|8290000.0|228.0|Cas
Sep25_dcca1bde,Inm24,Zap,Prados Vallarta,Ven,Cas,350.0,4.0,2.0,17775999.0,,-103.416501,20.671956,5.0,4.5,0,50788.56857142857,01/09/2025,Zap|Prados Vallarta|17775999.0|350.0|Cas
Sep25_e7578240,Inm24,Zap,Prados Vallarta,Ven,Cas,272.0,4.0,2.0,8500000.0,,-103.416501,20.671956,12.0,4.5,0,31250.0,01/09/2025,Zap|Prados Vallarta|8500000.0|272.0|Cas
Sep25_dfd75ee3,Inm24,Zap,Prados Vallarta,Ven,Cas,335.0,4.0,3.0,8000000.0,,-103.416501,20.671956,8.0,4.0,0,23880.597014925374,01/09/2025,Zap|Prados Vallarta|8000000.0|335.0|Cas
Sep25_a049b924,Inm24,Zap,Prados Vallarta,Ven,Cas,103.0,3.0,2.0,1250000.0,,-103.416501,20.671956,11.0,2.0,0,12135.922330097088,01/09/2025,Zap|Prados Vallarta|1250000.0|103.0|Cas
Sep25_c2846c37,Inm24,Zap,Prados Vallarta,Ven,Cas,776.0,4.0,2.0,7590000.0,,-103.416501,20.671956,73.0,3.0,0,9780.927835051549,01/09/2025,Zap|Prados Vallarta|7590000.0|776.0|Cas
