id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_17791669,Inm24,Zap,Puerta Las Lomas,Ven,Cas,350.0,5.0,4.0,21277766.0,,-103.43613,20.704353,16.0,5.5,0,60793.61714285714,01/09/2025,Zap|Puerta Las Lomas|21277766.0|350.0|Cas
Sep25_5267af8e,Inm24,Zap,Puerta Las Lomas,Ven,Cas,600.0,7.0,7.0,27974632.0,,-103.43418,20.708006,14.0,6.5,0,46624.386666666665,01/09/2025,Zap|Puerta Las Lomas|27974632.0|600.0|Cas
Sep25_dc81e8a6,Inm24,Zap,Puerta Las Lomas,Ven,Cas,400.0,4.0,4.0,33549999.0,,-103.43585,20.706436,31.0,4.5,0,83874.9975,01/09/2025,Zap|Puerta Las Lomas|33549999.0|400.0|Cas
Sep25_4091d4bc,Inm24,Zap,Puerta Las Lomas,Ven,Cas,533.0,4.0,4.0,27500000.0,,-103.43585,20.706436,56.0,4.5,0,51594.74671669793,01/09/2025,Zap|Puerta Las Lomas|27500000.0|533.0|Cas
Sep25_eb146e9b,Inm24,Zap,Puerta Las Lomas,Ven,Cas,540.0,4.0,6.0,28900000.0,,-103.437715,20.706703,172.0,5.0,0,53518.51851851852,01/09/2025,Zap|Puerta Las Lomas|28900000.0|540.0|Cas
Sep25_b2891058,Inm24,Zap,Puerta Las Lomas,Ven,Cas,500.0,5.0,4.0,28531999.0,,-103.43585,20.706436,30.0,5.5,0,57063.998,01/09/2025,Zap|Puerta Las Lomas|28531999.0|500.0|Cas
Sep25_c3595b88,Inm24,Zap,Puerta Las Lomas,Ven,Cas,580.0,4.0,5.0,30900000.0,,-103.435934,20.706533,31.0,5.5,0,53275.86206896552,01/09/2025,Zap|Puerta Las Lomas|30900000.0|580.0|Cas
Sep25_f8529869,Inm24,Zap,Puerta Las Lomas,Ven,Cas,450.0,6.0,6.0,24523462.0,,-103.43625,20.705275,16.0,5.5,0,54496.58222222222,01/09/2025,Zap|Puerta Las Lomas|24523462.0|450.0|Cas
Sep25_523d3576,Inm24,Zap,Puerta Las Lomas,Ven,Cas,380.0,6.0,6.0,21859372.0,,-103.43577,20.706638,15.0,5.5,0,57524.663157894734,01/09/2025,Zap|Puerta Las Lomas|21859372.0|380.0|Cas
Sep25_9e21f0e0,Inm24,Zap,Puerta Las Lomas,Ven,Cas,366.0,3.0,3.0,29500000.0,,-103.43585,20.706436,99.0,4.0,3,80601.09289617486,01/09/2025,Zap|Puerta Las Lomas|29500000.0|366.0|Cas
Sep25_1409a8ae,Inm24,Zap,Puerta Las Lomas,Ven,Cas,343.0,6.0,4.0,32000000.0,,-103.436598,20.705272,317.0,4.5,6,93294.46064139942,01/09/2025,Zap|Puerta Las Lomas|32000000.0|343.0|Cas
Sep25_4d4c8c41,Inm24,Zap,Puerta Las Lomas,Ven,Cas,400.0,4.0,2.0,25528999.0,,-103.43585,20.706436,31.0,4.5,0,63822.4975,01/09/2025,Zap|Puerta Las Lomas|25528999.0|400.0|Cas
Sep25_b569cb7f,Inm24,Zap,Puerta Las Lomas,Ven,Cas,866.0,6.0,,36000000.0,,-103.435934,20.706533,,5.5,2,41570.43879907621,01/09/2025,Zap|Puerta Las Lomas|36000000.0|866.0|Cas
Sep25_c17bf0df,Inm24,Zap,Puerta Las Lomas,Ven,Cas,492.0,3.0,6.0,30000000.0,,-103.43585,20.706436,3.0,3.5,0,60975.60975609756,01/09/2025,Zap|Puerta Las Lomas|30000000.0|492.0|Cas
Sep25_8ef172f3,Inm24,Zap,Puerta Las Lomas,Ven,Cas,480.0,6.0,6.0,25423223.0,,-103.434074,20.706612,14.0,5.5,0,52965.04791666667,01/09/2025,Zap|Puerta Las Lomas|25423223.0|480.0|Cas
Sep25_0301df21,Inm24,Zap,Puerta Las Lomas,Ven,Cas,550.0,7.0,7.0,25482380.0,,-103.433914,20.707567,16.0,6.5,0,46331.6,01/09/2025,Zap|Puerta Las Lomas|25482380.0|550.0|Cas
Sep25_40d2e5a3,Inm24,Zap,Puerta Las Lomas,Ven,Cas,846.0,4.0,5.0,39800000.0,4500.0,-103.435934,20.706533,,7.0,0,47044.91725768321,01/09/2025,Zap|Puerta Las Lomas|39800000.0|846.0|Cas
Sep25_65f7d7a0,Inm24,Zap,Puerta Las Lomas,Ven,Cas,1414.0,5.0,7.0,40000000.0,,-103.436459,20.703459,,8.0,0,28288.543140028287,01/09/2025,Zap|Puerta Las Lomas|40000000.0|1414.0|Cas
Sep25_c57f1398,Inm24,Zap,Puerta Las Lomas,Ven,Cas,560.0,4.0,6.0,28900000.0,,-103.436792,20.704393,,5.0,en construcción,51607.142857142855,01/09/2025,Zap|Puerta Las Lomas|28900000.0|560.0|Cas
Sep25_e21c468c,Inm24,Zap,Puerta Las Lomas,Ven,Cas,600.0,6.0,4.0,29900999.0,,-103.43585,20.706436,53.0,6.5,0,49834.99833333334,01/09/2025,Zap|Puerta Las Lomas|29900999.0|600.0|Cas
Sep25_50dc721a,Inm24,Zap,Puerta Las Lomas,Ven,Cas,400.0,4.0,2.0,23700999.0,,-103.43585,20.706436,31.0,4.5,0,59252.4975,01/09/2025,Zap|Puerta Las Lomas|23700999.0|400.0|Cas
Sep25_36787b60,Inm24,Zap,Puerta Las Lomas,Ven,Cas,500.0,5.0,4.0,28792999.0,,-103.43585,20.706436,31.0,5.5,0,57585.998,01/09/2025,Zap|Puerta Las Lomas|28792999.0|500.0|Cas
Sep25_6f44c8fe,Inm24,Zap,Puerta Las Lomas,Ven,Cas,425.0,4.0,6.0,36000000.0,,-103.435934,20.706533,335.0,5.5,2,84705.88235294117,01/09/2025,Zap|Puerta Las Lomas|36000000.0|425.0|Cas
Sep25_60f608a4,Inm24,Zap,Puerta Las Lomas,Ven,Cas,453.0,3.0,3.0,26000000.0,,-103.435817,20.706307,39.0,4.5,5,57395.14348785872,01/09/2025,Zap|Puerta Las Lomas|26000000.0|453.0|Cas
Sep25_c90fc911,Inm24,Zap,Puerta Las Lomas,Ven,Cas,500.0,5.0,4.0,29122999.0,,-103.436384,20.706557,12.0,5.5,0,58245.998,01/09/2025,Zap|Puerta Las Lomas|29122999.0|500.0|Cas
Sep25_5a85093a,Inm24,Zap,Puerta Las Lomas,Ven,Cas,850.0,5.0,4.0,45000000.0,,-103.436384,20.706557,71.0,7.0,0,52941.17647058824,01/09/2025,Zap|Puerta Las Lomas|45000000.0|850.0|Cas
