id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_e24a5db7,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,110.0,2.0,2.0,3350082.0,1200.0,-103.440285,20.615157,,2.5,en construcción,30455.29090909091,01/09/2025,Zap|Santa Ana Tepetitlán|3350082.0|110.0|Cas
Sep25_43f9c817,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,200.0,3.0,2.0,4199000.0,350.0,-103.45639,20.615319,107.0,3.0,6,20995.0,01/09/2025,Zap|Santa Ana Tepetitlán|4199000.0|200.0|Cas
Sep25_805a0bc2,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,82.0,2.0,2.0,3258000.0,,-103.443973,20.616288,68.0,2.5,3,39731.70731707317,01/09/2025,Zap|Santa Ana Tepetitlán|3258000.0|82.0|Cas
Sep25_8f410cdc,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,133.0,3.0,2.0,4468000.0,600.0,-103.463241,20.623479,96.0,3.5,0,33593.984962406015,01/09/2025,Zap|Santa Ana Tepetitlán|4468000.0|133.0|Cas
Sep25_153bf930,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,200.0,4.0,3.0,4900000.0,1000.0,-103.447055,20.614696,50.0,3.5,,24500.0,01/09/2025,Zap|Santa Ana Tepetitlán|4900000.0|200.0|Cas
Sep25_b64d21d0,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,127.0,3.0,2.0,3723000.0,,-103.456596,20.62097,31.0,3.0,,29314.96062992126,01/09/2025,Zap|Santa Ana Tepetitlán|3723000.0|127.0|Cas
Sep25_dc69ec45,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,160.0,4.0,2.0,7350000.0,,-103.447155,20.614625,228.0,5.0,1,45937.5,01/09/2025,Zap|Santa Ana Tepetitlán|7350000.0|160.0|Cas
Sep25_0b85390f,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,265.0,4.0,1.0,3650000.0,,-103.454067,20.619359,257.0,3.0,25,13773.584905660377,01/09/2025,Zap|Santa Ana Tepetitlán|3650000.0|265.0|Cas
Sep25_861f9811,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,390.0,4.0,2.0,24700000.0,,-103.456047,20.615962,232.0,3.5,30,63333.333333333336,01/09/2025,Zap|Santa Ana Tepetitlán|24700000.0|390.0|Cas
Sep25_72410fd8,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,112.0,2.0,2.0,3000050.0,,-103.460643,20.622719,114.0,2.5,20,26786.160714285717,01/09/2025,Zap|Santa Ana Tepetitlán|3000050.0|112.0|Cas
Sep25_b5f000e0,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,167.0,3.0,2.0,4900000.0,,-103.444531,20.617573,5.0,3.5,3,29341.31736526946,01/09/2025,Zap|Santa Ana Tepetitlán|4900000.0|167.0|Cas
Sep25_8a9be7ea,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,146.0,3.0,2.0,4620000.0,,-103.463207,20.623636,,3.5,0,31643.835616438355,01/09/2025,Zap|Santa Ana Tepetitlán|4620000.0|146.0|Cas
Sep25_baa3a282,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,123.0,3.0,2.0,3645000.0,,-103.44534,20.614561,19.0,2.5,0,29634.146341463416,01/09/2025,Zap|Santa Ana Tepetitlán|3645000.0|123.0|Cas
Sep25_2465e1f2,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,122.0,2.0,1.0,1990000.0,,-103.455427,20.628169,23.0,2.0,,16311.475409836066,01/09/2025,Zap|Santa Ana Tepetitlán|1990000.0|122.0|Cas
Sep25_ee7ebf38,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,95.0,2.0,2.0,2750000.0,800.0,-103.446052,20.61523,3.0,2.0,3,28947.36842105263,01/09/2025,Zap|Santa Ana Tepetitlán|2750000.0|95.0|Cas
Sep25_e2be3f9a,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,112.0,3.0,2.0,3460000.0,,-103.44534,20.614561,20.0,3.0,0,30892.85714285714,01/09/2025,Zap|Santa Ana Tepetitlán|3460000.0|112.0|Cas
Sep25_680fc323,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,145.0,3.0,2.0,4520000.0,1000.0,-103.463207,20.623636,,3.5,0,31172.41379310345,01/09/2025,Zap|Santa Ana Tepetitlán|4520000.0|145.0|Cas
Sep25_9edcdab6,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,144.0,3.0,2.0,3200000.0,,-103.459969,20.62194,300.0,2.5,4,22222.222222222223,01/09/2025,Zap|Santa Ana Tepetitlán|3200000.0|144.0|Cas
Sep25_c0144fa8,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,131.0,2.0,4.0,4407000.0,,-103.463815,20.624165,55.0,2.0,,33641.2213740458,01/09/2025,Zap|Santa Ana Tepetitlán|4407000.0|131.0|Cas
Sep25_1ea0d0e4,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,145.0,3.0,2.0,4430000.0,,-103.456596,20.620969,55.0,3.0,,30551.72413793104,01/09/2025,Zap|Santa Ana Tepetitlán|4430000.0|145.0|Cas
Sep25_68664a45,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,168.0,3.0,2.0,5000000.0,,-103.456596,20.620969,55.0,3.0,,29761.904761904763,01/09/2025,Zap|Santa Ana Tepetitlán|5000000.0|168.0|Cas
Sep25_cd5d2070,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,131.0,3.0,2.0,4320000.0,,-103.463815,20.624165,55.0,3.0,,32977.099236641225,01/09/2025,Zap|Santa Ana Tepetitlán|4320000.0|131.0|Cas
Sep25_78064614,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,138.0,3.0,2.0,4490000.0,,-103.459408,20.623251,55.0,3.0,,32536.23188405797,01/09/2025,Zap|Santa Ana Tepetitlán|4490000.0|138.0|Cas
Sep25_9ba6e759,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,564.0,5.0,6.0,15660000.0,,-103.47982,20.618987,17.0,5.0,0,27765.957446808512,01/09/2025,Zap|Santa Ana Tepetitlán|15660000.0|564.0|Cas
Sep25_67992fbf,Inm24,Zap,Santa Ana Tepetitlán,Ven,Cas,149.0,4.0,2.0,5200000.0,1000.0,-103.46382,20.624122,,3.5,0,34899.328859060406,01/09/2025,Zap|Santa Ana Tepetitlán|5200000.0|149.0|Cas
