id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_9de011cb,Inm24,Zap,Sin Nombre,Ven,Cas,206.0,3.0,2.0,7949000.0,600.0,-103.403067,20.762378,31.0,3.5,0,38587.3786407767,01/09/2025,Zap|Sin Nombre|7949000.0|206.0|Cas
Sep25_8953c22b,Inm24,Zap,Sin Nombre,Ven,Cas,400.0,6.0,6.0,24376799.0,,-103.42675,20.709124,15.0,5.5,0,60941.9975,01/09/2025,Zap|Sin Nombre|24376799.0|400.0|Cas
Sep25_5bff2751,Inm24,Zap,Sin Nombre,Ven,Cas,450.0,6.0,6.0,25111740.0,,-103.426636,20.709078,13.0,5.5,0,55803.86666666667,01/09/2025,Zap|Sin Nombre|25111740.0|450.0|Cas
Sep25_5ef4385c,Inm24,Zap,Sin Nombre,Ven,Cas,550.0,7.0,7.0,69376228.0,,-103.40253,20.72301,10.0,6.5,0,126138.59636363636,01/09/2025,Zap|Sin Nombre|69376228.0|550.0|Cas
Sep25_2fa69bc4,Inm24,Zap,Sin Nombre,Ven,Cas,400.0,6.0,6.0,21962886.0,,-103.433685,20.70548,15.0,5.5,0,54907.215,01/09/2025,Zap|Sin Nombre|21962886.0|400.0|Cas
Sep25_6770472b,Inm24,Zap,Sin Nombre,Ven,Cas,320.0,3.0,2.0,15594999.0,,-103.441062,20.671479,12.0,3.5,0,48734.371875,01/09/2025,Zap|Sin Nombre|15594999.0|320.0|Cas
Sep25_3bbc78e2,Inm24,Zap,Sin Nombre,Ven,Cas,320.0,3.0,2.0,13410999.0,,-103.441062,20.671479,12.0,3.5,0,41909.371875,01/09/2025,Zap|Sin Nombre|13410999.0|320.0|Cas
Sep25_a1820c76,Inm24,Zap,Sin Nombre,Ven,Cas,300.0,3.0,2.0,15064999.0,,-103.441062,20.671479,16.0,3.5,0,50216.66333333333,01/09/2025,Zap|Sin Nombre|15064999.0|300.0|Cas
Sep25_c99f56a0,Inm24,Zap,Sin Nombre,Ven,Cas,232.0,3.0,2.0,9400000.0,,-103.444916,20.666215,151.0,3.5,0,40517.24137931035,01/09/2025,Zap|Sin Nombre|9400000.0|232.0|Cas
Sep25_9857b9bd,Inm24,Zap,Sin Nombre,Ven,Cas,550.0,4.0,4.0,39990000.0,3972.0,-103.433686,20.703767,122.0,6.0,7,72709.09090909091,01/09/2025,Zap|Sin Nombre|39990000.0|550.0|Cas
Sep25_bbdf3d89,Inm24,Zap,Sin Nombre,Ven,Cas,110.0,3.0,2.0,2170000.0,,-103.465797,20.780082,105.0,1.5,15,19727.272727272728,01/09/2025,Zap|Sin Nombre|2170000.0|110.0|Cas
Sep25_c9b44d6f,Inm24,Zap,Sin Nombre,Ven,Cas,300.0,3.0,2.0,12880999.0,,-103.441062,20.671479,17.0,3.5,0,42936.66333333333,01/09/2025,Zap|Sin Nombre|12880999.0|300.0|Cas
Sep25_1c4cf7ec,Inm24,Zap,Sin Nombre,Ven,Cas,318.0,5.0,4.0,7650000.0,,-103.413231,20.678035,32.0,5.5,15,24056.603773584902,01/09/2025,Zap|Sin Nombre|7650000.0|318.0|Cas
