id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_22765fe4,Inm24,Zap,Soare Acantia I,Ven,Cas,195.0,3.0,3.0,8300000.0,,-103.470793,20.731247,51.0,3.5,0,42564.10256410256,01/09/2025,Zap|Soare Acantia I|8300000.0|195.0|Cas
Sep25_15810205,Inm24,Zap,Soare Acantia I,Ven,Cas,270.0,4.0,2.0,8990000.0,,-103.468586,20.731133,,4.0,8,33296.2962962963,01/09/2025,Zap|Soare Acantia I|8990000.0|270.0|Cas
Sep25_56d946bc,Inm24,Zap,Soare Acantia I,Ven,Cas,163.0,3.0,2.0,6650000.0,1670.0,-103.470773,20.731297,43.0,2.5,3,40797.54601226994,01/09/2025,Zap|Soare Acantia I|6650000.0|163.0|Cas
Sep25_98006d57,Inm24,Zap,Soare Acantia I,Ven,Cas,209.0,4.0,2.0,7500000.0,1302.0,-103.471086,20.728748,344.0,5.0,4,35885.167464114835,01/09/2025,Zap|Soare Acantia I|7500000.0|209.0|Cas
Sep25_6df134d9,Inm24,Zap,Soare Acantia I,Ven,Cas,200.0,3.0,2.0,7500000.0,2000.0,-103.471085,20.731151,71.0,4.5,0,37500.0,01/09/2025,Zap|Soare Acantia I|7500000.0|200.0|Cas
Sep25_7ee38522,Inm24,Zap,Soare Acantia I,Ven,Cas,147.0,4.0,2.0,7700000.0,1302.0,-103.471086,20.728748,321.0,5.0,4,52380.95238095238,01/09/2025,Zap|Soare Acantia I|7700000.0|147.0|Cas
Sep25_fea4245f,Inm24,Zap,Soare Acantia I,Ven,Cas,245.0,4.0,2.0,9190000.0,2000.0,-103.471085,20.731151,51.0,5.0,0,37510.204081632655,01/09/2025,Zap|Soare Acantia I|9190000.0|245.0|Cas
Sep25_ecfa7f19,Inm24,Zap,Soare Acantia I,Ven,Cas,205.0,4.0,2.0,7550000.0,,-103.469832,20.729101,,4.0,0,36829.26829268293,01/09/2025,Zap|Soare Acantia I|7550000.0|205.0|Cas
Sep25_8e2541d4,Inm24,Zap,Soare Acantia I,Ven,Cas,225.0,3.0,2.0,7490000.0,,-103.471008,20.731237,,4.0,3,33288.88888888889,01/09/2025,Zap|Soare Acantia I|7490000.0|225.0|Cas
Sep25_cf6c357b,Inm24,Zap,Soare Acantia I,Ven,Cas,160.0,3.0,2.0,6650000.0,,-103.470793,20.731247,97.0,2.5,0,41562.5,01/09/2025,Zap|Soare Acantia I|6650000.0|160.0|Cas
Sep25_864387c9,Inm24,Zap,Soare Acantia I,Ven,Cas,192.0,3.0,3.0,6300000.0,1200.0,-103.469546,20.729777,223.0,3.5,5,32812.5,01/09/2025,Zap|Soare Acantia I|6300000.0|192.0|Cas
Sep25_e5419b82,Inm24,Zap,Soare Acantia I,Ven,Cas,210.0,3.0,2.0,7050000.0,,-103.469576,20.729706,16.0,4.5,1,33571.42857142857,01/09/2025,Zap|Soare Acantia I|7050000.0|210.0|Cas
Sep25_fa431e01,Inm24,Zap,Soare Acantia I,Ven,Cas,235.0,4.0,2.0,8500000.0,,-103.469597,20.729344,55.0,5.0,,36170.21276595745,01/09/2025,Zap|Soare Acantia I|8500000.0|235.0|Cas
Sep25_35d85e11,Inm24,Zap,Soare Acantia I,Ven,Cas,215.0,3.0,2.0,8500000.0,,-103.469517,20.729783,184.0,4.5,0,39534.88372093023,01/09/2025,Zap|Soare Acantia I|8500000.0|215.0|Cas
Sep25_b5066f8a,Inm24,Zap,Soare Acantia I,Ven,Cas,232.0,3.0,,8975000.0,,-103.471023,20.730017,193.0,5.0,0,38685.34482758621,01/09/2025,Zap|Soare Acantia I|8975000.0|232.0|Cas
