id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_9bf2c809,Inm24,Zap,Soare II Coto2,Ven,Cas,220.0,4.0,3.0,8695000.0,,-103.47289,20.731027,122.0,4.5,0,39522.72727272727,01/09/2025,Zap|Soare II Coto2|8695000.0|220.0|Cas
Sep25_d6becba1,Inm24,Zap,Soare II Coto2,Ven,Cas,234.0,3.0,2.0,9750000.0,1500.0,-103.471657,20.731491,22.0,4.5,0,41666.66666666666,01/09/2025,Zap|Soare II Coto2|9750000.0|234.0|Cas
Sep25_48c1eafa,Inm24,Zap,Soare II Coto2,Ven,Cas,238.0,3.0,2.0,9830000.0,1300.0,-103.471657,20.731491,24.0,3.5,0,41302.52100840336,01/09/2025,Zap|Soare II Coto2|9830000.0|238.0|Cas
Sep25_5e597c75,Inm24,Zap,Soare II Coto2,Ven,Cas,162.0,3.0,2.0,6550000.0,,-103.472521,20.733388,17.0,2.5,3,40432.0987654321,01/09/2025,Zap|Soare II Coto2|6550000.0|162.0|Cas
Sep25_64fcb553,Inm24,Zap,Soare II Coto2,Ven,Cas,215.0,3.0,2.0,8695000.0,1200.0,-103.471351,20.733362,,4.0,0,40441.86046511628,01/09/2025,Zap|Soare II Coto2|8695000.0|215.0|Cas
Sep25_bc4c67a4,Inm24,Zap,Soare II Coto2,Ven,Cas,240.0,3.0,2.0,8190000.0,,-103.471588,20.733463,,5.0,0,34125.0,01/09/2025,Zap|Soare II Coto2|8190000.0|240.0|Cas
Sep25_561d6c4a,Inm24,Zap,Soare II Coto2,Ven,Cas,143.0,3.0,2.0,8535000.0,,-103.471752,20.731456,109.0,3.5,0,59685.31468531468,01/09/2025,Zap|Soare II Coto2|8535000.0|143.0|Cas
Sep25_1a661312,Inm24,Zap,Soare II Coto2,Ven,Cas,200.0,3.0,2.0,7990000.0,,-103.472506,20.731901,52.0,3.0,2,39950.0,01/09/2025,Zap|Soare II Coto2|7990000.0|200.0|Cas
Sep25_ee612068,Inm24,Zap,Soare II Coto2,Ven,Cas,235.0,3.0,2.0,8590000.0,,-103.471396,20.73354,,5.5,0,36553.1914893617,01/09/2025,Zap|Soare II Coto2|8590000.0|235.0|Cas
Sep25_ba3d5310,Inm24,Zap,Soare II Coto2,Ven,Cas,144.0,3.0,2.0,8145000.0,,-103.471752,20.731456,109.0,3.5,0,56562.5,01/09/2025,Zap|Soare II Coto2|8145000.0|144.0|Cas
Sep25_142ef87a,Inm24,Zap,Soare II Coto2,Ven,Cas,220.0,3.0,,9099000.0,1350.0,-103.471212,20.73154,,4.5,0,41359.09090909091,01/09/2025,Zap|Soare II Coto2|9099000.0|220.0|Cas
Sep25_b46940e9,Inm24,Zap,Soare II Coto2,Ven,Cas,213.0,3.0,2.0,8060000.0,1275.0,-103.471297,20.73154,,4.0,0,37840.37558685446,01/09/2025,Zap|Soare II Coto2|8060000.0|213.0|Cas
Sep25_eadd1755,Inm24,Zap,Soare II Coto2,Ven,Cas,210.0,3.0,2.0,7900000.0,,-103.472521,20.733388,,5.0,3,37619.04761904762,01/09/2025,Zap|Soare II Coto2|7900000.0|210.0|Cas
