id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_f70b4084,Inm24,Zap,Solares Antara,Ven,Cas,207.0,3.0,2.0,7890000.0,,-103.46698,20.724905,58.0,3.0,1,38115.942028985504,01/09/2025,Zap|Solares Antara|7890000.0|207.0|Cas
Sep25_894be9f4,Inm24,Zap,Solares Antara,Ven,Cas,226.0,3.0,2.0,7900000.0,1636.0,-103.46698,20.724905,47.0,3.5,5,34955.75221238938,01/09/2025,Zap|Solares Antara|7900000.0|226.0|Cas
Sep25_594b3caa,Inm24,Zap,Solares Antara,Ven,Cas,216.0,4.0,2.0,8550000.0,,-103.467073,20.724898,25.0,4.5,10,39583.333333333336,01/09/2025,Zap|Solares Antara|8550000.0|216.0|Cas
Sep25_9c9ed93e,Inm24,Zap,Solares Antara,Ven,Cas,168.0,4.0,3.0,9000000.0,,-103.467276,20.727277,273.0,4.5,0,53571.42857142857,01/09/2025,Zap|Solares Antara|9000000.0|168.0|Cas
Sep25_13a53b5c,Inm24,Zap,Solares Antara,Ven,Cas,206.0,3.0,2.0,7850000.0,2000.0,-103.467276,20.727277,,4.0,12,38106.796116504855,01/09/2025,Zap|Solares Antara|7850000.0|206.0|Cas
Sep25_6e9efed1,Inm24,Zap,Solares Antara,Ven,Cas,144.0,4.0,3.0,9300000.0,,-103.467073,20.724898,121.0,5.0,0,64583.333333333336,01/09/2025,Zap|Solares Antara|9300000.0|144.0|Cas
Sep25_ec7abca9,Inm24,Zap,Solares Antara,Ven,Cas,227.0,4.0,2.0,8400000.0,,-103.467073,20.724897,31.0,4.0,,37004.405286343615,01/09/2025,Zap|Solares Antara|8400000.0|227.0|Cas
Sep25_0471a901,Inm24,Zap,Solares Antara,Ven,Cas,208.0,5.0,2.0,7700000.0,,-103.467073,20.724897,55.0,5.0,,37019.230769230766,01/09/2025,Zap|Solares Antara|7700000.0|208.0|Cas
Sep25_646d3fc3,Inm24,Zap,Solares Antara,Ven,Cas,235.0,4.0,2.0,8500000.0,,-103.467073,20.724897,4.0,5.0,,36170.21276595745,01/09/2025,Zap|Solares Antara|8500000.0|235.0|Cas
Sep25_2c8b690c,Inm24,Zap,Solares Antara,Ven,Cas,240.0,3.0,2.0,7690000.0,,-103.467073,20.724897,54.0,4.0,,32041.666666666668,01/09/2025,Zap|Solares Antara|7690000.0|240.0|Cas
Sep25_d193c83f,Inm24,Zap,Solares Antara,Ven,Cas,161.0,3.0,2.0,6800000.0,,-103.467276,20.727277,317.0,3.5,7,42236.024844720494,01/09/2025,Zap|Solares Antara|6800000.0|161.0|Cas
