id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_2e2807ef,Inm24,Zap,Valeira,Ven,Cas,240.0,4.0,3.0,9900000.0,,-103.473584,20.728851,201.0,4.0,5,41250.0,01/09/2025,Zap|Valeira|9900000.0|240.0|Cas
Sep25_d4f5f0f5,Inm24,Zap,Valeira,Ven,Cas,240.0,3.0,2.0,9590000.0,1100.0,-103.475088,20.728996,330.0,4.5,0,39958.333333333336,01/09/2025,Zap|Valeira|9590000.0|240.0|Cas
Sep25_0c3bcbb0,Inm24,Zap,Valeira,Ven,Cas,223.0,4.0,2.0,7490000.0,1200.0,-103.475088,20.728996,,5.0,0,33587.44394618834,01/09/2025,Zap|Valeira|7490000.0|223.0|Cas
Sep25_ce308922,Inm24,Zap,Valeira,Ven,Cas,229.0,2.0,,7950000.0,1500.0,-103.46928,20.724843,85.0,4.0,0,34716.157205240175,01/09/2025,Zap|Valeira|7950000.0|229.0|Cas
Sep25_b3378665,Inm24,Zap,Valeira,Ven,Cas,187.0,2.0,,9750000.0,,-103.471081,20.726255,85.0,5.0,8,52139.03743315508,01/09/2025,Zap|Valeira|9750000.0|187.0|Cas
Sep25_689a5ffb,Inm24,Zap,Valeira,Ven,Cas,360.0,6.0,6.0,15431700.0,,-103.47199,20.727362,15.0,5.5,0,42865.833333333336,01/09/2025,Zap|Valeira|15431700.0|360.0|Cas
Sep25_7d6ea486,Inm24,Zap,Valeira,Ven,Cas,211.0,3.0,2.0,9150000.0,,-103.474566,20.726573,124.0,4.0,0,43364.92890995261,01/09/2025,Zap|Valeira|9150000.0|211.0|Cas
Sep25_c1e3cd42,Inm24,Zap,Valeira,Ven,Cas,253.0,3.0,2.0,10399000.0,,-103.4741,20.728856,,4.0,0,41102.766798418976,01/09/2025,Zap|Valeira|10399000.0|253.0|Cas
Sep25_06445b63,Inm24,Zap,Valeira,Ven,Cas,205.0,4.0,2.0,7550000.0,,-103.471483,20.728564,,4.0,en construcción,36829.26829268293,01/09/2025,Zap|Valeira|7550000.0|205.0|Cas
Sep25_0e6093c6,Inm24,Zap,Valeira,Ven,Cas,241.0,4.0,2.0,9900000.0,1900.0,-103.474126,20.728545,,4.5,4,41078.83817427386,01/09/2025,Zap|Valeira|9900000.0|241.0|Cas
Sep25_8166ba57,Inm24,Zap,Valeira,Ven,Cas,244.0,3.0,3.0,9300000.0,1400.0,-103.475088,20.728996,132.0,5.0,0,38114.75409836065,01/09/2025,Zap|Valeira|9300000.0|244.0|Cas
Sep25_47272f99,Inm24,Zap,Valeira,Ven,Cas,250.0,3.0,2.0,9300000.0,,-103.471196,20.726339,248.0,5.0,,37200.0,01/09/2025,Zap|Valeira|9300000.0|250.0|Cas
Sep25_400e236a,Inm24,Zap,Valeira,Ven,Cas,215.0,4.0,2.0,8695000.0,,-103.471196,20.726339,269.0,4.5,,40441.86046511628,01/09/2025,Zap|Valeira|8695000.0|215.0|Cas
Sep25_2b8c552f,Inm24,Zap,Valeira,Ven,Cas,2473.0,3.0,2.0,10299000.0,,-103.4741,20.728856,,5.0,0,4164.577436312172,01/09/2025,Zap|Valeira|10299000.0|2473.0|Cas
