id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_3407a827,Inm24,Zap,Vallarta Universidad,Ven,Cas,692.0,7.0,1.0,16000000.0,,-103.426245,20.688815,,5.0,15,23121.387283236996,01/09/2025,Zap|Vallarta Universidad|16000000.0|692.0|Cas
Sep25_4db2aaa7,Inm24,Zap,Vallarta Universidad,Ven,Cas,350.0,5.0,4.0,23893528.0,,-103.427055,20.688091,15.0,5.5,0,68267.22285714286,01/09/2025,Zap|Vallarta Universidad|23893528.0|350.0|Cas
Sep25_0e328776,Inm24,Zap,Vallarta Universidad,Ven,Cas,446.0,3.0,2.0,9400000.0,,-103.427336,20.687892,,4.5,21,21076.2331838565,01/09/2025,Zap|Vallarta Universidad|9400000.0|446.0|Cas
Sep25_78c86673,Inm24,Zap,Vallarta Universidad,Ven,Cas,398.0,4.0,2.0,11795000.0,,-103.425613,20.690362,64.0,3.5,20,29635.6783919598,01/09/2025,Zap|Vallarta Universidad|11795000.0|398.0|Cas
Sep25_a6071dd4,Inm24,Zap,Vallarta Universidad,Ven,Cas,308.0,4.0,2.0,7500000.0,,-103.425456,20.689895,42.0,3.0,30,24350.64935064935,01/09/2025,Zap|Vallarta Universidad|7500000.0|308.0|Cas
Sep25_d25c4610,Inm24,Zap,Vallarta Universidad,Ven,Cas,160.0,3.0,4.0,7400000.0,,-103.425347,20.690203,33.0,3.0,31,46250.0,01/09/2025,Zap|Vallarta Universidad|7400000.0|160.0|Cas
Sep25_395c743f,Inm24,Zap,Vallarta Universidad,Ven,Cas,400.0,6.0,6.0,28419968.0,,-103.427956,20.68586,13.0,5.5,0,71049.92,01/09/2025,Zap|Vallarta Universidad|28419968.0|400.0|Cas
Sep25_d2bed54d,Inm24,Zap,Vallarta Universidad,Ven,Cas,375.0,4.0,1.0,18950000.0,2100.0,-103.426999,20.688211,123.0,4.5,8,50533.333333333336,01/09/2025,Zap|Vallarta Universidad|18950000.0|375.0|Cas
Sep25_eb9fddc9,Inm24,Zap,Vallarta Universidad,Ven,Cas,320.0,5.0,4.0,24675348.0,,-103.42696,20.68969,15.0,5.5,0,77110.4625,01/09/2025,Zap|Vallarta Universidad|24675348.0|320.0|Cas
Sep25_be1caa05,Inm24,Zap,Vallarta Universidad,Ven,Cas,364.0,3.0,2.0,14950000.0,,-103.426603,20.687209,298.0,4.5,7,41071.42857142857,01/09/2025,Zap|Vallarta Universidad|14950000.0|364.0|Cas
Sep25_829d114d,Inm24,Zap,Vallarta Universidad,Ven,Cas,320.0,3.0,2.0,10300000.0,,-103.42478,20.688243,,3.5,30,32187.5,01/09/2025,Zap|Vallarta Universidad|10300000.0|320.0|Cas
Sep25_1aad9d18,Inm24,Zap,Vallarta Universidad,Ven,Cas,225.0,3.0,2.0,8990000.0,,-103.425731,20.68873,201.0,2.0,32,39955.55555555556,01/09/2025,Zap|Vallarta Universidad|8990000.0|225.0|Cas
Sep25_1e6f6554,Inm24,Zap,Vallarta Universidad,Ven,Cas,460.0,4.0,2.0,15000000.0,,-103.426707,20.688308,,5.0,20,32608.695652173912,01/09/2025,Zap|Vallarta Universidad|15000000.0|460.0|Cas
Sep25_656efdf7,Inm24,Zap,Vallarta Universidad,Ven,Cas,450.0,3.0,3.0,9450000.0,,-103.428099,20.686829,213.0,3.5,41,21000.0,01/09/2025,Zap|Vallarta Universidad|9450000.0|450.0|Cas
