id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_68a28d8a,Inm24,Zap,Valle de San Isidro,Ven,Cas,136.0,3.0,2.0,3600000.0,900.0,-103.389135,20.751215,7.0,2.5,17,26470.58823529412,01/09/2025,Zap|Valle de San Isidro|3600000.0|136.0|Cas
Sep25_281163a5,Inm24,Zap,Valle de San Isidro,Ven,Cas,130.0,3.0,2.0,3500000.0,,-103.386995,20.74868,,2.5,9,26923.07692307692,01/09/2025,Zap|Valle de San Isidro|3500000.0|130.0|Cas
Sep25_442af92f,Inm24,Zap,Valle de San Isidro,Ven,Cas,108.0,2.0,2.0,3750000.0,600.0,-103.388153,20.753221,66.0,2.5,0,34722.22222222222,01/09/2025,Zap|Valle de San Isidro|3750000.0|108.0|Cas
Sep25_e23da99c,Inm24,Zap,Valle de San Isidro,Ven,Cas,152.0,4.0,2.0,4690000.0,1000.0,-103.387182,20.750907,,3.5,0,30855.263157894737,01/09/2025,Zap|Valle de San Isidro|4690000.0|152.0|Cas
Sep25_aa5841f7,Inm24,Zap,Valle de San Isidro,Ven,Cas,138.0,3.0,2.0,4700000.0,750.0,-103.387006,20.748674,32.0,3.5,0,34057.97101449275,01/09/2025,Zap|Valle de San Isidro|4700000.0|138.0|Cas
Sep25_ed8fa9b3,Inm24,Zap,Valle de San Isidro,Ven,Cas,130.0,3.0,2.0,3700000.0,800.0,-103.389135,20.751215,26.0,2.5,15,28461.53846153846,01/09/2025,Zap|Valle de San Isidro|3700000.0|130.0|Cas
Sep25_09110aea,Inm24,Zap,Valle de San Isidro,Ven,Cas,119.0,5.0,1.0,3140000.0,,-103.388439,20.754571,57.0,5.5,6,26386.55462184874,01/09/2025,Zap|Valle de San Isidro|3140000.0|119.0|Cas
Sep25_8685cf3e,Inm24,Zap,Valle de San Isidro,Ven,Cas,116.0,3.0,2.0,3490000.0,,-103.386248,20.747238,2.0,3.5,19,30086.206896551725,01/09/2025,Zap|Valle de San Isidro|3490000.0|116.0|Cas
Sep25_cdab8db5,Inm24,Zap,Valle de San Isidro,Ven,Cas,180.0,3.0,2.0,4975000.0,730.0,-103.388334,20.750834,262.0,4.5,0,27638.88888888889,01/09/2025,Zap|Valle de San Isidro|4975000.0|180.0|Cas
Sep25_ecaab04d,Inm24,Zap,Valle de San Isidro,Ven,Cas,108.0,3.0,2.0,3290000.0,650.0,-103.388186,20.752874,60.0,2.5,12,30462.962962962964,01/09/2025,Zap|Valle de San Isidro|3290000.0|108.0|Cas
Sep25_6f9a870b,Inm24,Zap,Valle de San Isidro,Ven,Cas,208.0,4.0,2.0,7100000.0,,-103.388334,20.750834,32.0,3.5,15,34134.61538461538,01/09/2025,Zap|Valle de San Isidro|7100000.0|208.0|Cas
Sep25_d311af27,Inm24,Zap,Valle de San Isidro,Ven,Cas,115.0,2.0,2.0,4205000.0,,-103.388544,20.752661,45.0,2.5,8,36565.21739130434,01/09/2025,Zap|Valle de San Isidro|4205000.0|115.0|Cas
