id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_01ba34d1,Inm24,Zap,Valle Imperial,Ven,Cas,182.0,4.0,2.0,4500000.0,1120.0,-103.436025,20.778427,162.0,3.5,8,24725.274725274725,01/09/2025,Zap|Valle Imperial|4500000.0|182.0|Cas
Sep25_b420e6a9,Inm24,Zap,Valle Imperial,Ven,Cas,172.0,4.0,2.0,4450000.0,,-103.441838,20.773371,64.0,3.5,0,25872.093023255813,01/09/2025,Zap|Valle Imperial|4450000.0|172.0|Cas
Sep25_0194c4a3,Inm24,Zap,Valle Imperial,Ven,Cas,182.0,3.0,2.0,6908000.0,1400.0,-103.441039,20.783567,23.0,3.0,0,37956.04395604396,01/09/2025,Zap|Valle Imperial|6908000.0|182.0|Cas
Sep25_c4b63dc8,Inm24,Zap,Valle Imperial,Ven,Cas,206.0,4.0,2.0,4975000.0,2000.0,-103.431629,20.780758,,4.0,1,24150.485436893203,01/09/2025,Zap|Valle Imperial|4975000.0|206.0|Cas
Sep25_c43687c7,Inm24,Zap,Valle Imperial,Ven,Cas,200.0,3.0,2.0,5290000.0,1700.0,-103.433237,20.779404,108.0,3.5,0,26450.0,01/09/2025,Zap|Valle Imperial|5290000.0|200.0|Cas
Sep25_deaa0446,Inm24,Zap,Valle Imperial,Ven,Cas,234.0,3.0,2.0,5980000.0,1500.0,-103.433237,20.779404,106.0,3.5,1,25555.555555555555,01/09/2025,Zap|Valle Imperial|5980000.0|234.0|Cas
Sep25_4c5eeabf,Inm24,Zap,Valle Imperial,Ven,Cas,171.0,3.0,2.0,4200000.0,1100.0,-103.442021,20.772909,123.0,2.5,en construcción,24561.40350877193,01/09/2025,Zap|Valle Imperial|4200000.0|171.0|Cas
Sep25_fecb5731,Inm24,Zap,Valle Imperial,Ven,Cas,249.0,3.0,2.0,5900000.0,1000.0,-103.43124,20.782025,108.0,3.5,3,23694.779116465863,01/09/2025,Zap|Valle Imperial|5900000.0|249.0|Cas
Sep25_c78e1f9c,Inm24,Zap,Valle Imperial,Ven,Cas,200.0,3.0,2.0,5649000.0,1200.0,-103.440274,20.777115,52.0,3.0,3,28245.0,01/09/2025,Zap|Valle Imperial|5649000.0|200.0|Cas
Sep25_27b2caa1,Inm24,Zap,Valle Imperial,Ven,Cas,114.0,3.0,2.0,3500000.0,800.0,-103.442354,20.772545,62.0,3.0,0,30701.754385964912,01/09/2025,Zap|Valle Imperial|3500000.0|114.0|Cas
Sep25_d5c45285,Inm24,Zap,Valle Imperial,Ven,Cas,209.0,3.0,3.0,5500000.0,,-103.430869,20.786253,,4.0,0,26315.78947368421,01/09/2025,Zap|Valle Imperial|5500000.0|209.0|Cas
Sep25_22573319,Inm24,Zap,Valle Imperial,Ven,Cas,182.0,4.0,2.0,7250000.0,1200.0,-103.437352,20.789913,169.0,5.0,0,39835.16483516483,01/09/2025,Zap|Valle Imperial|7250000.0|182.0|Cas
Sep25_039bb9c5,Inm24,Zap,Valle Imperial,Ven,Cas,177.0,3.0,2.0,4450000.0,1200.0,-103.432881,20.779927,,3.5,0,25141.24293785311,01/09/2025,Zap|Valle Imperial|4450000.0|177.0|Cas
Sep25_9d66634a,Inm24,Zap,Valle Imperial,Ven,Cas,104.0,2.0,2.0,3249270.0,,-103.431183,20.78187,83.0,3.0,0,31242.98076923077,01/09/2025,Zap|Valle Imperial|3249270.0|104.0|Cas
Sep25_2479cc37,Inm24,Zap,Valle Imperial,Ven,Cas,237.0,3.0,3.0,7000000.0,1300.0,-103.441472,20.773512,24.0,3.5,0,29535.864978902955,01/09/2025,Zap|Valle Imperial|7000000.0|237.0|Cas
Sep25_ad987b9e,Inm24,Zap,Valle Imperial,Ven,Cas,140.0,4.0,2.0,5470000.0,,-103.442505,20.77257,,4.0,0,39071.42857142857,01/09/2025,Zap|Valle Imperial|5470000.0|140.0|Cas
Sep25_ea784ba5,Inm24,Zap,Valle Imperial,Ven,Cas,122.0,4.0,2.0,4700000.0,1220.0,-103.436901,20.777236,107.0,3.0,en construcción,38524.59016393442,01/09/2025,Zap|Valle Imperial|4700000.0|122.0|Cas
Sep25_aa6232f7,Inm24,Zap,Valle Imperial,Ven,Cas,213.0,3.0,2.0,5980000.0,1700.0,-103.437811,20.783791,19.0,4.5,0,28075.117370892018,01/09/2025,Zap|Valle Imperial|5980000.0|213.0|Cas
Sep25_4493cc3e,Inm24,Zap,Valle Imperial,Ven,Cas,210.0,5.0,2.0,5250000.0,1300.0,-103.437243,20.783986,126.0,3.5,5,25000.0,01/09/2025,Zap|Valle Imperial|5250000.0|210.0|Cas
Sep25_1d2892e8,Inm24,Zap,Valle Imperial,Ven,Cas,296.0,4.0,2.0,8850000.0,1550.0,-103.441472,20.773512,25.0,4.0,0,29898.64864864865,01/09/2025,Zap|Valle Imperial|8850000.0|296.0|Cas
Sep25_8ac89f13,Inm24,Zap,Valle Imperial,Ven,Cas,230.0,3.0,2.0,7350000.0,1400.0,-103.434393,20.788031,22.0,2.5,0,31956.52173913044,01/09/2025,Zap|Valle Imperial|7350000.0|230.0|Cas
Sep25_9ddd3bb0,Inm24,Zap,Valle Imperial,Ven,Cas,192.0,3.0,2.0,4475000.0,930.0,-103.442935,20.772372,25.0,3.5,0,23307.291666666668,01/09/2025,Zap|Valle Imperial|4475000.0|192.0|Cas
Sep25_4a984dea,Inm24,Zap,Valle Imperial,Ven,Cas,195.0,4.0,2.0,5650000.0,1300.0,-103.431652,20.780479,75.0,3.0,0,28974.358974358973,01/09/2025,Zap|Valle Imperial|5650000.0|195.0|Cas
Sep25_fbf306c8,Inm24,Zap,Valle Imperial,Ven,Cas,230.0,3.0,2.0,5850000.0,1300.0,-103.431183,20.78187,22.0,3.5,0,25434.78260869565,01/09/2025,Zap|Valle Imperial|5850000.0|230.0|Cas
Sep25_60a2ff5a,Inm24,Zap,Valle Imperial,Ven,Cas,250.0,3.0,2.0,8400000.0,1600.0,-103.436025,20.778427,23.0,3.0,0,33600.0,01/09/2025,Zap|Valle Imperial|8400000.0|250.0|Cas
Sep25_352d8402,Inm24,Zap,Valle Imperial,Ven,Cas,232.0,3.0,2.0,9000000.0,1760.0,-103.436025,20.778427,24.0,3.0,0,38793.10344827586,01/09/2025,Zap|Valle Imperial|9000000.0|232.0|Cas
Sep25_5ffa06a4,Inm24,Zap,Valle Imperial,Ven,Cas,420.0,4.0,4.0,10500000.0,1500.0,-103.435442,20.777997,226.0,4.0,0,25000.0,01/09/2025,Zap|Valle Imperial|10500000.0|420.0|Cas
Sep25_50f9f394,Inm24,Zap,Valle Imperial,Ven,Cas,136.0,3.0,2.0,4900000.0,700.0,-103.433237,20.779404,144.0,2.5,0,36029.41176470588,01/09/2025,Zap|Valle Imperial|4900000.0|136.0|Cas
Sep25_5111272c,Inm24,Zap,Valle Imperial,Ven,Cas,212.0,4.0,2.0,6900000.0,1450.0,-103.437654,20.776802,65.0,3.0,0,32547.169811320757,01/09/2025,Zap|Valle Imperial|6900000.0|212.0|Cas
Sep25_f885fbb7,Inm24,Zap,Valle Imperial,Ven,Cas,177.0,3.0,2.0,9190000.0,,-103.440636,20.779682,212.0,4.0,0,51920.90395480226,01/09/2025,Zap|Valle Imperial|9190000.0|177.0|Cas
Sep25_72b28c3a,Inm24,Zap,Valle Imperial,Ven,Cas,223.0,3.0,2.0,6500000.0,,-103.441472,20.773512,73.0,1.5,0,29147.98206278027,01/09/2025,Zap|Valle Imperial|6500000.0|223.0|Cas
