id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_f4abbeb5,Inm24,Zap,Valle Real,Ven,Cas,604.0,5.0,6.0,27750000.0,2500.0,-103.451285,20.722235,52.0,5.5,13,45943.708609271525,01/09/2025,Zap|Valle Real|27750000.0|604.0|Cas
Sep25_5c3125a8,Inm24,Zap,Valle Real,Ven,Cas,513.0,3.0,6.0,27990000.0,,-103.444057,20.72041,333.0,5.0,5,54561.40350877193,01/09/2025,Zap|Valle Real|27990000.0|513.0|Cas
Sep25_7c79f65a,Inm24,Zap,Valle Real,Ven,Cas,400.0,4.0,4.0,27925999.0,,-103.447018,20.724183,30.0,4.5,0,69814.9975,01/09/2025,Zap|Valle Real|27925999.0|400.0|Cas
Sep25_18585142,Inm24,Zap,Valle Real,Ven,Cas,310.0,3.0,6.0,17490000.0,,-103.447018,20.724183,9.0,4.5,25,56419.35483870968,01/09/2025,Zap|Valle Real|17490000.0|310.0|Cas
Sep25_d02a8479,Inm24,Zap,Valle Real,Ven,Cas,538.0,4.0,5.0,28000000.0,7500.0,-103.449154,20.719411,5.0,4.5,15,52044.60966542751,01/09/2025,Zap|Valle Real|28000000.0|538.0|Cas
Sep25_819746f2,Inm24,Zap,Valle Real,Ven,Cas,1000.0,4.0,4.0,53000000.0,,-103.446384,20.719526,277.0,8.5,5,53000.0,01/09/2025,Zap|Valle Real|53000000.0|1000.0|Cas
Sep25_8cf7cc93,Inm24,Zap,Valle Real,Ven,Cas,335.0,3.0,3.0,16700000.0,,-103.447018,20.724183,99.0,4.0,15,49850.74626865672,01/09/2025,Zap|Valle Real|16700000.0|335.0|Cas
Sep25_118ff43c,Inm24,Zap,Valle Real,Ven,Cas,520.0,5.0,6.0,15900000.0,,-103.448576,20.726088,28.0,5.5,26,30576.92307692308,01/09/2025,Zap|Valle Real|15900000.0|520.0|Cas
Sep25_59af6862,Inm24,Zap,Valle Real,Ven,Cas,290.0,3.0,6.0,14800000.0,,-103.448612,20.725604,53.0,3.0,25,51034.48275862069,01/09/2025,Zap|Valle Real|14800000.0|290.0|Cas
Sep25_1788e617,Inm24,Zap,Valle Real,Ven,Cas,350.0,3.0,4.0,15000000.0,2000.0,-103.447018,20.724183,42.0,3.5,10,42857.142857142855,01/09/2025,Zap|Valle Real|15000000.0|350.0|Cas
Sep25_95728795,Inm24,Zap,Valle Real,Ven,Cas,810.0,4.0,6.0,28950000.0,,-103.436065,20.72723,3.0,6.0,13,35740.74074074074,01/09/2025,Zap|Valle Real|28950000.0|810.0|Cas
Sep25_5595a8ec,Inm24,Zap,Valle Real,Ven,Cas,400.0,6.0,6.0,25270656.0,,-103.44587,20.72162,13.0,5.5,0,63176.64,01/09/2025,Zap|Valle Real|25270656.0|400.0|Cas
Sep25_2a060117,Inm24,Zap,Valle Real,Ven,Cas,526.0,4.0,4.0,17500000.0,2500.0,-103.438879,20.728641,155.0,5.0,22,33269.961977186314,01/09/2025,Zap|Valle Real|17500000.0|526.0|Cas
Sep25_bb0a162f,Inm24,Zap,Valle Real,Ven,Cas,480.0,6.0,8.0,34500000.0,2166.0,-103.437025,20.725196,51.0,7.0,6,71875.0,01/09/2025,Zap|Valle Real|34500000.0|480.0|Cas
Sep25_1329d007,Inm24,Zap,Valle Real,Ven,Cas,425.0,4.0,4.0,21950000.0,,-103.445608,20.72381,13.0,4.5,12,51647.05882352941,01/09/2025,Zap|Valle Real|21950000.0|425.0|Cas
Sep25_96768426,Inm24,Zap,Valle Real,Ven,Cas,330.0,4.0,5.0,21500000.0,,-103.445921,20.729416,99.0,4.5,0,65151.51515151515,01/09/2025,Zap|Valle Real|21500000.0|330.0|Cas
Sep25_f326e9d3,Inm24,Zap,Valle Real,Ven,Cas,841.0,5.0,6.0,40000000.0,4300.0,-103.442336,20.717686,,6.5,15,47562.42568370987,01/09/2025,Zap|Valle Real|40000000.0|841.0|Cas
Sep25_3e9fc4fb,Inm24,Zap,Valle Real,Ven,Cas,770.0,4.0,3.0,45500000.0,9300.0,-103.443305,20.718698,138.0,6.5,20,59090.90909090909,01/09/2025,Zap|Valle Real|45500000.0|770.0|Cas
Sep25_b3ecee0d,Inm24,Zap,Valle Real,Ven,Cas,640.0,5.0,4.0,31800000.0,2500.0,-103.442336,20.717686,,6.0,6,49687.5,01/09/2025,Zap|Valle Real|31800000.0|640.0|Cas
Sep25_d93aec86,Inm24,Zap,Valle Real,Ven,Cas,780.0,5.0,4.0,36900000.0,,-103.447342,20.72374,,6.0,25,47307.69230769231,01/09/2025,Zap|Valle Real|36900000.0|780.0|Cas
Sep25_118ff43c,Inm24,Zap,Valle Real,Ven,Cas,371.0,3.0,4.0,15900000.0,5000.0,-103.447018,20.724183,268.0,5.0,,42857.142857142855,01/09/2025,Zap|Valle Real|15900000.0|371.0|Cas
Sep25_e7691a9f,Inm24,Zap,Valle Real,Ven,Cas,280.0,3.0,4.0,16780000.0,3850.0,-103.447205,20.724469,,4.5,1,59928.57142857143,01/09/2025,Zap|Valle Real|16780000.0|280.0|Cas
Sep25_27a1f61b,Inm24,Zap,Valle Real,Ven,Cas,320.0,3.0,4.0,17200000.0,,-103.447018,20.724183,2.0,4.0,15,53750.0,01/09/2025,Zap|Valle Real|17200000.0|320.0|Cas
