id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_3083862f,Inm24,Zap,Victoria,Ven,Cas,320.0,5.0,3.0,9900000.0,,-103.400954,20.640442,6.0,3.5,41,30937.5,01/09/2025,Zap|Victoria|9900000.0|320.0|Cas
Sep25_be03ee81,Inm24,Zap,Victoria,Ven,Cas,322.0,3.0,2.0,13200000.0,,-103.399865,20.644125,34.0,3.5,0,40993.78881987578,01/09/2025,Zap|Victoria|13200000.0|322.0|Cas
Sep25_03151a1b,Inm24,Zap,Victoria,Ven,Cas,200.0,4.0,3.0,7200000.0,,-103.402683,20.644093,99.0,2.5,39,36000.0,01/09/2025,Zap|Victoria|7200000.0|200.0|Cas
Sep25_ab38cdf0,Inm24,Zap,Victoria,Ven,Cas,490.0,4.0,4.0,14490000.0,,-103.39755,20.639049,29.0,5.0,0,29571.42857142857,01/09/2025,Zap|Victoria|14490000.0|490.0|Cas
Sep25_bfae128f,Inm24,Zap,Victoria,Ven,Cas,781.0,6.0,7.0,14990000.0,,-103.40198,20.643702,225.0,8.0,30,19193.34186939821,01/09/2025,Zap|Victoria|14990000.0|781.0|Cas
Sep25_6237b390,Inm24,Zap,Victoria,Ven,Cas,490.0,4.0,4.0,14899000.0,,-103.39755,20.639049,207.0,5.0,0,30406.122448979597,01/09/2025,Zap|Victoria|14899000.0|490.0|Cas
Sep25_3e2bcf86,Inm24,Zap,Victoria,Ven,Cas,752.0,4.0,4.0,17900000.0,,-103.400569,20.643444,149.0,4.0,40,23803.191489361703,01/09/2025,Zap|Victoria|17900000.0|752.0|Cas
Sep25_4ceccd6c,Inm24,Zap,Victoria,Ven,Cas,240.0,2.0,,7500000.0,,-103.401333,20.644679,,4.5,10,31250.0,01/09/2025,Zap|Victoria|7500000.0|240.0|Cas
Sep25_6734f6e1,Inm24,Zap,Victoria,Ven,Cas,250.0,6.0,5.0,7980000.0,,-103.399807,20.639973,,4.0,39,31920.0,01/09/2025,Zap|Victoria|7980000.0|250.0|Cas
Sep25_691cf351,Inm24,Zap,Victoria,Ven,Cas,280.0,5.0,1.0,9500000.0,,-103.403826,20.644344,43.0,2.5,50,33928.57142857143,01/09/2025,Zap|Victoria|9500000.0|280.0|Cas
Sep25_30937ff9,Inm24,Zap,Victoria,Ven,Cas,781.0,4.0,7.0,16500000.0,,-103.403438,20.644496,,4.5,,21126.76056338028,01/09/2025,Zap|Victoria|16500000.0|781.0|Cas
Sep25_aa35aa62,Inm24,Zap,Victoria,Ven,Cas,263.0,4.0,2.0,6650000.0,,-103.398701,20.639213,208.0,2.5,40,25285.1711026616,01/09/2025,Zap|Victoria|6650000.0|263.0|Cas
Sep25_2361a036,Inm24,Zap,Victoria,Ven,Cas,253.0,3.0,2.0,8800000.0,,-103.40286,20.644363,,2.5,15,34782.608695652176,01/09/2025,Zap|Victoria|8800000.0|253.0|Cas
Sep25_d79041bc,Inm24,Zap,Victoria,Ven,Cas,451.0,6.0,3.0,11950000.0,,-103.399442,20.640781,,6.5,15,26496.674057649667,01/09/2025,Zap|Victoria|11950000.0|451.0|Cas
Sep25_87d9ff4d,Inm24,Zap,Victoria,Ven,Cas,290.0,6.0,2.0,14890000.0,,-103.400265,20.643745,225.0,5.0,0,51344.8275862069,01/09/2025,Zap|Victoria|14890000.0|290.0|Cas
Sep25_82601577,Inm24,Zap,Victoria,Ven,Cas,382.0,3.0,2.0,11500000.0,,-103.399528,20.642135,31.0,3.5,30,30104.712041884817,01/09/2025,Zap|Victoria|11500000.0|382.0|Cas
