id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_2938b0d1,Inm24,Zap,Villa Universitaria,Ven,Cas,333.0,3.0,5.0,24500000.0,,-103.41368,20.69725,80.0,4.0,10,73573.57357357358,01/09/2025,Zap|Villa Universitaria|24500000.0|333.0|Cas
Sep25_6277b0d7,Inm24,Zap,Villa Universitaria,Ven,Cas,1140.0,6.0,11.0,45000000.0,,-103.41145,20.698742,70.0,8.5,10,39473.68421052631,01/09/2025,Zap|Villa Universitaria|45000000.0|1140.0|Cas
Sep25_7848e8fd,Inm24,Zap,Villa Universitaria,Ven,Cas,322.0,3.0,4.0,20280000.0,,-103.412501,20.694967,135.0,4.5,0,62981.36645962733,01/09/2025,Zap|Villa Universitaria|20280000.0|322.0|Cas
Sep25_8ce7e864,Inm24,Zap,Villa Universitaria,Ven,Cas,350.0,3.0,4.0,16800000.0,2000.0,-103.412619,20.690239,3.0,4.5,9,48000.0,01/09/2025,Zap|Villa Universitaria|16800000.0|350.0|Cas
Sep25_9800a64a,Inm24,Zap,Villa Universitaria,Ven,Cas,270.0,3.0,3.0,9850000.0,,-103.412912,20.695668,19.0,0.5,0,36481.48148148148,01/09/2025,Zap|Villa Universitaria|9850000.0|270.0|Cas
Sep25_f2fa3b62,Inm24,Zap,Villa Universitaria,Ven,Cas,425.0,4.0,2.0,11890000.0,,-103.411091,20.698774,138.0,2.5,0,27976.470588235294,01/09/2025,Zap|Villa Universitaria|11890000.0|425.0|Cas
Sep25_f10c37b0,Inm24,Zap,Villa Universitaria,Ven,Cas,463.0,4.0,4.0,14350000.0,,-103.412138,20.693248,64.0,5.0,6,30993.52051835853,01/09/2025,Zap|Villa Universitaria|14350000.0|463.0|Cas
Sep25_dc99af54,Inm24,Zap,Villa Universitaria,Ven,Cas,460.0,4.0,3.0,16700000.0,,-103.412428,20.699845,,4.5,,36304.34782608696,01/09/2025,Zap|Villa Universitaria|16700000.0|460.0|Cas
Sep25_803f881f,Inm24,Zap,Villa Universitaria,Ven,Cas,314.0,3.0,4.0,21770000.0,,-103.412528,20.693332,,3.0,0,69331.2101910828,01/09/2025,Zap|Villa Universitaria|21770000.0|314.0|Cas
Sep25_477fa31b,Inm24,Zap,Villa Universitaria,Ven,Cas,424.0,4.0,2.0,12500000.0,,-103.414992,20.696119,58.0,2.5,30,29481.132075471694,01/09/2025,Zap|Villa Universitaria|12500000.0|424.0|Cas
Sep25_94be922e,Inm24,Zap,Villa Universitaria,Ven,Cas,314.0,3.0,4.0,20085920.0,,-103.412528,20.693332,,3.0,0,63967.89808917198,01/09/2025,Zap|Villa Universitaria|20085920.0|314.0|Cas
Sep25_d53f53a3,Inm24,Zap,Villa Universitaria,Ven,Cas,315.0,3.0,4.0,15500000.0,,-103.409848,20.693257,170.0,3.5,30,49206.34920634921,01/09/2025,Zap|Villa Universitaria|15500000.0|315.0|Cas
Sep25_0c8b5cc5,Inm24,Zap,Villa Universitaria,Ven,Cas,1044.0,3.0,4.0,39500000.0,1.0,-103.409002,20.693458,86.0,4.5,20,37835.2490421456,01/09/2025,Zap|Villa Universitaria|39500000.0|1044.0|Cas
Sep25_d4c4e94b,Inm24,Zap,Villa Universitaria,Ven,Cas,370.0,3.0,4.0,13500000.0,,-103.414242,20.699873,65.0,4.5,19,36486.48648648649,01/09/2025,Zap|Villa Universitaria|13500000.0|370.0|Cas
Sep25_8405e042,Inm24,Zap,Villa Universitaria,Ven,Cas,330.0,3.0,3.0,14800000.0,,-103.412292,20.69835,36.0,3.5,20,44848.48484848485,01/09/2025,Zap|Villa Universitaria|14800000.0|330.0|Cas
Sep25_825783fe,Inm24,Zap,Villa Universitaria,Ven,Cas,350.0,3.0,2.0,18000000.0,,-103.411929,20.695342,,2.5,30,51428.57142857143,01/09/2025,Zap|Villa Universitaria|18000000.0|350.0|Cas
Sep25_06baafe4,Inm24,Zap,Villa Universitaria,Ven,Cas,428.0,6.0,6.0,22000000.0,,-103.412944,20.695277,10.0,6.0,1,51401.86915887851,01/09/2025,Zap|Villa Universitaria|22000000.0|428.0|Cas
Sep25_cacf412e,Inm24,Zap,Villa Universitaria,Ven,Cas,386.0,3.0,3.0,18500000.0,,-103.414335,20.693324,,3.5,4,47927.461139896375,01/09/2025,Zap|Villa Universitaria|18500000.0|386.0|Cas
Sep25_d8ca5657,Inm24,Zap,Villa Universitaria,Ven,Cas,366.0,3.0,4.0,13500000.0,,-103.414242,20.699873,64.0,3.5,15,36885.24590163935,01/09/2025,Zap|Villa Universitaria|13500000.0|366.0|Cas
