id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_2fd562c7,Inm24,Zap,Villa Verona,Ven,Cas,320.0,5.0,4.0,17996626.0,,-103.44343,20.698982,13.0,5.5,0,56239.45625,01/09/2025,Zap|Villa Verona|17996626.0|320.0|Cas
Sep25_8a7cf45f,Inm24,Zap,Villa Verona,Ven,Cas,355.0,5.0,3.0,17800000.0,,-103.442962,20.701001,144.0,4.5,en construcción,50140.84507042253,01/09/2025,Zap|Villa Verona|17800000.0|355.0|Cas
Sep25_f86609c8,Inm24,Zap,Villa Verona,Ven,Cas,393.0,3.0,3.0,18250000.0,,-103.445077,20.7019,18.0,4.5,2,46437.65903307888,01/09/2025,Zap|Villa Verona|18250000.0|393.0|Cas
Sep25_05638c15,Inm24,Zap,Villa Verona,Ven,Cas,400.0,5.0,4.0,19750999.0,,-103.445077,20.7019,45.0,5.5,0,49377.4975,01/09/2025,Zap|Villa Verona|19750999.0|400.0|Cas
Sep25_6faba590,Inm24,Zap,Villa Verona,Ven,Cas,650.0,3.0,3.0,31300000.0,,-103.445659,20.702336,,5.5,6,48153.84615384616,01/09/2025,Zap|Villa Verona|31300000.0|650.0|Cas
Sep25_1b1d27bb,Inm24,Zap,Villa Verona,Ven,Cas,600.0,3.0,6.0,22000000.0,,-103.44499,20.702587,,6.0,5,36666.66666666666,01/09/2025,Zap|Villa Verona|22000000.0|600.0|Cas
Sep25_f5745fd3,Inm24,Zap,Villa Verona,Ven,Cas,800.0,4.0,6.0,37000000.0,,-103.446516,20.703015,,5.0,0,46250.0,01/09/2025,Zap|Villa Verona|37000000.0|800.0|Cas
Sep25_32ee36c9,Inm24,Zap,Villa Verona,Ven,Cas,358.0,5.0,4.0,16750000.0,3071.0,-103.44499,20.702587,26.0,6.0,9,46787.70949720671,01/09/2025,Zap|Villa Verona|16750000.0|358.0|Cas
Sep25_a4c0b3aa,Inm24,Zap,Villa Verona,Ven,Cas,305.0,4.0,4.0,25100000.0,,-103.44462,20.701501,348.0,5.5,0,82295.08196721312,01/09/2025,Zap|Villa Verona|25100000.0|305.0|Cas
Sep25_d86b7e58,Inm24,Zap,Villa Verona,Ven,Cas,430.0,4.0,4.0,18500000.0,2800.0,-103.444129,20.700423,234.0,4.5,10,43023.25581395349,01/09/2025,Zap|Villa Verona|18500000.0|430.0|Cas
Sep25_c326947f,Inm24,Zap,Villa Verona,Ven,Cas,350.0,4.0,2.0,18425999.0,,-103.445077,20.7019,46.0,4.5,0,52645.71142857143,01/09/2025,Zap|Villa Verona|18425999.0|350.0|Cas
Sep25_6926b61a,Inm24,Zap,Villa Verona,Ven,Cas,333.0,3.0,3.0,18250000.0,,-103.445077,20.7019,47.0,4.5,3,54804.80480480481,01/09/2025,Zap|Villa Verona|18250000.0|333.0|Cas
