id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_967dce73,Inm24,Zap,Virreyes,Ven,Cas,282.0,3.0,2.0,12490000.0,1500.0,-103.439098,20.696795,114.0,4.5,20,44290.78014184397,01/09/2025,Zap|Virreyes|12490000.0|282.0|Cas
Sep25_d5243179,Inm24,Zap,Virreyes,Ven,Cas,348.0,5.0,5.0,12400000.0,1200.0,-103.440922,20.693728,130.0,4.0,23,35632.183908045976,01/09/2025,Zap|Virreyes|12400000.0|348.0|Cas
Sep25_2ff2ed6b,Inm24,Zap,Virreyes,Ven,Cas,377.0,3.0,3.0,17800000.0,,-103.436152,20.69583,1.0,4.0,en construcción,47214.85411140584,01/09/2025,Zap|Virreyes|17800000.0|377.0|Cas
Sep25_ebf6c698,Inm24,Zap,Virreyes,Ven,Cas,510.0,6.0,6.0,22950000.0,,-103.434429,20.696715,110.0,6.0,20,45000.0,01/09/2025,Zap|Virreyes|22950000.0|510.0|Cas
Sep25_68501f89,Inm24,Zap,Virreyes,Ven,Cas,395.0,3.0,3.0,13590000.0,2000.0,-103.439098,20.696795,85.0,3.5,25,34405.06329113924,01/09/2025,Zap|Virreyes|13590000.0|395.0|Cas
Sep25_67b0fb98,Inm24,Zap,Virreyes,Ven,Cas,300.0,5.0,4.0,18348450.0,,-103.44132,20.696497,13.0,5.5,0,61161.5,01/09/2025,Zap|Virreyes|18348450.0|300.0|Cas
Sep25_e18e0329,Inm24,Zap,Virreyes,Ven,Cas,450.0,3.0,6.0,19500000.0,,-103.440987,20.692499,,5.0,1,43333.333333333336,01/09/2025,Zap|Virreyes|19500000.0|450.0|Cas
Sep25_a98d5e2e,Inm24,Zap,Virreyes,Ven,Cas,380.0,6.0,6.0,19409228.0,,-103.438614,20.69478,15.0,5.5,0,51076.915789473685,01/09/2025,Zap|Virreyes|19409228.0|380.0|Cas
Sep25_d8faff7b,Inm24,Zap,Virreyes,Ven,Cas,252.0,3.0,4.0,12750000.0,1728.0,-103.439098,20.696795,322.0,4.0,20,50595.23809523809,01/09/2025,Zap|Virreyes|12750000.0|252.0|Cas
Sep25_05774fb3,Inm24,Zap,Virreyes,Ven,Cas,350.0,5.0,4.0,31875684.0,,-103.434654,20.696571,13.0,5.5,0,91073.38285714286,01/09/2025,Zap|Virreyes|31875684.0|350.0|Cas
Sep25_7cc19d87,Inm24,Zap,Virreyes,Ven,Cas,218.0,4.0,2.0,7680000.0,,-103.439269,20.692968,364.0,3.5,15,35229.35779816514,01/09/2025,Zap|Virreyes|7680000.0|218.0|Cas
Sep25_9852c73d,Inm24,Zap,Virreyes,Ven,Cas,227.0,4.0,3.0,12895000.0,,-103.440899,20.693799,260.0,4.5,1,56806.16740088106,01/09/2025,Zap|Virreyes|12895000.0|227.0|Cas
Sep25_0e5b3e83,Inm24,Zap,Virreyes,Ven,Cas,368.0,3.0,4.0,24000000.0,,-103.439098,20.696795,18.0,3.5,en construcción,65217.391304347824,01/09/2025,Zap|Virreyes|24000000.0|368.0|Cas
Sep25_6512bf29,Inm24,Zap,Virreyes,Ven,Cas,450.0,4.0,4.0,24000000.0,,-103.439098,20.696795,158.0,3.5,0,53333.333333333336,01/09/2025,Zap|Virreyes|24000000.0|450.0|Cas
Sep25_dd479259,Inm24,Zap,Virreyes,Ven,Cas,420.0,6.0,6.0,35684922.0,,-103.434906,20.696863,15.0,5.5,0,84964.1,01/09/2025,Zap|Virreyes|35684922.0|420.0|Cas
Sep25_3145b5a1,Inm24,Zap,Virreyes,Ven,Cas,240.0,3.0,2.0,7950000.0,1250.0,-103.441378,20.694374,101.0,3.5,23,33125.0,01/09/2025,Zap|Virreyes|7950000.0|240.0|Cas
Sep25_02d01c43,Inm24,Zap,Virreyes,Ven,Cas,356.0,3.0,2.0,10150000.0,,-103.439201,20.694232,357.0,2.5,25,28511.23595505618,01/09/2025,Zap|Virreyes|10150000.0|356.0|Cas
Sep25_d27db7a7,Inm24,Zap,Virreyes,Ven,Cas,275.0,3.0,3.0,12895000.0,1000.0,-103.440899,20.693799,,2.5,1,46890.90909090909,01/09/2025,Zap|Virreyes|12895000.0|275.0|Cas
Sep25_bca38095,Inm24,Zap,Virreyes,Ven,Cas,400.0,4.0,2.0,19890999.0,,-103.439173,20.695855,74.0,4.5,0,49727.4975,01/09/2025,Zap|Virreyes|19890999.0|400.0|Cas
Sep25_2c7d3a1d,Inm24,Zap,Virreyes,Ven,Cas,275.0,4.0,2.0,9990000.0,1500.0,-103.440922,20.693728,,5.5,10,36327.27272727273,01/09/2025,Zap|Virreyes|9990000.0|275.0|Cas
Sep25_0196ac3a,Inm24,Zap,Virreyes,Ven,Cas,451.0,3.0,4.0,24000000.0,,-103.439014,20.695632,62.0,3.5,0,53215.07760532151,01/09/2025,Zap|Virreyes|24000000.0|451.0|Cas
Sep25_b998304f,Inm24,Zap,Virreyes,Ven,Cas,400.0,4.0,2.0,9990000.0,1000.0,-103.440831,20.693818,35.0,5.0,25,24975.0,01/09/2025,Zap|Virreyes|9990000.0|400.0|Cas
Sep25_877032ae,Inm24,Zap,Virreyes,Ven,Cas,250.0,4.0,4.0,17500999.0,,-103.439173,20.695855,244.0,4.5,0,70003.996,01/09/2025,Zap|Virreyes|17500999.0|250.0|Cas
Sep25_a2f0fd49,Inm24,Zap,Virreyes,Ven,Cas,269.0,3.0,3.0,8990000.0,,-103.44144,20.694381,,3.5,15,33420.07434944238,01/09/2025,Zap|Virreyes|8990000.0|269.0|Cas
Sep25_8ab1eb13,Inm24,Zap,Virreyes,Ven,Cas,323.0,4.0,4.0,14900000.0,,-103.437529,20.695471,93.0,4.5,20,46130.03095975232,01/09/2025,Zap|Virreyes|14900000.0|323.0|Cas
Sep25_7ce2695a,Inm24,Zap,Virreyes,Ven,Cas,1800.0,5.0,7.0,72000000.0,,-103.438154,20.69561,211.0,8.0,15,40000.0,01/09/2025,Zap|Virreyes|72000000.0|1800.0|Cas
Sep25_04fa2c67,Inm24,Zap,Virreyes,Ven,Cas,275.0,4.0,2.0,9995000.0,,-103.440894,20.693678,,5.0,15,36345.454545454544,01/09/2025,Zap|Virreyes|9995000.0|275.0|Cas
Sep25_49bdc61b,Inm24,Zap,Virreyes,Ven,Cas,264.0,4.0,2.0,9250000.0,1200.0,-103.441769,20.695224,104.0,3.5,24,35037.878787878784,01/09/2025,Zap|Virreyes|9250000.0|264.0|Cas
Sep25_6a5b90fa,Inm24,Zap,Virreyes,Ven,Cas,360.0,4.0,3.0,11500000.0,,-103.438112,20.693384,55.0,3.0,,31944.444444444445,01/09/2025,Zap|Virreyes|11500000.0|360.0|Cas
Sep25_4749f26e,Inm24,Zap,Virreyes,Ven,Cas,350.0,5.0,4.0,19678462.0,,-103.440994,20.694757,16.0,5.5,0,56224.177142857145,01/09/2025,Zap|Virreyes|19678462.0|350.0|Cas
Sep25_8cd4ff3b,Inm24,Zap,Virreyes,Ven,Cas,252.0,3.0,3.0,17700000.0,,-103.436303,20.69699,10.0,4.5,14,70238.09523809524,01/09/2025,Zap|Virreyes|17700000.0|252.0|Cas
Sep25_e3de6875,Inm24,Zap,Virreyes,Ven,Cas,242.0,3.0,3.0,10400000.0,,-103.439741,20.694776,35.0,2.5,25,42975.20661157025,01/09/2025,Zap|Virreyes|10400000.0|242.0|Cas
