id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_3e0b5401,Inm24,Zap,Base Aérea Militar No 5,Ven,Dep,85.0,2.0,2.0,5300000.0,,-103.457729,20.726746,,2.0,0,62352.94117647059,01/04/2025,Zap|Base Aérea Militar No 5|5300000.0|85.0|Dep
Sep25_37fa159c,Inm24,Zap,Base Aérea Militar No 5,Ven,Dep,105.0,1.0,2.0,4299000.0,,-103.457729,20.726746,43.0,2.0,2,40942.857142857145,01/04/2025,Zap|Base Aérea Militar No 5|4299000.0|105.0|Dep
Sep25_1afcd2f4,Inm24,Zap,Base Aérea Militar No 5,Ven,Dep,68.0,2.0,,4940000.0,,-103.467805,20.728153,45.0,2.0,0,72647.05882352941,01/04/2025,Zap|Base Aérea Militar No 5|4940000.0|68.0|Dep
Sep25_b1067326,Inm24,Zap,Base Aérea Militar No 5,Ven,Dep,168.0,2.0,2.0,5451452.0,2000.0,-103.467172,20.727564,,2.0,0,32449.11904761905,01/04/2025,Zap|Base Aérea Militar No 5|5451452.0|168.0|Dep
Sep25_dba027ef,Inm24,Zap,Base Aérea Militar No 5,Ven,Dep,40.0,1.0,1.0,2900000.0,1400.0,-103.465569,20.729972,290.0,1.0,0,72500.0,01/04/2025,Zap|Base Aérea Militar No 5|2900000.0|40.0|Dep
Sep25_c69c051c,Inm24,Zap,Base Aérea Militar No 5,Ven,Dep,61.0,2.0,1.0,3874500.0,,-103.465569,20.729972,309.0,2.0,0,63516.39344262295,01/04/2025,Zap|Base Aérea Militar No 5|3874500.0|61.0|Dep
Sep25_f5e0f8a1,Inm24,Zap,Base Aérea Militar No 5,Ven,Dep,37.0,1.0,1.0,2766700.0,,-103.465569,20.729972,,1.0,0,74775.67567567568,01/04/2025,Zap|Base Aérea Militar No 5|2766700.0|37.0|Dep
Sep25_5941db78,Inm24,Zap,Base Aérea Militar No 5,Ven,Dep,101.0,2.0,2.0,5346499.0,2331.0,-103.457729,20.726746,,2.0,0,52935.63366336634,01/04/2025,Zap|Base Aérea Militar No 5|5346499.0|101.0|Dep
Sep25_6787180c,Inm24,Zap,Base Aérea Militar No 5,Ven,Dep,110.0,2.0,1.0,4400000.0,,-103.470614,20.735193,,2.0,0,40000.0,01/04/2025,Zap|Base Aérea Militar No 5|4400000.0|110.0|Dep
Sep25_de772f5a,Inm24,Zap,Base Aérea Militar No 5,Ven,Dep,72.0,1.0,1.0,3450000.0,1800.0,-103.457729,20.726746,306.0,2.0,3,47916.66666666666,01/04/2025,Zap|Base Aérea Militar No 5|3450000.0|72.0|Dep
Sep25_567fed0a,Inm24,Zap,Base Aérea Militar No 5,Ven,Dep,112.0,2.0,2.0,5451452.0,,-103.457729,20.726746,104.0,2.5,0,48673.67857142857,01/04/2025,Zap|Base Aérea Militar No 5|5451452.0|112.0|Dep
Sep25_349498fd,Inm24,Zap,Base Aérea Militar No 5,Ven,Dep,37.0,1.0,1.0,2650000.0,,-103.465569,20.729972,,1.0,,71621.62162162163,01/04/2025,Zap|Base Aérea Militar No 5|2650000.0|37.0|Dep
