id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_8fced3bc,Inm24,Zap,Cima Real,Ven,Dep,196.0,2.0,2.0,7500000.0,,-103.435743,20.722112,158.0,2.0,3,38265.30612244898,01/09/2025,Zap|Cima Real|7500000.0|196.0|Dep
Sep25_02ac32be,Inm24,Zap,Cima Real,Ven,Dep,229.0,3.0,3.0,11950000.0,5022.0,-103.435938,20.72099,,3.5,0,52183.40611353712,01/09/2025,Zap|Cima Real|11950000.0|229.0|Dep
Sep25_7d6450e9,Inm24,Zap,Cima Real,Ven,Dep,192.0,2.0,2.0,9500000.0,,-103.435092,20.723948,65.0,2.5,5,49479.16666666666,01/04/2025,Zap|Cima Real|9500000.0|192.0|Dep
Sep25_a5a2cf98,Inm24,Zap,Cima Real,Ven,Dep,280.0,3.0,2.0,12900000.0,6931.0,-103.435664,20.721911,88.0,3.5,15,46071.42857142857,01/04/2025,Zap|Cima Real|12900000.0|280.0|Dep
Sep25_2f651919,Inm24,Zap,Cima Real,Ven,Dep,220.0,2.0,2.0,8800000.0,4854.0,-103.435743,20.722112,114.0,1.0,5,40000.0,01/04/2025,Zap|Cima Real|8800000.0|220.0|Dep
Sep25_be217924,Inm24,Zap,Cima Real,Ven,Dep,114.0,2.0,1.0,5950000.0,,-103.43459,20.725357,23.0,2.0,5,52192.98245614035,01/04/2025,Zap|Cima Real|5950000.0|114.0|Dep
Sep25_e9b55763,Inm24,Zap,Cima Real,Ven,Dep,130.0,2.0,2.0,6900000.0,,-103.43472,20.725237,65.0,2.0,3,53076.92307692308,01/04/2025,Zap|Cima Real|6900000.0|130.0|Dep
Sep25_a6ce779b,Inm24,Zap,Cima Real,Ven,Dep,187.0,3.0,2.0,8950000.0,,-103.435743,20.722112,12.0,4.0,3,47860.96256684492,01/04/2025,Zap|Cima Real|8950000.0|187.0|Dep
Sep25_ddf2e3ad,Inm24,Zap,Cima Real,Ven,Dep,278.0,4.0,2.0,13500000.0,7508.0,-103.434547,20.725212,71.0,4.5,3,48561.15107913669,01/04/2025,Zap|Cima Real|13500000.0|278.0|Dep
Sep25_4749d164,Inm24,Zap,Cima Real,Ven,Dep,118.0,2.0,1.0,6100000.0,,-103.434547,20.725212,,2.5,6,51694.91525423729,01/04/2025,Zap|Cima Real|6100000.0|118.0|Dep
Sep25_f52f04bd,Inm24,Zap,Cima Real,Ven,Dep,283.0,3.0,2.0,11300000.0,,-103.435743,20.722112,,4.0,13,39929.32862190813,01/04/2025,Zap|Cima Real|11300000.0|283.0|Dep
Sep25_d4776d00,Inm24,Zap,Cima Real,Ven,Dep,333.0,4.0,3.0,23000000.0,,-103.435057,20.722003,75.0,4.5,8,69069.06906906907,01/04/2025,Zap|Cima Real|23000000.0|333.0|Dep
Sep25_6587dc11,Inm24,Zap,Cima Real,Ven,Dep,135.0,3.0,2.0,9788400.0,,-103.434547,20.725212,85.0,2.0,0,72506.66666666667,01/04/2025,Zap|Cima Real|9788400.0|135.0|Dep
Sep25_251711e1,Inm24,Zap,Cima Real,Ven,Dep,114.0,2.0,,8635000.0,,-103.434547,20.725212,86.0,3.0,0,75745.61403508772,01/04/2025,Zap|Cima Real|8635000.0|114.0|Dep
