id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_63e76b4b,Inm24,Zap,Ciudad del Sol,Ven,Dep,60.0,2.0,1.0,2980000.0,,-103.41003,20.656599,0.0,1.0,20,49666.66666666666,01/04/2025,Zap|Ciudad del Sol|2980000.0|60.0|Dep
Sep25_4ff21cd0,Inm24,Zap,Ciudad del Sol,Ven,Dep,81.0,2.0,2.0,4150000.0,,-103.409396,20.64595,,2.0,0,51234.56790123456,01/04/2025,Zap|Ciudad del Sol|4150000.0|81.0|Dep
Sep25_958b44f6,Inm24,Zap,Ciudad del Sol,Ven,Dep,162.0,3.0,2.0,6340000.0,800.0,-103.405285,20.64944,135.0,3.0,2,39135.8024691358,01/04/2025,Zap|Ciudad del Sol|6340000.0|162.0|Dep
Sep25_dc7f6703,Inm24,Zap,Ciudad del Sol,Ven,Dep,162.0,3.0,2.0,5990000.0,,-103.40797,20.650021,50.0,2.0,40,36975.30864197531,01/04/2025,Zap|Ciudad del Sol|5990000.0|162.0|Dep
Sep25_03622497,Inm24,Zap,Ciudad del Sol,Ven,Dep,53.0,1.0,,3008526.0,,-103.399328,20.656494,,1.0,0,56764.64150943396,01/04/2025,Zap|Ciudad del Sol|3008526.0|53.0|Dep
Sep25_176c64c4,Inm24,Zap,Ciudad del Sol,Ven,Dep,102.0,2.0,2.0,5117726.0,,-103.408497,20.651327,56.0,2.0,0,50173.78431372549,01/04/2025,Zap|Ciudad del Sol|5117726.0|102.0|Dep
Sep25_b087fe47,Inm24,Zap,Ciudad del Sol,Ven,Dep,160.0,4.0,2.0,6390000.0,800.0,-103.405285,20.64944,58.0,3.5,2,39937.5,01/04/2025,Zap|Ciudad del Sol|6390000.0|160.0|Dep
Sep25_2eee3368,Inm24,Zap,Ciudad del Sol,Ven,Dep,160.0,3.0,2.0,6400000.0,800.0,-103.405285,20.64944,66.0,3.0,2,40000.0,01/04/2025,Zap|Ciudad del Sol|6400000.0|160.0|Dep
Sep25_8fe9399a,Inm24,Zap,Ciudad del Sol,Ven,Dep,114.0,2.0,2.0,5500000.0,1800.0,-103.408922,20.660204,10.0,2.0,15,48245.61403508772,01/04/2025,Zap|Ciudad del Sol|5500000.0|114.0|Dep
Sep25_819a4b03,Inm24,Zap,Ciudad del Sol,Ven,Dep,120.0,3.0,2.0,5350000.0,,-103.405773,20.648528,71.0,3.0,0,44583.333333333336,01/04/2025,Zap|Ciudad del Sol|5350000.0|120.0|Dep
Sep25_589efe25,Inm24,Zap,Ciudad del Sol,Ven,Dep,139.0,2.0,1.0,3950000.0,500.0,-103.402716,20.657235,147.0,1.5,40,28417.26618705036,01/04/2025,Zap|Ciudad del Sol|3950000.0|139.0|Dep
Sep25_114307c3,Inm24,Zap,Ciudad del Sol,Ven,Dep,88.0,3.0,1.0,4300000.0,,-103.402979,20.657467,25.0,2.0,25,48863.63636363636,01/04/2025,Zap|Ciudad del Sol|4300000.0|88.0|Dep
