id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_41048424,Inm24,Zap,Ciudad Granja,Ven,Dep,156.0,3.0,2.0,7300000.0,,-103.452532,20.673037,35.0,2.5,8,46794.8717948718,01/09/2025,Zap|Ciudad Granja|7300000.0|156.0|Dep
Sep25_633e9e3e,Inm24,Zap,Ciudad Granja,Ven,Dep,49.0,1.0,1.0,3530000.0,1445.0,-103.445451,20.681739,,1.0,1,72040.8163265306,01/04/2025,Zap|Ciudad Granja|3530000.0|49.0|Dep
Sep25_332d5fdf,Inm24,Zap,Ciudad Granja,Ven,Dep,61.0,2.0,1.0,3076775.0,,-103.452964,20.677641,54.0,2.0,0,50438.93442622951,01/04/2025,Zap|Ciudad Granja|3076775.0|61.0|Dep
Sep25_ba79fc1e,Inm24,Zap,Ciudad Granja,Ven,Dep,83.0,2.0,,6350000.0,,-103.447897,20.672698,48.0,2.5,0,76506.02409638555,01/04/2025,Zap|Ciudad Granja|6350000.0|83.0|Dep
Sep25_2f711eb5,Inm24,Zap,Ciudad Granja,Ven,Dep,63.0,1.0,1.0,3835000.0,2000.0,-103.444023,20.686333,287.0,1.0,0,60873.01587301587,01/04/2025,Zap|Ciudad Granja|3835000.0|63.0|Dep
Sep25_acbb241b,Inm24,Zap,Ciudad Granja,Ven,Dep,66.0,1.0,1.0,3490000.0,,-103.442352,20.684329,,1.5,2,52878.78787878788,01/04/2025,Zap|Ciudad Granja|3490000.0|66.0|Dep
Sep25_7b611d6a,Inm24,Zap,Ciudad Granja,Ven,Dep,75.0,3.0,,4950000.0,,-103.446914,20.678151,261.0,3.0,0,66000.0,01/04/2025,Zap|Ciudad Granja|4950000.0|75.0|Dep
Sep25_158817db,Inm24,Zap,Ciudad Granja,Ven,Dep,42.0,1.0,1.0,2550000.0,,-103.453102,20.677514,79.0,1.0,0,60714.28571428572,01/04/2025,Zap|Ciudad Granja|2550000.0|42.0|Dep
Sep25_d38813e3,Inm24,Zap,Ciudad Granja,Ven,Dep,78.0,2.0,1.0,4267650.0,,-103.45323,20.677611,29.0,2.0,0,54713.46153846154,01/04/2025,Zap|Ciudad Granja|4267650.0|78.0|Dep
Sep25_8acd3b75,Inm24,Zap,Ciudad Granja,Ven,Dep,99.0,2.0,2.0,4290000.0,3150.0,-103.452309,20.684985,,2.0,0,43333.333333333336,01/04/2025,Zap|Ciudad Granja|4290000.0|99.0|Dep
Sep25_963cb7c9,Inm24,Zap,Ciudad Granja,Ven,Dep,155.0,2.0,2.0,6700000.0,,-103.442378,20.68456,21.0,2.5,4,43225.8064516129,01/04/2025,Zap|Ciudad Granja|6700000.0|155.0|Dep
