id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_817d72db,Inm24,Zap,Del Parque,Ven,Dep,180.0,2.0,1.0,6490000.0,1000.0,-103.447297,20.663422,,2.0,10,36055.55555555556,01/04/2025,Zap|Del Parque|6490000.0|180.0|Dep
Sep25_fa2170c7,Inm24,Zap,Del Parque,Ven,Dep,104.0,2.0,2.0,4042500.0,,-103.448652,20.663959,48.0,2.0,6,38870.19230769231,01/04/2025,Zap|Del Parque|4042500.0|104.0|Dep
Sep25_3e34d975,Inm24,Zap,Del Parque,Ven,Dep,91.0,2.0,2.0,4275000.0,3200.0,-103.448902,20.664095,164.0,2.0,7,46978.02197802198,01/04/2025,Zap|Del Parque|4275000.0|91.0|Dep
Sep25_edbc2e9d,Inm24,Zap,Del Parque,Ven,Dep,77.0,2.0,1.0,5150000.0,,-103.447373,20.664278,143.0,2.0,0,66883.11688311688,01/04/2025,Zap|Del Parque|5150000.0|77.0|Dep
Sep25_d5976cba,Inm24,Zap,Del Parque,Ven,Dep,120.0,2.0,2.0,5990000.0,,-103.448652,20.663959,18.0,2.5,6,49916.66666666666,01/04/2025,Zap|Del Parque|5990000.0|120.0|Dep
Sep25_36d58eda,Inm24,Zap,Del Parque,Ven,Dep,158.0,3.0,3.0,7000000.0,,-103.448874,20.664156,57.0,3.0,6,44303.79746835443,01/04/2025,Zap|Del Parque|7000000.0|158.0|Dep
Sep25_83c4386b,Inm24,Zap,Del Parque,Ven,Dep,85.0,2.0,2.0,4400000.0,3200.0,-103.448652,20.663959,53.0,2.0,2,51764.705882352944,01/04/2025,Zap|Del Parque|4400000.0|85.0|Dep
Sep25_17e278d0,Inm24,Zap,Del Parque,Ven,Dep,92.0,2.0,2.0,5675816.0,,-103.435642,20.670642,326.0,2.0,0,61693.65217391304,01/04/2025,Zap|Del Parque|5675816.0|92.0|Dep
Sep25_ab8bcacc,Inm24,Zap,Del Parque,Ven,Dep,90.0,2.0,2.0,4100000.0,3050.0,-103.448571,20.663819,,2.5,4,45555.55555555556,01/04/2025,Zap|Del Parque|4100000.0|90.0|Dep
Sep25_a2c4d2a3,Inm24,Zap,Del Parque,Ven,Dep,135.0,2.0,1.0,5350000.0,2000.0,-103.447564,20.662937,,2.0,0,39629.62962962963,01/04/2025,Zap|Del Parque|5350000.0|135.0|Dep
Sep25_76eb5e68,Inm24,Zap,Del Parque,Ven,Dep,111.0,3.0,2.0,920000.0,,-103.448652,20.663959,129.0,2.5,12,8288.288288288288,01/04/2025,Zap|Del Parque|920000.0|111.0|Dep
Sep25_b02b4370,Inm24,Zap,Del Parque,Ven,Dep,85.0,2.0,2.0,4440000.0,3200.0,-103.448571,20.663819,167.0,2.0,5,52235.294117647056,01/04/2025,Zap|Del Parque|4440000.0|85.0|Dep
Sep25_dd29f311,Inm24,Zap,Del Parque,Ven,Dep,120.0,2.0,2.0,6000000.0,3200.0,-103.448652,20.663959,37.0,2.5,6,50000.0,01/04/2025,Zap|Del Parque|6000000.0|120.0|Dep
Sep25_1f8b803d,Inm24,Zap,Del Parque,Ven,Dep,165.0,2.0,2.0,5950000.0,,-103.44455,20.66311,,2.5,10,36060.606060606064,01/04/2025,Zap|Del Parque|5950000.0|165.0|Dep
Sep25_1cdcfe58,Inm24,Zap,Del Parque,Ven,Dep,80.0,2.0,2.0,4250000.0,,-103.448874,20.664156,,2.0,3,53125.0,01/04/2025,Zap|Del Parque|4250000.0|80.0|Dep
Sep25_53600a7c,Inm24,Zap,Del Parque,Ven,Dep,85.0,2.0,2.0,4350000.0,,-103.448652,20.663959,24.0,2.0,5,51176.470588235294,01/04/2025,Zap|Del Parque|4350000.0|85.0|Dep
Sep25_3f3a08e0,Inm24,Zap,Del Parque,Ven,Dep,108.0,2.0,2.0,8051121.0,,-103.435642,20.670642,45.0,2.0,0,74547.41666666667,01/04/2025,Zap|Del Parque|8051121.0|108.0|Dep
Sep25_2ec6d9c5,Inm24,Zap,Del Parque,Ven,Dep,90.0,2.0,1.0,5300000.0,,-103.442758,20.663499,2.0,2.0,0,58888.88888888889,01/04/2025,Zap|Del Parque|5300000.0|90.0|Dep
Sep25_8425a453,Inm24,Zap,Del Parque,Ven,Dep,80.0,2.0,2.0,4390000.0,3200.0,-103.448874,20.664156,68.0,2.0,5,54875.0,01/04/2025,Zap|Del Parque|4390000.0|80.0|Dep
Sep25_75179034,Inm24,Zap,Del Parque,Ven,Dep,92.0,2.0,1.0,6731480.0,,-103.435642,20.670642,46.0,2.0,0,73168.26086956522,01/04/2025,Zap|Del Parque|6731480.0|92.0|Dep
Sep25_ae9f72bf,Inm24,Zap,Del Parque,Ven,Dep,143.0,3.0,2.0,5919000.0,,-103.447475,20.663925,199.0,2.5,15,41391.60839160839,01/04/2025,Zap|Del Parque|5919000.0|143.0|Dep
